element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ag,2,Ag II,193.349455,193.349455,193.349457,vacuum,22000.0,22000,23000000.0,C+,39168.0177,90887.8423,4d9.(2D<5/2>).5s,2[5/2],3,4d9.(2D<3/2>).5p,2[3/2]*,2
Ag,2,Ag II,199.431719,199.431719,199.431719,vacuum,140000.0,140000,40800000.0,B+,40745.3671,90887.8423,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<3/2>).5p,2[3/2]*,2
Ag,2,Ag II,200.068462,200.068462,200.068449,air,40000.0,40000,17500000.0,B+,39168.0177,89134.7240,4d9.(2D<5/2>).5s,2[5/2],3,4d9.(2D<3/2>).5p,2[5/2]*,3
Ag,2,Ag II,201.590481,201.590481,201.590491,air,34000.0,34000,37000000.0,C+,40745.3671,90334.8716,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<3/2>).5p,2[1/2]*,1
Ag,2,Ag II,203.39268,203.39268,203.392686,air,38000.0,38000,24000000.0,B,40745.3671,89895.5377,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<3/2>).5p,2[3/2]*,1
Ag,1,Ag I,206.1162,206.1162,206.116209,air,200.0,200,3100000.0,D,0.000000,48500.8105,4d10.5s,2S,1/2,4d10.6p,2P*,3/2
Ag,2,Ag II,206.591011,206.591011,206.591012,air,120000.0,120000,47000000.0,B+,40745.3671,89134.7240,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<3/2>).5p,2[5/2]*,3
Ag,1,Ag I,206.9844,206.9844,206.98438,air,100.0,100,1500000.0,D,0.000000,48297.406,4d10.5s,2S,1/2,4d10.6p,2P*,1/2
Ag,2,Ag II,207.554292,207.554292,207.554294,air,36000.0,36000,120000000.0,D+,83625.5147,131790.3202,4d9.(2D<5/2>).5p,2[3/2]*,1,4d9.(2D<3/2>).5d,2[3/2],2
Ag,2,Ag II,209.489,209.489,209.488826,air,800.0,800:,480000.0,D+,39168.0177,86888.0990,4d9.(2D<5/2>).5s,2[5/2],3,4d9.(2D<3/2>).5p,2[5/2]*,2
Ag,2,Ag II,211.14,211.14,211.139639,air,4100.0,4100,10000000.0,B,80176.4601,127523.4831,4d9.(2D<5/2>).5p,2[3/2]*,2,4d9.(2D<5/2>).5d,2[5/2],2
Ag,2,Ag II,211.38249,211.38249,211.382492,air,530000.0,530000,301000000.0,A,39168.0177,86460.6511,4d9.(2D<5/2>).5s,2[5/2],3,4d9.(2D<5/2>).5p,2[5/2]*,3
Ag,2,Ag II,212.04402,212.04402,212.044026,air,220000.0,220000,119000000.0,B+,43742.7348,90887.8423,4d9.(2D<3/2>).5s,2[3/2],1,4d9.(2D<3/2>).5p,2[3/2]*,2
Ag,2,Ag II,212.079683,212.079683,212.079682,air,6900.0,6900,150000000.0,D+,83625.5147,130762.6969,4d9.(2D<5/2>).5p,2[3/2]*,1,4d9.(2D<3/2>).5d,2[1/2],1
