element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Al,2,Al II,181.8352,181.8352,181.8355,vacuum,50.0,50,545000000.0,B+,95549.42,150544.17,3s.3d,3D,3,3p.3d,3D*,3
Al,2,Al II,181.8392,181.8392,181.8391,vacuum,3.0,3,68200000.0,C+,95550.51,150544.17,3s.3d,3D,2,3p.3d,3D*,3
Al,2,Al II,181.9249,,181.9249,vacuum,,,95400000.0,C+,95549.42,150517.17,3s.3d,3D,3,3p.3d,3D*,2
Al,2,Al II,181.9285,181.9285,181.9285,vacuum,1.0,1,425000000.0,B,95550.51,150517.17,3s.3d,3D,2,3p.3d,3D*,2
Al,2,Al II,181.9315,,181.9315,vacuum,,,91700000.0,C+,95551.44,150517.17,3s.3d,3D,1,3p.3d,3D*,2
Al,2,Al II,182.0092,,182.0092,vacuum,,,153000000.0,C+,95550.51,150492.80,3s.3d,3D,2,3p.3d,3D*,1
Al,2,Al II,182.0124,182.0124,182.0122,vacuum,2.0,2,457000000.0,B,95551.44,150492.80,3s.3d,3D,1,3p.3d,3D*,1
Al,2,Al II,182.85876,182.85876,182.8587,vacuum,290.0,290,472000000.0,B,91274.50,145961.54,3s.4s,3S,1,3p.4s,3P*,2
Al,2,Al II,183.28374,183.28374,183.2838,vacuum,225.0,225,469000000.0,B,91274.50,145834.70,3s.4s,3S,1,3p.4s,3P*,1
Al,2,Al II,183.48077,183.48077,183.4807,vacuum,170.0,170,467000000.0,C+,91274.50,145776.15,3s.4s,3S,1,3p.4s,3P*,0
Al,2,Al II,183.69635,183.69635,183.6965,vacuum,60.0,60,40300000.0,C,85481.35,139918.98,3p2,1D,2,3s.7p,1P*,1
Al,3,Al III,185.47164,185.47164,185.4716,vacuum,1000.0,1000g,544000000.0,A+,0.00,53916.60,2p6.3s,2S,1/2,2p6.3p,2P*,3/2
Al,2,Al II,185.59286,185.59286,185.5926,vacuum,190.0,190,83800000.0,B+,37393.03,91274.50,3s.3p,3P*,0,3s.4s,3S,1
Al,2,Al II,185.80262,185.80262,185.8025,vacuum,315.0,315,249000000.0,A,37453.91,91274.50,3s.3p,3P*,1,3s.4s,3S,1
Al,2,Al II,185.99796,185.99796,185.99809,vacuum,110.0,110,86800000.0,B,85481.35,139245.343,3p2,1D,2,3s.6f,1F*,3
Al,2,Al II,186.23111,186.23111,186.2311,vacuum,400.0,400,408000000.0,A,37577.79,91274.50,3s.3p,3P*,2,3s.4s,3S,1
Al,3,Al III,186.27895,186.27895,186.279,vacuum,600.0,600g,536000000.0,A+,0.00,53682.93,2p6.3s,2S,1/2,2p6.3p,2P*,1/2
Al,2,Al II,190.4326,190.4326,190.4327,vacuum,8.0,8,270000000.0,D,94084.96,146596.95,3p2,3P,0,3s.10p,3P*,1
Al,2,Al II,190.64082,190.64082,190.6409,vacuum,25.0,25,200000000.0,D,94147.46,146602.10,3p2,3P,1,3s.10p,3P*,2
Al,2,Al II,190.6596,190.6596,190.6596,vacuum,4.0,4,200000000.0,D,94147.46,146596.95,3p2,3P,1,3s.10p,3P*,1
Al,2,Al II,190.6674,190.6674,190.6673,vacuum,8.0,8,820000000.0,D,94147.46,146594.85,3p2,3P,1,3s.10p,3P*,0
Al,2,Al II,191.08252,191.08252,191.0825,vacuum,80.0,80,580000000.0,D,94268.68,146602.10,3p2,3P,2,3s.10p,3P*,2
Al,2,Al II,191.1013,191.1013,191.1013,vacuum,15.0,15,340000000.0,D,94268.68,146596.95,3p2,3P,2,3s.10p,3P*,1
Al,3,Al III,191.1817,,191.1817,vacuum,,,3450000.0,A,126164.05,178470.32,2p6.4s,2S,1/2,2p6.5p,2P*,3/2
Al,3,Al III,191.3166,,191.3166,vacuum,,,3750000.0,A,126164.05,178433.43,2p6.4s,2S,1/2,2p6.5p,2P*,1/2
Al,2,Al II,192.99775,192.99775,192.9977,vacuum,150.0,150,115000000.0,C+,94147.46,145961.54,3p2,3P,1,3p.4s,3P*,2
Al,2,Al II,193.10481,193.10481,193.105,vacuum,125.0,125,1040000000.0,A,59852.02,111637.33,3s.3p,1P*,1,3p2,1S,0
Al,2,Al II,193.23768,193.23768,193.2377,vacuum,150.0,150,153000000.0,C+,94084.96,145834.70,3p2,3P,0,3p.4s,3P*,1
Al,2,Al II,193.45032,193.45032,193.4503,vacuum,225.0,225,344000000.0,B,94268.68,145961.54,3p2,3P,2,3p.4s,3P*,2
Al,2,Al II,193.47129,193.47129,193.4713,vacuum,125.0,125,114000000.0,C+,94147.46,145834.70,3p2,3P,1,3p.4s,3P*,1
Al,3,Al III,193.58404,193.58404,193.584,vacuum,300.0,300*,1190000000.0,A+,115956.21,167613.37,2p6.3d,2D,5/2,2p6.4f,2F*,7/2
Al,3,Al III,193.58404,193.58404,193.5863,vacuum,300.0,300*,79200000.0,A+,115956.21,167612.75,2p6.3d,2D,5/2,2p6.4f,2F*,5/2
Al,3,Al III,193.59489,193.59489,193.5949,vacuum,200.0,200,1110000000.0,A+,115958.50,167612.75,2p6.3d,2D,3/2,2p6.4f,2F*,5/2
Al,2,Al II,193.69066,193.69066,193.6908,vacuum,125.0,125,456000000.0,C+,94147.46,145776.15,3p2,3P,1,3p.4s,3P*,0
Al,2,Al II,193.92606,193.92606,193.9262,vacuum,150.0,150,189000000.0,C+,94268.68,145834.70,3p2,3P,2,3p.4s,3P*,1
Al,3,Al III,194.3522,,194.3522,vacuum,,,1950000.0,B,165786.32,217239.31,2p6.4d,2D,5/2,2p6.9f,2F*,5/2
Al,3,Al III,194.3522,,194.3522,vacuum,,,29300000.0,B+,165786.32,217239.31,2p6.4d,2D,5/2,2p6.9f,2F*,7/2
Al,3,Al III,194.3567,,194.3567,vacuum,,,27300000.0,B+,165787.51,217239.31,2p6.4d,2D,3/2,2p6.9f,2F*,5/2
Al,2,Al II,195.877,195.877,195.8761,vacuum,1.0,1,570000000.0,D,95549.42,146602.10,3s.3d,3D,3,3s.10p,3P*,2
Al,2,Al II,195.8839,,195.8839,vacuum,,,6800000.0,D,95551.44,146602.10,3s.3d,3D,1,3s.10p,3P*,2
Al,2,Al II,195.9036,,195.9036,vacuum,,,170000000.0,D,95551.44,146596.95,3s.3d,3D,1,3s.10p,3P*,1
Al,2,Al II,195.9117,,195.9117,vacuum,,,680000000.0,D,95551.44,146594.85,3s.3d,3D,1,3s.10p,3P*,0
Al,2,Al II,198.365,198.365,198.365,vacuum,10.0,10,4060000.0,C,95549.42,145961.54,3s.3d,3D,3,3p.4s,3P*,2
Al,2,Al II,198.3693,,198.3693,vacuum,,,724000.0,D,95550.51,145961.54,3s.3d,3D,2,3p.4s,3P*,2
Al,2,Al II,198.3729,,198.3729,vacuum,,,48200.0,E,95551.44,145961.54,3s.3d,3D,1,3p.4s,3P*,2
Al,2,Al II,198.8699,198.8699,198.8697,vacuum,3.0,3,3600000.0,C,95550.51,145834.70,3s.3d,3D,2,3p.4s,3P*,1
