element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ar,3,Ar III,191.44119,191.44119,191.44119,vacuum,30.0,30,180000000.0,E,156915.518,209150.8807,3s2.3p3.(4S*).3d,3D*,3,3s2.3p3.(4S*).4p,3P,2
Ar,3,Ar III,191.46704,191.46704,191.466991,vacuum,6.0,6,32000000.0,E,156922.557,209150.8807,3s2.3p3.(4S*).3d,3D*,2,3s2.3p3.(4S*).4p,3P,2
Ar,3,Ar III,191.55767,191.55767,191.55768,vacuum,19.0,19,160000000.0,E,156922.557,209126.1544,3s2.3p3.(4S*).3d,3D*,2,3s2.3p3.(4S*).4p,3P,1
Ar,3,Ar III,191.80682,191.80682,191.8068,vacuum,8.0,8,210000000.0,E,157029.812,209165.6077,3s2.3p3.(4S*).3d,3D*,1,3s2.3p3.(4S*).4p,3P,0
Ar,3,Ar III,191.8667,191.8667,191.86099,vacuum,4.0,4,2100000.0,E,157029.812,209150.8807,3s2.3p3.(4S*).3d,3D*,1,3s2.3p3.(4S*).4p,3P,2
Ar,3,Ar III,191.95199,191.95199,191.95206,vacuum,8.0,8,54000000.0,E,157029.812,209126.1544,3s2.3p3.(4S*).3d,3D*,1,3s2.3p3.(4S*).4p,3P,1
Ar,3,Ar III,224.23208,224.23208,224.2321,air,5.0,5,67000000.0,E,187172.022,231754.836,3s2.3p3.(2D*).3d,3D*,1,3s2.3p3.(2D*).4p,3P,0
Ar,3,Ar III,224.873,224.873,224.87513,air,7.0,7,17000000.0,E,187172.022,231627.364,3s2.3p3.(2D*).3d,3D*,1,3s2.3p3.(2D*).4p,3P,1
Ar,3,Ar III,226.32724,,226.32724,air,,,660000.0,E,187172.022,231342.1658,3s2.3p3.(2D*).3d,3D*,1,3s2.3p3.(2D*).4p,3P,2
Ar,3,Ar III,228.22225,228.22225,228.22221,air,10.0,10,49000000.0,E,187823.939,231627.364,3s2.3p3.(2D*).3d,3D*,2,3s2.3p3.(2D*).4p,3P,1
Ar,3,Ar III,229.715,229.715,229.718,air,5.0,5,9800000.0,E,187823.939,231342.1658,3s2.3p3.(2D*).3d,3D*,2,3s2.3p3.(2D*).4p,3P,2
Ar,2,Ar II,231.7746,231.7746,231.774598,air,191.0,191,14000000.0,C,148842.4674,191974.5800,3s2.3p4.(1D).4s,2D,5/2,3s2.3p4.(1S).4p,2P*,3/2
Ar,3,Ar III,234.51968,234.51968,234.519667,air,14.0,14,54000000.0,E,188714.875,231342.1658,3s2.3p3.(2D*).3d,3D*,3,3s2.3p3.(2D*).4p,3P,2
Ar,3,Ar III,248.41045,248.41045,248.41053,air,5.0,5,30000000.0,E,186402.885,226646.6786,3s2.3p3.(2P*).3d,3F*,4,3s2.3p3.(2D*).4p,3F,4
Ar,3,Ar III,249.295,249.295,249.29343,air,3.0,3,2500000.0,E,186402.885,226504.1601,3s2.3p3.(2P*).3d,3F*,4,3s2.3p3.(2D*).4p,3F,3
Ar,3,Ar III,249.996,249.996,249.99661,air,1.0,1,2000000.0,E,186658.19,226646.6786,3s2.3p3.(2P*).3d,3F*,3,3s2.3p3.(2D*).4p,3F,4
Ar,3,Ar III,250.891,250.891,250.89084,air,3.0,3,26000000.0,E,186658.19,226504.1601,3s2.3p3.(2P*).3d,3F*,3,3s2.3p3.(2D*).4p,3F,3
Ar,3,Ar III,251.826,251.826,251.82088,air,2.0,2,3400000.0,E,186658.19,226357.0086,3s2.3p3.(2P*).3d,3F*,3,3s2.3p3.(2D*).4p,3F,2
Ar,3,Ar III,252.448,252.448,252.44847,air,1.0,1,2500000.0,E,186904.026,226504.1601,3s2.3p3.(2P*).3d,3F*,2,3s2.3p3.(2D*).4p,3F,3
Ar,3,Ar III,253.392,253.392,253.39011,air,3.0,3,27000000.0,E,186904.026,226357.0086,3s2.3p3.(2P*).3d,3F*,2,3s2.3p3.(2D*).4p,3F,2
Ar,3,Ar III,263.18635,263.18635,263.18633,air,6.0,6,37000000.0,E,187172.022,225156.5915,3s2.3p3.(2D*).3d,3D*,1,3s2.3p3.(2D*).4p,3D,1
Ar,3,Ar III,263.24,263.24,263.23751,air,4.0,4,7500000.0,E,187172.022,225149.2072,3s2.3p3.(2D*).3d,3D*,1,3s2.3p3.(2D*).4p,3D,2
Ar,3,Ar III,266.022,266.022,266.01862,air,3.0,3,5500000.0,E,187823.939,225404.1120,3s2.3p3.(2D*).3d,3D*,2,3s2.3p3.(2D*).4p,3D,3
Ar,3,Ar III,267.787,267.787,267.78246,air,3.0,3,12000000.0,E,187823.939,225156.5915,3s2.3p3.(2D*).3d,3D*,2,3s2.3p3.(2D*).4p,3D,1
Ar,3,Ar III,267.83541,267.83541,267.83544,air,12.0,12,34000000.0,E,187823.939,225149.2072,3s2.3p3.(2D*).3d,3D*,2,3s2.3p3.(2D*).4p,3D,2
Ar,2,Ar II,269.2594235,,269.2594235,air,,,500000.0,C,135085.9958,172213.8798,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(1D).4p,2P*,3/2
Ar,3,Ar III,272.47879,272.47879,272.4788,air,16.0,16,42000000.0,E,188714.875,225404.1120,3s2.3p3.(2D*).3d,3D*,3,3s2.3p3.(2D*).4p,3D,3
Ar,3,Ar III,274.389,274.389,274.38524,air,3.0,3,7300000.0,E,188714.875,225149.2072,3s2.3p3.(2D*).3d,3D*,3,3s2.3p3.(2D*).4p,3D,2
Ar,2,Ar II,275.4864,275.4864,275.486713,air,2.0,2,200000.0,C+,134241.7389,170530.4040,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(1D).4p,2F*,7/2
Ar,2,Ar II,284.4129,284.4129,284.412859,air,4.0,4,200000.0,C,138243.6444,173393.4658,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(1D).4p,2D*,5/2
Ar,2,Ar II,284.7816,284.7816,284.781921,air,3.0,3,300000.0,C,138243.6444,173347.9158,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(1D).4p,2D*,3/2
Ar,2,Ar II,289.16123,289.16123,289.161218,air,234.0,234,18200000.0,B,138243.6444,172816.2926,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(1D).4p,2P*,1/2
Ar,2,Ar II,293.25905,293.25905,293.259008,air,6.0,6,800000.0,C,139258.3389,173347.9158,3s2.3p4.(3P).4s,2P,1/2,3s2.3p4.(1D).4p,2D*,3/2
Ar,2,Ar II,294.28932,294.28932,294.289308,air,1047.0,1047,53000000.0,B,138243.6444,172213.8798,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(1D).4p,2P*,3/2
Ar,2,Ar II,297.90502,297.90502,297.905007,air,263.0,263,41600000.0,B,139258.3389,172816.2926,3s2.3p4.(3P).4s,2P,1/2,3s2.3p4.(1D).4p,2P*,1/2
Ar,2,Ar II,300.04451,300.04451,300.044527,air,17.0,17,150000000.0,D,159393.3850,192712.058,3s2.3p4.(3P).4p,2D*,3/2,3s2.3p4.(3P).4d,2D,3/2
Ar,3,Ar III,300.522,,300.522,air,,,0.043,D,0.000,33265.7,3s2.3p4,3P,2,3s2.3p4,1S,0
Ar,3,Ar III,302.39801,302.39801,302.39806,air,5.0,5,260000000.0,D,207233.003,240292.3714,3s2.3p3.(2P*).4s,3P*,2,3s2.3p3.(2P*).4p,3D,3
Ar,3,Ar III,302.716,302.716,302.70864,air,5.0,5,64000000.0,D,207233.003,240258.453,3s2.3p3.(2P*).4s,3P*,2,3s2.3p3.(2P*).4p,3D,2
Ar,2,Ar II,302.8914,302.8914,302.891399,air,47.0,47*,230000000.0,D,159706.5337,192712.058,3s2.3p4.(3P).4p,2P*,1/2,3s2.3p4.(3P).4d,2D,3/2
Ar,2,Ar II,303.35082,303.35082,303.350811,air,78.0,78,9900000.0,B,139258.3389,172213.8798,3s2.3p4.(3P).4s,2P,1/2,3s2.3p4.(1D).4p,2P*,3/2
Ar,3,Ar III,303.696,303.696,303.68767,air,3.0,3,7000000.0,E,207233.003,240151.990,3s2.3p3.(2P*).4s,3P*,2,3s2.3p3.(2P*).4p,3D,1
Ar,3,Ar III,305.47736,305.47736,305.4775,air,3.0,3,190000000.0,D,207532.33,240258.453,3s2.3p3.(2P*).4s,3P*,1,3s2.3p3.(2P*).4p,3D,2
Ar,3,Ar III,306.477,306.477,306.4745,air,10.0,10,100000000.0,D,207532.33,240151.990,3s2.3p3.(2P*).4s,3P*,1,3s2.3p3.(2P*).4p,3D,1
Ar,3,Ar III,307.815,307.815,307.81323,air,10.0,10,140000000.0,D,207674.192,240151.990,3s2.3p3.(2P*).4s,3P*,0,3s2.3p3.(2P*).4p,3D,1
Ar,2,Ar II,309.34018,309.34018,309.340173,air,68.0,68,440000000.0,D,160239.4280,192556.9179,3s2.3p4.(3P).4p,2P*,3/2,3s2.3p4.(3P).4d,2D,5/2
Ar,3,Ar III,310.908,310.908,310.918,air,,,4.02,C,1112.17,33265.7,3s2.3p4,3P,1,3s2.3p4,1S,0
Ar,2,Ar II,313.90174,313.90174,313.901722,air,79.0,79,52000000.0,C,155043.1619,186891.0393,3s2.3p4.(3P).4p,4P*,5/2,3s2.3p4.(3P).4d,4P,5/2
Ar,2,Ar II,314.6422,314.6422,314.642615,air,4.0,4,300000.0,D,155043.1619,186816.0496,3s2.3p4.(3P).4p,4P*,5/2,3s2.3p4.(3P).4d,2F,7/2
Ar,2,Ar II,316.13729,316.13729,316.137289,air,45.0,45,180000000.0,D,161089.3846,192712.058,3s2.3p4.(3P).4p,2S*,1/2,3s2.3p4.(3P).4d,2D,3/2
