element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
As,1,As I,189.042,189.042,189.043,vacuum,1000.0,1000r,266000000.0,C+,0.0,52897.9,4s2.4p3,4S*,3/2,4s2.4p2.(3P).5s,4P,5/2
As,1,As I,193.759,193.759,193.76,vacuum,800.0,800r,219000000.0,C+,0.0,51610.2,4s2.4p3,4S*,3/2,4s2.4p2.(3P).5s,4P,3/2
As,1,As I,197.262,197.262,197.263,vacuum,585.0,585r,202000000.0,C+,0.0,50693.8,4s2.4p3,4S*,3/2,4s2.4p2.(3P).5s,4P,1/2
As,1,As I,228.812,228.812,228.811,air,350.0,350r,280000000.0,D,10914.6,54605.3,4s2.4p3,2D*,5/2,4s2.4p2.(3P).5s,2P,3/2
As,1,As I,234.403,234.403,234.402,air,35.0,35,35000000.0,D,18186.1,60834.8,4s2.4p3,2P*,1/2,4s2.4p2.(1D).5s,2D,3/2
As,1,As I,234.984,234.984,234.984,air,350.0,350r,310000000.0,D,10592.5,53135.6,4s2.4p3,2D*,3/2,4s2.4p2.(3P).5s,2P,1/2
As,1,As I,236.967,236.967,236.966,air,6.0,6r,60000000.0,D,18647.5,60834.8,4s2.4p3,2P*,3/2,4s2.4p2.(1D).5s,2D,3/2
As,1,As I,237.077,237.077,237.077,air,100.0,100r,42000000.0,D,18647.5,60815.0,4s2.4p3,2P*,3/2,4s2.4p2.(1D).5s,2D,5/2
As,1,As I,245.653,245.653,245.652,air,170.0,170r,7200000.0,D,10914.6,51610.2,4s2.4p3,2D*,5/2,4s2.4p2.(3P).5s,4P,3/2
As,1,As I,249.291,249.291,249.293,air,40.0,40,12000000.0,D,10592.5,50693.8,4s2.4p3,2D*,3/2,4s2.4p2.(3P).5s,4P,1/2
As,1,As I,274.5,274.5,274.499,air,40.0,40r,26000000.0,D,18186.1,54605.3,4s2.4p3,2P*,1/2,4s2.4p2.(3P).5s,2P,3/2
As,1,As I,278.022,278.022,278.022,air,170.0,170r,78000000.0,D,18647.5,54605.3,4s2.4p3,2P*,3/2,4s2.4p2.(3P).5s,2P,3/2
As,1,As I,286.044,286.044,286.043,air,100.0,100r,55000000.0,D,18186.1,53135.6,4s2.4p3,2P*,1/2,4s2.4p2.(3P).5s,2P,1/2
As,1,As I,289.871,289.871,289.87,air,50.0,50r,9900000.0,D,18647.5,53135.6,4s2.4p3,2P*,3/2,4s2.4p2.(3P).5s,2P,1/2
