element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Au,1,Au I,212.663,212.663,212.66513,air,15.0,15,3800000.0,E,0.000,47007.433,5d10.6s,2S,1/2,5d9<5/2>.6s<1/2>.6p<3/2>,4P*,3/2
Au,1,Au I,235.258,235.258,235.262,air,180.0,180,8000000.0,D,9161.177,51653.9,5d9.6s2,2D,5/2,5d9<5/2>.6s<1/2>.6p<3/2>,2D*,5/2
Au,1,Au I,242.795,242.795,242.7944,air,2600.0,2600,198000000.0,B+,0.000,41174.613,5d10.6s,2S,1/2,5d10.6p,2P*,3/2
Au,1,Au I,264.148,264.148,264.14823,air,250.0,250,4400000.0,D,9161.177,47007.433,5d9.6s2,2D,5/2,5d9<5/2>.6s<1/2>.6p<3/2>,4P*,3/2
Au,1,Au I,267.595,267.595,267.59366,air,3400.0,3400,164000000.0,A+,0.000,37358.991,5d10.6s,2S,1/2,5d10.6p,2P*,1/2
Au,1,Au I,274.825,274.825,274.82513,air,1100.0,1100,10300000.0,B,9161.177,45537.195,5d9.6s2,2D,5/2,5d9<5/2>.6s<1/2>.6p<1/2>,4F*,7/2
Au,1,Au I,312.278,312.278,312.27831,air,1600.0,1600,19000000.0,B+,9161.177,41174.613,5d9.6s2,2D,5/2,5d10.6p,2P*,3/2
Au,1,Au I,330.83,330.83,330.826,air,300.0,300,310000.0,E,21435.191,51653.9,5d9.6s2,2D,3/2,5d9<5/2>.6s<1/2>.6p<3/2>,2D*,5/2
Au,1,Au I,332.012,332.012,332.016,air,100.0,100,30000000.0,C,37358.991,67469.4,5d10.6p,2P*,1/2,5d10.7d,2D,3/2
Au,1,Au I,379.601,379.601,379.599,air,100.0,100,32000000.0,C,41174.613,67510.7,5d10.6p,2P*,3/2,5d10.7d,2D,5/2
Au,1,Au I,390.938,390.938,390.93828,air,300.0,300,110000.0,E,21435.191,47007.433,5d9.6s2,2D,3/2,5d9<5/2>.6s<1/2>.6p<3/2>,4P*,3/2
Au,1,Au I,406.507,406.507,406.511,air,700.0,700,85000000.0,B+,37358.991,61951.6,5d10.6p,2P*,1/2,5d10.6d,2D,3/2
Au,1,Au I,479.258,479.258,479.273,air,500.0,500,89000000.0,B+,41174.613,62033.7,5d10.6p,2P*,3/2,5d10.6d,2D,5/2
Au,1,Au I,481.16,481.16,481.167,air,100.0,100,15700000.0,B+,41174.613,61951.6,5d10.6p,2P*,3/2,5d10.6d,2D,3/2
Au,1,Au I,506.459,506.459,506.4593,air,30.0,30,520000.0,D,21435.191,41174.613,5d9.6s2,2D,3/2,5d10.6p,2P*,3/2
Au,1,Au I,583.737,583.737,583.7374,air,300.0,300,29500000.0,B+,37358.991,54485.235,5d10.6p,2P*,1/2,5d10.7s,2S,1/2
Au,1,Au I,627.817,627.817,627.8172,air,600.0,600,3400000.0,D,21435.191,37358.991,5d9.6s2,2D,3/2,5d10.6p,2P*,1/2
Au,1,Au I,751.073,751.073,751.0729,air,600.0,600,42400000.0,B+,41174.613,54485.235,5d10.6p,2P*,3/2,5d10.7s,2S,1/2
