element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
B,1,B I,181.78437,181.78437,181.784357,vacuum,20.0,20,31200000.0,B+,0.0000,55010.2338,2s2.2p,2P*,1/2,2s2.4s,2S,1/2
B,1,B I,181.834891,181.834891,181.834888,vacuum,30.0,30,62200000.0,B+,15.287,55010.2338,2s2.2p,2P*,3/2,2s2.4s,2S,1/2
B,1,B I,182.58939,182.58939,182.589392,vacuum,70.0,70,170000000.0,A,0.0000,54767.6944,2s2.2p,2P*,1/2,2s2.3d,2D,3/2
B,1,B I,182.639952,182.639952,182.63989,vacuum,100.0,100,204000000.0,A,15.287,54767.8387,2s2.2p,2P*,3/2,2s2.3d,2D,5/2
B,1,B I,182.640371,,182.640371,vacuum,,m,33900000.0,A,15.287,54767.6944,2s2.2p,2P*,3/2,2s2.3d,2D,3/2
B,2,B II,184.282,184.282,184.28193,vacuum,2000.0,2000,1330000000.0,A,73396.510,127661.19,1s2.2s.2p,1P*,1,1s2.2p2,1S,0
B,2,B II,184.828,184.828,184.8275,vacuum,18.0,18,167000000.0,B,127661.19,181765.7,1s2.2p2,1S,0,1s2.2s.5p,1P*,1
B,2,B II,185.7183,,185.7183,vacuum,,,4500000.0,D,129773.83,183618.81,1s2.2s.3s,3S,1,1s2.2s.5p,3P*,2
B,2,B II,185.7183,,185.7183,vacuum,,,4400000.0,D,129773.83,183618.81,1s2.2s.3s,3S,1,1s2.2s.5p,3P*,1
B,2,B II,185.7183,,185.7183,vacuum,,,4400000.0,D,129773.83,183618.81,1s2.2s.3s,3S,1,1s2.2s.5p,3P*,0
B,2,B II,189.121,189.121,189.1194,vacuum,25.0,25,27400000.0,C,144102.94,196979.6,1s2.2s.3p,1P*,1,1s2.2p.3p,1D,2
B,2,B II,192.667,192.667,192.6674,vacuum,350.0,350,224000000.0,B,129773.83,181676.76,1s2.2s.3s,3S,1,1s2.2p.3s,3P*,2
B,2,B II,192.7462,192.7462,192.7461,vacuum,280.0,280,224000000.0,B,129773.83,181655.55,1s2.2s.3s,3S,1,1s2.2p.3s,3P*,1
B,2,B II,192.7814,192.7814,192.782,vacuum,100.0,100,223000000.0,B,129773.83,181645.9,1s2.2s.3s,3S,1,1s2.2p.3s,3P*,0
B,2,B II,193.6917,193.6917,193.6915,vacuum,100.0,100,60200000.0,B,143990.56,195619.05,1s2.2s.3p,3P*,1,1s2.2p.3p,3P,2
B,2,B II,193.7046,193.7046,193.7048,vacuum,200.0,200,181000000.0,B,143994.11,195619.05,1s2.2s.3p,3P*,2,1s2.2p.3p,3P,2
B,2,B II,193.7294,193.7294,193.7299,vacuum,100.0,100,80500000.0,B,143989.95,195608.22,1s2.2s.3p,3P*,0,1s2.2p.3p,3P,1
B,2,B II,193.7321,,193.7321,vacuum,,,60500000.0,B,143990.56,195608.22,1s2.2s.3p,3P*,1,1s2.2p.3p,3P,1
B,2,B II,193.7459,193.7459,193.7455,vacuum,100.0,100,100000000.0,B,143994.11,195608.22,1s2.2s.3p,3P*,2,1s2.2p.3p,3P,1
B,2,B II,193.7565,193.7565,193.7566,vacuum,100.0,100,241000000.0,B,143990.56,195601.7,1s2.2s.3p,3P*,1,1s2.2p.3p,3P,0
B,3,B III,195.3495,195.3495,195.3491,vacuum,3000.0,3000,463000000.0,A,192951.23,244141.63,1s2.3p,2P*,1/2,1s2.4d,2D,3/2
B,3,B III,195.3827,195.3827,195.3826,vacuum,6000.0,6000*,557000000.0,A,192961.24,244142.86,1s2.3p,2P*,3/2,1s2.4d,2D,5/2
B,3,B III,195.3827,195.3827,195.3873,vacuum,6000.0,6000*,92400000.0,A,192961.24,244141.63,1s2.3p,2P*,3/2,1s2.4d,2D,3/2
B,2,B II,200.5868,200.5868,200.5868,air,200.0,200,221000000.0,B,150649.68,200487.28,1s2.2s.3d,3D,3,1s2.2p.3d,3D*,3
