element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ba,2,Ba II,189.265,189.265,189.2505,vacuum,,,13000000.0,D,20261.561,73101.58,6p,2P*,1/2,10d,2D,3/2
Ba,2,Ba II,192.46712,192.46712,192.4671,vacuum,10.0,10,3100000.0,E,5674.807,57631.739,5d,2D,5/2,5f,2F*,7/2
Ba,2,Ba II,195.421,195.421,195.4272,vacuum,,,14000000.0,D,21952.404,73122.35,6p,2P*,3/2,10d,2D,5/2
Ba,2,Ba II,197.019,197.019,197.0332,vacuum,,,6700000.0,E,21952.404,72705.28,6p,2P*,3/2,11s,2S,1/2
Ba,2,Ba II,198.57548,198.57548,198.57548,vacuum,6.0,6,20000000.0,D,20261.561,70620.247,6p,2P*,1/2,9d,2D,3/2
Ba,2,Ba II,199.952,199.952,199.95465,vacuum,,,10000000.0,E,0.000,50011.340,6s,2S,1/2,7p,2P*,3/2
Ba,2,Ba II,200.92,200.92,200.92785,air,,,6500000.0,C+,20261.561,70014.584,6p,2P*,1/2,10s,2S,1/2
Ba,2,Ba II,202.40561,202.40561,202.40564,air,5.0,5,6900000.0,C,0.000,49389.822,6s,2S,1/2,7p,2P*,1/2
Ba,2,Ba II,205.27516,205.27516,205.27516,air,12.0,12,22000000.0,D,21952.404,70651.905,6p,2P*,3/2,9d,2D,5/2
Ba,2,Ba II,205.391,205.391,205.40871,air,,,3700000.0,D,21952.404,70620.247,6p,2P*,3/2,9d,2D,3/2
Ba,2,Ba II,207.99753,207.99753,207.99753,air,9.0,9,12000000.0,C+,21952.404,70014.584,6p,2P*,3/2,10s,2S,1/2
Ba,2,Ba II,215.39336,215.39336,215.39337,air,74.0,74,34000000.0,C,20261.561,66673.651,6p,2P*,1/2,8d,2D,3/2
Ba,2,Ba II,220.08853,220.08853,220.08852,air,30.0,30,11000000.0,C+,20261.561,65683.646,6p,2P*,1/2,9s,2S,1/2
Ba,2,Ba II,221.47634,221.47634,221.47634,air,45.0,45,1600000.0,D,4873.852,50011.340,5d,2D,3/2,7p,2P*,3/2
Ba,2,Ba II,223.27858,223.27858,223.27858,air,170.0,170,37000000.0,C,21952.404,66725.591,6p,2P*,3/2,8d,2D,5/2
Ba,2,Ba II,223.53795,223.53795,223.53793,air,17.0,17,6100000.0,C,21952.404,66673.651,6p,2P*,3/2,8d,2D,3/2
Ba,2,Ba II,224.56883,224.56883,224.56883,air,173.0,173,16000000.0,D,4873.852,49389.822,5d,2D,3/2,7p,2P*,1/2
Ba,2,Ba II,225.47779,225.47779,225.47778,air,415.0,415,14000000.0,D,5674.807,50011.340,5d,2D,5/2,7p,2P*,3/2
Ba,2,Ba II,228.59894,228.59894,228.59895,air,68.0,68,20000000.0,C+,21952.404,65683.646,6p,2P*,3/2,9s,2S,1/2
Ba,1,Ba I,240.9233,240.9233,240.9232,air,5.0,5a,86000.0,C+,0.000,41494.39,6s2,1S,0,6s.18p,1P*,1
Ba,1,Ba I,241.408,241.408,241.4081,air,6.0,6a,150000.0,C+,0.000,41411.04,6s2,1S,0,6s.17p,1P*,1
