element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Be,3,Be III,191.649,,191.649,vacuum,,,195610000.0,AAA,[1127716.0],[1179894.7],1s.3s,1S,0,1s.4p,1P*,1
Be,1,Be I,192.967,192.967,192.965,vacuum,7.0,7*,5120000.0,B,21978.925,73801.8,1s2.2s.2p,3P*,1,1s2.2s.9d,3D,2
Be,1,Be I,192.967,192.967,192.966,vacuum,7.0,7*,3790000.0,B,21978.31,73801,1s2.2s.2p,3P*,0,1s2.2s.9d,3D,1
Be,1,Be I,192.967,192.967,192.967,vacuum,7.0,7*,6810000.0,B,21981.26,73803.6,1s2.2s.2p,3P*,2,1s2.2s.9d,3D,3
Be,1,Be I,192.967,192.967,192.968,vacuum,7.0,7*,2850000.0,B,21978.925,73801,1s2.2s.2p,3P*,1,1s2.2s.9d,3D,1
Be,1,Be I,192.967,192.967,192.974,vacuum,7.0,7*,1710000.0,B,21981.26,73801.8,1s2.2s.2p,3P*,2,1s2.2s.9d,3D,2
Be,1,Be I,192.967,192.967,192.977,vacuum,7.0,7*,190000.0,B,21981.26,73801,1s2.2s.2p,3P*,2,1s2.2s.9d,3D,1
Be,3,Be III,193.067,,193.067,vacuum,,,3225.4,AAA,[1127716.0],[1179511.40],1s.3s,1S,0,1s.4d,1D,2
Be,1,Be I,194.368,194.368,194.3592,vacuum,11.0,11*,5430000.0,B,21978.31,73429.43,1s2.2s.2p,3P*,0,1s2.2s.8d,3D,1
Be,1,Be I,194.368,194.368,194.3616,vacuum,11.0,11*,7340000.0,B,21978.925,73429.42,1s2.2s.2p,3P*,1,1s2.2s.8d,3D,2
Be,1,Be I,194.368,194.368,194.3616,vacuum,11.0,11*,4070000.0,B,21978.925,73429.43,1s2.2s.2p,3P*,1,1s2.2s.8d,3D,1
Be,1,Be I,194.368,194.368,194.3704,vacuum,11.0,11*,2440000.0,B,21981.26,73429.42,1s2.2s.2p,3P*,2,1s2.2s.8d,3D,2
Be,1,Be I,194.368,194.368,194.3704,vacuum,11.0,11*,271000.0,B,21981.26,73429.43,1s2.2s.2p,3P*,2,1s2.2s.8d,3D,1
Be,1,Be I,194.368,194.368,194.3707,vacuum,11.0,11*,9780000.0,B,21981.26,73429.34,1s2.2s.2p,3P*,2,1s2.2s.8d,3D,3
Be,3,Be III,195.327,,195.327,vacuum,,,69553.0,AAA,[1128315.30],[1179511.40],1s.3p,3P*,2,1s.4d,1D,2
Be,3,Be III,195.327,,195.327,vacuum,,,168320.0,AAA,[1128315.30],[1179511.40],1s.3p,3P*,1,1s.4d,1D,2
Be,3,Be III,195.497,195.497,195.496,vacuum,60.0,60w*,552120000.0,AAA,[1128315.30],[1179467.30],1s.3p,3P*,2,1s.4d,3D,3
Be,3,Be III,195.497,195.497,195.496,vacuum,60.0,60w*,137960000.0,AAA,[1128315.30],[1179467.30],1s.3p,3P*,2,1s.4d,3D,2
Be,3,Be III,195.497,195.497,195.496,vacuum,60.0,60w*,413920000.0,AAA,[1128315.30],[1179467.30],1s.3p,3P*,1,1s.4d,3D,2
Be,3,Be III,195.497,195.497,195.496,vacuum,60.0,60w*,15337000.0,AAA,[1128315.30],[1179467.30],1s.3p,3P*,2,1s.4d,3D,1
Be,3,Be III,195.497,195.497,195.496,vacuum,60.0,60w*,230050000.0,AAA,[1128315.30],[1179467.30],1s.3p,3P*,1,1s.4d,3D,1
Be,3,Be III,195.497,195.497,195.496,vacuum,60.0,60w*,306730000.0,AAA,[1128315.30],[1179467.30],1s.3p,3P*,0,1s.4d,3D,1
Be,1,Be I,195.663,195.663,195.656,vacuum,2.0,2*,398000.0,C,21978.31,73088.4,1s2.2s.2p,3P*,0,1s2.2s.8s,3S,1
Be,1,Be I,195.663,195.663,195.658,vacuum,2.0,2*,1190000.0,C,21978.925,73088.4,1s2.2s.2p,3P*,1,1s2.2s.8s,3S,1
Be,1,Be I,195.663,195.663,195.667,vacuum,2.0,2*,1990000.0,C,21981.26,73088.4,1s2.2s.2p,3P*,2,1s2.2s.8s,3S,1
Be,1,Be I,196.459,196.459,196.4532,vacuum,19.0,19*,8150000.0,B,21978.31,72881.03,1s2.2s.2p,3P*,0,1s2.2s.7d,3D,1
Be,1,Be I,196.459,196.459,196.4555,vacuum,19.0,19*,6120000.0,B,21978.925,72881.03,1s2.2s.2p,3P*,1,1s2.2s.7d,3D,1
Be,1,Be I,196.459,196.459,196.4556,vacuum,19.0,19*,11000000.0,B,21978.925,72881.01,1s2.2s.2p,3P*,1,1s2.2s.7d,3D,2
Be,1,Be I,196.459,196.459,196.4645,vacuum,19.0,19*,408000.0,B,21981.26,72881.03,1s2.2s.2p,3P*,2,1s2.2s.7d,3D,1
Be,1,Be I,196.459,196.459,196.4646,vacuum,19.0,19*,3670000.0,B,21981.26,72881.01,1s2.2s.2p,3P*,2,1s2.2s.7d,3D,2
