element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Bi,3,Bi III,183.4287,183.4287,183.4283,vacuum,290.0,290,8000000.0,D+,83038.06,137555.28,6s.6p2.(3P),4P,3/2,6s2.5f,2F*,5/2
Bi,3,Bi III,185.2731,185.2731,185.2732,vacuum,200.0,200,14000000.0,D+,102446.27,156420.63,6s2.6d,2D,5/2,6s2.8p,2P*,3/2
Bi,3,Bi III,186.3751,186.3751,186.3753,vacuum,250.0,250,36000000.0,D+,108586.42,162241.6,6s.6p2.(1D),2D,3/2,6s2.6f,2F*,5/2
Bi,3,Bi III,188.024,188.024,188.0215,vacuum,140.0,140,51000000.0,D+,137455.39,190640.8,6s2.5f,2F*,7/2,6s2.8g,2G,9/2
Bi,3,Bi III,188.2527,188.2527,188.2532,vacuum,100.0,100,20000000.0,D+,116414.30,169534.24,6s.6p2.(1D),2D,5/2,6s.6p.(3P*).7s,4P*,3/2
Bi,3,Bi III,188.364,188.364,188.3654,vacuum,140.0,140,49000000.0,D+,137555.28,190643.6,6s2.5f,2F*,5/2,6s2.8g,2G,7/2
Bi,2,Bi II,190.2341,190.2341,190.23422,vacuum,100.0,100,355000000.0,,17031.698,69598.475,6s2.6p2,3P,2,6s2.6p.7s,"(1/2,1/2)*",1
Bi,3,Bi III,191.2054,191.2054,191.2057,vacuum,270.0,270,130000000.0,D+,116993.4,169293.1,6s2.7p,2P*,1/2,6s2.8d,2D,3/2
Bi,3,Bi III,192.772,192.772,192.7715,vacuum,33.0,33hfs,3700000.0,D+,70253.71,122128.6,6s.6p2.(3P),4P,1/2,6s2.7p,2P*,3/2
Bi,3,Bi III,193.1438,193.1438,193.1442,vacuum,30.0,30,3300000.0,D+,149795.4,201570.2,6s2.7d,2D,5/2,6p3,2D*,3/2
Bi,1,Bi I,195.47059,195.47059,195.47096,vacuum,16000.0,16000,58600000.0,B,0.000,51158.494,6p3,4S*,3/2,6p2.(3P<0>).7d,2[2],5/2
Bi,1,Bi I,196.00491,196.00491,196.00506,vacuum,4200.0,4200,15400000.0,C+,0.000,51019.090,6p3,4S*,3/2,6p2.(3P<0>).7d,2[2],3/2
Bi,3,Bi III,198.8257,198.8257,198.8257,vacuum,270.0,270,70000000.0,D+,116993.4,167288.7,6s2.7p,2P*,1/2,6s2.9s,2S,1/2
Bi,3,Bi III,202.0958,202.0958,202.09581,air,140.0,"140hfs,p(Bi I)",3000000.0,E,20788.18,70253.71,6s2.6p,2P*,3/2,6s.6p2.(3P),4P,1/2
Bi,1,Bi I,202.11493,202.11493,202.11469,air,3300.0,3300,5790000.0,C+,0.000,49460.910,6p3,4S*,3/2,6p2.(3P<2>).7s,2[2],3/2
Bi,1,Bi I,206.16336,206.16336,206.16272,air,42000.0,42000,96200000.0,B,0.000,48489.869,6p3,4S*,3/2,6p2.(3P<2>).7s,2[2],5/2
Bi,3,Bi III,206.579,206.579,206.5767,air,240.0,240,90000000.0,D+,137455.39,185848.1,6s2.5f,2F*,7/2,6s2.7g,2G,9/2
Bi,3,Bi III,206.892,206.892,206.8911,air,120.0,120hfs,8000000.0,D+,89236.09,137555.28,6s.6p2.(3P),4P,5/2,6s2.5f,2F*,5/2
Bi,3,Bi III,206.997,206.997,206.9869,air,170.0,170,90000000.0,D+,137555.28,185852.1,6s2.5f,2F*,5/2,6s2.7g,2G,7/2
Bi,3,Bi III,207.3197,207.3197,207.3197,air,2300.0,"2300hfs,p(Cu)",110000000.0,D+,89236.09,137455.39,6s.6p2.(3P),4P,5/2,6s2.5f,2F*,7/2
Bi,3,Bi III,210.35,210.35,210.331,air,660.0,660,110000000.0,D+,122128.6,169657.6,6s2.7p,2P*,3/2,6s2.8d,2D,5/2
Bi,1,Bi I,211.02175,211.02175,211.02172,air,10000.0,10000,90400000.0,B,0.000,47373.477,6p3,4S*,3/2,6p2.(3P<0>).8s,2[0],1/2
Bi,3,Bi III,211.965,211.965,211.9568,air,200.0,200,19000000.0,D+,122128.6,169293.1,6s2.7p,2P*,3/2,6s2.8d,2D,3/2
