element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Br,1,Br I,436.5139,436.5139,436.515,air,2000.0,2000,1500000.0,D+,66883.87,89786.18,4s2.4p4.(3P<1>).5s,2[1],1/2,4s2.4p4.(3P<2>).7p,2[1]*,3/2
Br,1,Br I,442.514,442.514,442.513,air,1500.0,1500,900000.0,D+,64907.19,87499.03,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(1D<2>).5p,2[1]*,1/2
Br,1,Br I,444.174,444.174,444.173,air,10000.0,10000,1500000.0,C,63436.45,85943.86,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).6p,2[1]*,3/2
Br,1,Br I,447.2609,447.2609,447.26,air,10000.0,10000,2200000.0,D,64907.19,87259.29,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(1D<2>).5p,2[1]*,3/2
Br,1,Br I,447.772,447.772,447.772,air,20000.0,20000,2100000.0,C,63436.45,85762.98,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).6p,2[3]*,7/2
Br,1,Br I,449.0419,449.0419,449.041,air,1000.0,1000,1600000.0,E,66883.87,89147.30,4s2.4p4.(3P<1>).5s,2[1],1/2,4s2.4p4.(3P<1>).6p,2[1]*,1/2
Br,1,Br I,451.3439,451.3439,451.344,air,3000.0,3000,570000.0,D+,63436.45,85586.30,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).6p,2[2]*,3/2
Br,1,Br I,452.559,452.559,452.559,air,15000.0,15000,1500000.0,D+,63436.45,85526.82,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).6p,2[2]*,5/2
Br,2,Br II,470.485,470.485,,air,500.0,500,110000000.0,,,,,,2,,,3
Br,2,Br II,478.55,478.55,,air,500.0,500,94000000.0,,,,,,2,,,2
Br,2,Br II,481.67,481.67,,air,500.0,500,110000000.0,,,,,,2,,,1
Br,1,Br I,497.9759,497.9759,497.975,air,4000.0,4000,530000.0,D+,67183.58,87259.29,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(1D<2>).5p,2[1]*,3/2
Br,1,Br I,536.419,536.419,536.419,air,300.0,300,29000.0,E,67183.58,85820.53,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<2>).6p,2[3]*,5/2
Br,1,Br I,537.034,537.034,537.034,air,300.0,300,50000.0,E,67183.58,85799.19,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<2>).6p,2[1]*,1/2
Br,1,Br I,635.073,635.073,635.073,air,60000.0,60000,2200000.0,C,63436.45,79178.33,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<1>).5p,2[1]*,3/2
Br,1,Br I,655.9799,655.9799,655.978,air,50000.0,50000c,700000.0,C,63436.45,78676.65,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<1>).5p,2[2]*,3/2
Br,1,Br I,663.1619,663.1619,663.16,air,50000.0,50000c,700000.0,C,63436.45,78511.60,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<1>).5p,2[2]*,5/2
Br,1,Br I,700.5192,700.5192,700.522,air,10000.0,10000,4300000.0,C,64907.19,79178.33,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<1>).5p,2[1]*,3/2
Br,1,Br I,726.0448,726.0448,726.045,air,2000.0,2000,560000.0,C,64907.19,78676.65,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<1>).5p,2[2]*,3/2
Br,1,Br I,734.8512,734.8512,734.853,air,10000.0,10000,4700000.0,C,64907.19,78511.60,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<1>).5p,2[2]*,5/2
Br,1,Br I,793.8679,793.8679,793.868,air,30000.0,30000c,22000000.0,C+,75890.33,88483.42,4s2.4p4.(1D<2>).5s,2[2],5/2,4s2.4p4.(1D<2>).5p,2[2]*,5/2
Br,1,Br I,797.8511,797.8511,797.849,air,18000.0,18000hfs,19000000.0,C+,75908.53,88438.78,4s2.4p4.(1D<2>).5s,2[2],3/2,4s2.4p4.(1D<2>).5p,2[2]*,3/2
Br,1,Br I,798.9938,798.9938,798.993,air,30000.0,30000,3100000.0,C,67183.58,79695.89,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<0>).5p,2[1]*,3/2
