element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
C,3,C III,180.517,,180.517,vacuum,,,290000.0,C,308216.58,363613,1s2.2p.(2P*).3s,3P*,0,1s2.2s.7s,3S,1
C,3,C III,180.622,,180.622,vacuum,,,867000.0,C+,308248.91,363613,1s2.2p.(2P*).3s,3P*,1,1s2.2s.7s,3S,1
C,3,C III,180.846,,180.846,vacuum,,,1440000.0,B,308317.29,363613,1s2.2p.(2P*).3s,3P*,2,1s2.2s.7s,3S,1
C,2,C II,185.1559,,185.1559,vacuum,,,7550000.0,B,131724.382,185732.93,2s2.3p,2P*,1/2,2s2.7s,2S,1/2
C,2,C II,185.1941,,185.1941,vacuum,,,15100000.0,B,131735.528,185732.93,2s2.3p,2P*,3/2,2s2.7s,2S,1/2
C,3,C III,188.06,,188.06,vacuum,,,32800000.0,B,311721.51,364896,1s2.2s.4s,1S,0,1s2.2s.7p,1P*,1
C,2,C II,189.08235,,189.08235,vacuum,,,46000.0,D,145549.25,198436.26,2s2.3d,2D,3/2,2s.2p.(3P*).3d,2D*,5/2
C,2,C II,189.08753,,189.08753,vacuum,,,644000.0,B,145550.70,198436.26,2s2.3d,2D,5/2,2s.2p.(3P*).3d,2D*,5/2
C,2,C II,189.1209,,189.1209,vacuum,,,620000.0,C+,145549.25,198425.48,2s2.3d,2D,3/2,2s.2p.(3P*).3d,2D*,3/2
C,2,C II,189.12608,,189.12608,vacuum,,,70000.0,D,145550.70,198425.48,2s2.3d,2D,5/2,2s.2p.(3P*).3d,2D*,3/2
C,3,C III,189.429,,189.429,vacuum,,,540000000.0,B,258931.29,311721.51,1s2.2s.3p,1P*,1,1s2.2s.4s,1S,0
C,3,C III,189.736,,189.736,vacuum,,,17200000.0,B,317794.26,370499,1s2.2s.4p,3P*,0,1s2.2s.8d,3D,1
C,3,C III,189.744,,189.744,vacuum,,,23200000.0,B,317796.51,370499,1s2.2s.4p,3P*,1,1s2.2s.8d,3D,2
C,3,C III,189.744,,189.744,vacuum,,,12900000.0,B,317796.51,370499,1s2.2s.4p,3P*,1,1s2.2s.8d,3D,1
C,3,C III,189.757,,189.757,vacuum,,,141000000.0,B,333118.21,385817.2,1s2.2p.(2P*).3p,1D,2,1s2.2p.(2P*).4d,1D*,2
C,3,C III,189.762,,189.762,vacuum,,,30900000.0,B,317801.30,370499,1s2.2s.4p,3P*,2,1s2.2s.8d,3D,3
C,3,C III,189.762,,189.762,vacuum,,,7740000.0,B,317801.30,370499,1s2.2s.4p,3P*,2,1s2.2s.8d,3D,2
C,3,C III,189.762,,189.762,vacuum,,,860000.0,C+,317801.30,370499,1s2.2s.4p,3P*,2,1s2.2s.8d,3D,1
C,3,C III,190.6683,,190.6683,vacuum,,,0.00519,B+,0.00,52447.11,1s2.2s2,1S,0,1s2.2s.2p,3P*,2
C,3,C III,190.8734,,190.8734,vacuum,,,114.0,B+,0.00,52390.75,1s2.2s2,1S,0,1s2.2s.2p,3P*,1
C,2,C II,191.0209,,191.0209,vacuum,,,28000000.0,B,131724.382,184074.67,2s2.3p,2P*,1/2,2s2.6d,2D,3/2
C,2,C II,191.0591,,191.0591,vacuum,,,33600000.0,B,131735.528,184075.36,2s2.3p,2P*,3/2,2s2.6d,2D,5/2
C,2,C II,191.0616,,191.0616,vacuum,,,5600000.0,B,131735.528,184074.67,2s2.3p,2P*,3/2,2s2.6d,2D,3/2
C,2,C II,191.53194,,191.53194,vacuum,,,9370000.0,B,116537.648,168748.26,2s2.3s,2S,1/2,2p3,2P*,3/2
C,2,C II,191.60075,,191.60075,vacuum,,,9510000.0,B,116537.648,168729.51,2s2.3s,2S,1/2,2p3,2P*,1/2
C,2,C II,192.1983,,192.1983,vacuum,,,450000.0,C+,181711.05,233740.64,2s.2p.(3P*).3p,4D,3/2,2s.2p.(3P*).6s,4P*,5/2
C,2,C II,192.2908,,192.2908,vacuum,,,4050000.0,B,181736.06,233740.64,2s.2p.(3P*).3p,4D,5/2,2s.2p.(3P*).6s,4P*,5/2
C,3,C III,192.2957,,192.2957,vacuum,,,812000000.0,C+,270014.74,322017.97,1s2.2s.3d,3D,3,1s2.2s.4f,3F*,4
C,3,C III,192.3164,,192.3164,vacuum,,,721000000.0,C+,270011.93,322009.58,1s2.2s.3d,3D,2,1s2.2s.4f,3F*,3
C,2,C II,192.3202,,192.3202,vacuum,,,1130000.0,B,181696.69,233693.3,2s.2p.(3P*).3p,4D,1/2,2s.2p.(3P*).6s,4P*,3/2
C,3,C III,192.3268,,192.3268,vacuum,,,90400000.0,C+,270014.74,322009.58,1s2.2s.3d,3D,3,1s2.2s.4f,3F*,3
C,3,C III,192.3341,,192.3341,vacuum,,,681000000.0,C+,270010.83,322003.68,1s2.2s.3d,3D,1,1s2.2s.4f,3F*,2
C,3,C III,192.3382,,192.3382,vacuum,,,127000000.0,C+,270011.93,322003.68,1s2.2s.3d,3D,2,1s2.2s.4f,3F*,2
C,3,C III,192.3486,,192.3486,vacuum,,,3570000.0,C+,270014.74,322003.68,1s2.2s.3d,3D,3,1s2.2s.4f,3F*,2
C,2,C II,192.3734,,192.3734,vacuum,,,7190000.0,B,181711.05,233693.3,2s.2p.(3P*).3p,4D,3/2,2s.2p.(3P*).6s,4P*,3/2
C,2,C II,192.403,,192.403,vacuum,,,11200000.0,B,181696.69,233670.9,2s.2p.(3P*).3p,4D,1/2,2s.2p.(3P*).6s,4P*,1/2
C,2,C II,192.4252,,192.4252,vacuum,,,18000000.0,B,181772.40,233740.64,2s.2p.(3P*).3p,4D,7/2,2s.2p.(3P*).6s,4P*,5/2
