element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ca,2,Ca II,180.734,180.734,180.7337,vacuum,20.0,20,41200000.0,C,25191.51,80521.53,3p6.4p,2P*,1/2,3p6.6d,2D,3/2
Ca,3,Ca III,180.7885,180.7885,180.7882,vacuum,3700.0,3700,221000000.0,B,225826.22,281139.55,3s2.3p5.3d,1D*,2,3s2.3p5.4p,1P,1
Ca,3,Ca III,181.2153,181.2153,181.2157,vacuum,4700.0,4700,210000000.0,B,227388.56,282571.43,3s2.3p5.3d,3D*,2,3s2.3p5.4p,3P,1
Ca,3,Ca III,181.3585,181.3585,181.3588,vacuum,2100.0,2100,41000000.0,C,227432.11,282571.43,3s2.3p5.3d,3D*,1,3s2.3p5.4p,3P,1
Ca,2,Ca II,181.45,181.45,181.4495,vacuum,40.0,40,48600000.0,C,25414.40,80526.16,3p6.4p,2P*,3/2,3p6.6d,2D,5/2
Ca,2,Ca II,181.465,181.465,181.4647,vacuum,4.0,4,7000000.0,C,25414.40,80521.53,3p6.4p,2P*,3/2,3p6.6d,2D,3/2
Ca,3,Ca III,183.0059,183.0059,183.0059,vacuum,2600.0,2600,260000000.0,B,227432.11,282075.15,3s2.3p5.3d,3D*,1,3s2.3p5.4p,3P,0
Ca,2,Ca II,183.801,183.801,183.8008,vacuum,40.0,40,244000000.0,C,13650.19,68056.91,3p6.3d,2D,3/2,3p6.4f,2F*,5/2
Ca,2,Ca II,184.006,184.006,184.0061,vacuum,60.0,60*,17300000.0,C,13710.88,68056.91,3p6.3d,2D,5/2,3p6.4f,2F*,5/2
Ca,2,Ca II,184.006,184.006,184.0061,vacuum,60.0,60*,260000000.0,C,13710.88,68056.91,3p6.3d,2D,5/2,3p6.4f,2F*,7/2
Ca,2,Ca II,184.309,184.309,184.3088,vacuum,20.0,20,15500000.0,C,25191.51,79448.28,3p6.4p,2P*,1/2,3p6.7s,2S,1/2
Ca,3,Ca III,184.5775,184.5775,184.5779,vacuum,1100.0,1100,189000000.0,B,282571.43,336749.11,3s2.3p5.4p,3P,1,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,1
Ca,2,Ca II,185.069,185.069,185.0691,vacuum,40.0,40,30800000.0,C,25414.40,79448.28,3p6.4p,2P*,3/2,3p6.7s,2S,1/2
Ca,3,Ca III,185.4751,,185.4751,vacuum,,,10000000.0,D+,225826.22,279741.80,3s2.3p5.3d,1D*,2,3s2.3p5.4p,1D,2
Ca,3,Ca III,186.0432,186.0432,186.0431,vacuum,1400.0,1400,11000000.0,D+,227388.56,281139.55,3s2.3p5.3d,3D*,2,3s2.3p5.4p,1P,1
Ca,3,Ca III,187.0263,187.0263,187.0267,vacuum,4100.0,4100,167000000.0,B,228413.95,281882.24,3s2.3p5.3d,1F*,3,3s2.3p5.4p,3P,2
