element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Cd,2,Cd II,192.223,192.223,192.2237,vacuum,300.0,300,1970000000.0,B,69258.91,121281.64,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2D*,5/2
Cd,2,Cd II,194.354,194.354,194.3549,vacuum,100.0,100,7000000.0,C+,69258.91,120711.18,4d9.5s2,2D,5/2,4d10.8p,2P*,3/2
Cd,2,Cd II,196.554,196.554,196.5551,vacuum,40.0,40,78000000.0,C+,69258.91,120135.22,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2D*,3/2
Cd,2,Cd II,199.543,199.543,199.5439,vacuum,200.0,200,1130000000.0,B,69258.91,119373.19,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2F*,7/2
Cd,2,Cd II,200.749,200.749,200.7496,air,100.0,100,1910000000.0,B,69258.91,119056.11,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2P*,3/2
Cd,2,Cd II,203.245,203.245,203.2468,air,50.0,50,8000000.0,D+,69258.91,118444.36,4d9.5s2,2D,5/2,4d10.5f,2F*,7/2
Cd,2,Cd II,209.6,209.6,209.5999,air,150.0,150,385000000.0,C+,69258.91,116953.70,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2F*,5/2
Cd,2,Cd II,214.43943,214.43943,214.4393,air,1000.0,1000r,377800000.0,AA,0.00,46618.55,4d10.5s,2S,1/2,4d10.5p,2P*,3/2
Cd,2,Cd II,215.5062,215.5062,215.5053,air,50.0,50,225000000.0,C+,74893.66,121281.64,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,2D*,5/2
Cd,2,Cd II,218.63,218.63,218.6313,air,15.0,15,1350000.0,D+,74893.66,120618.46,4d9.5s2,2D,3/2,4d10.8p,2P*,1/2
Cd,2,Cd II,218.7794,218.7794,218.7816,air,100.0,100,1430000.0,C,69258.91,114952.30,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,4D*,5/2
Cd,2,Cd II,219.4557,219.4557,219.4551,air,1000.0,1000,567000000.0,A,44136.08,89689.25,4d10.5p,2P*,1/2,4d10.5d,2D,3/2
Cd,2,Cd II,220.9653,220.9653,220.9668,air,20.0,20,1950000000.0,B,74893.66,120135.22,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,2D*,3/2
Cd,2,Cd II,225.154,225.154,225.1538,air,5.0,5,1910000000.0,B,74893.66,119293.99,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,2P*,1/2
Cd,2,Cd II,226.3649,226.3649,226.3667,air,5.0,5,21000000.0,D+,74893.66,119056.11,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,2P*,3/2
Cd,2,Cd II,226.50145,226.50145,226.5019,air,1000.0,1000,317700000.0,AAA,0.00,44136.08,4d10.5s,2S,1/2,4d10.5p,2P*,1/2
Cd,1,Cd I,228.80225,228.80225,228.80227,air,1500.0,1500r,530000000.0,C,0.000,43692.384,4d10.5s2,1S,0,4d10.5s.5p,1P*,1
Cd,2,Cd II,231.2766,231.2766,231.2753,air,1000.0,1000,583000000.0,A+,46618.55,89843.78,4d10.5p,2P*,3/2,4d10.5d,2D,5/2
Cd,2,Cd II,232.1074,232.1074,232.1051,air,200.0,200,105200000.0,A,46618.55,89689.25,4d10.5p,2P*,3/2,4d10.5d,2D,3/2
Cd,2,Cd II,237.682,237.682,237.6828,air,40.0,40,1260000000.0,C+,74893.66,116953.70,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,2F*,5/2
Cd,2,Cd II,246.9733,246.9733,246.9737,air,50.0,50,4200000.0,C+,69258.91,109736.82,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,4F*,7/2
Cd,2,Cd II,249.5584,249.5584,249.5588,air,40.0,40,230000.0,C,74893.66,114952.30,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,4D*,5/2
Cd,2,Cd II,254.081,,254.081,air,,,3200000.0,C,89843.78,129189.5,4d10.5d,2D,5/2,4d9.5s.(1D).5p,2F*,7/2
Cd,2,Cd II,255.1976,255.1976,255.1979,air,50.0,50,550000.0,C,69258.91,108432.43,4d9.5s2,2D,5/2,4d10.4f,2F*,7/2
Cd,2,Cd II,257.29434,257.29434,257.2928,air,500.0,500,161000000.0,B+,44136.08,82990.66,4d10.5p,2P*,1/2,4d10.6s,2S,1/2
Cd,2,Cd II,265.0293,265.0293,265.0288,air,8.0,8,230000.0,D+,82990.66,120711.18,4d10.6s,2S,1/2,4d10.8p,2P*,3/2
Cd,2,Cd II,270.7003,270.7003,270.7002,air,50.0,50,230000.0,D+,69258.91,106189.20,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,4P*,5/2
Cd,2,Cd II,274.85558,274.85558,274.8547,air,1000.0,1000,309000000.0,B+,46618.55,82990.66,4d10.5p,2P*,3/2,4d10.6s,2S,1/2
Cd,2,Cd II,275.3759,275.3759,275.3754,air,20.0,20,3400000.0,D+,82990.66,119293.99,4d10.6s,2S,1/2,4d9.5s.(3D).5p,2P*,1/2
Cd,2,Cd II,277.1923,277.1923,277.1918,air,20.0,20,5900000.0,C+,82990.66,119056.11,4d10.6s,2S,1/2,4d9.5s.(3D).5p,2P*,3/2
Cd,2,Cd II,283.4081,283.4081,283.4079,air,20.0,20,780000.0,C,74893.66,110168.11,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,4F*,5/2
Cd,1,Cd I,283.68999,283.68999,283.689991,air,200.0,200,28000000.0,D,30113.990,65353.372,4d10.5s.5p,3P*,0,4d10.5s.6d,3D,1
Cd,1,Cd I,288.0767,288.0767,288.076727,air,200.0,200r,42000000.0,D,30656.087,65358.881,4d10.5s.5p,3P*,1,4d10.5s.6d,3D,2
Cd,1,Cd I,288.12245,288.12245,288.122468,air,50.0,50r,24000000.0,D,30656.087,65353.372,4d10.5s.5p,3P*,1,4d10.5s.6d,3D,1
Cd,1,Cd I,298.06204,298.06204,298.06204,air,1000.0,1000r,59000000.0,D,31826.952,65367.227,4d10.5s.5p,3P*,2,4d10.5s.6d,3D,3
Cd,1,Cd I,298.13625,298.13625,298.13623,air,200.0,200r,15000000.0,D,31826.952,65358.881,4d10.5s.5p,3P*,2,4d10.5s.6d,3D,2
Cd,2,Cd II,298.1906,,298.1906,air,,,1270000.0,C,74893.66,108419.47,4d9.5s2,2D,3/2,4d10.4f,2F*,5/2
Cd,2,Cd II,316.4343,316.4343,316.4403,air,1.0,1,730000.0,C,89689.25,121281.64,4d10.5d,2D,3/2,4d9.5s.(3D).5p,2D*,5/2
Cd,2,Cd II,317.9961,317.9961,317.9958,air,10.0,10,850000.0,C,89843.78,121281.64,4d10.5d,2D,5/2,4d9.5s.(3D).5p,2D*,5/2
Cd,2,Cd II,323.226,323.226,323.2257,air,5.0,5,600000.0,C,89689.25,120618.46,4d10.5d,2D,3/2,4d10.8p,2P*,1/2
Cd,2,Cd II,323.8742,323.8742,323.8729,air,10.0,10,730000.0,C,89843.78,120711.18,4d10.5d,2D,5/2,4d10.8p,2P*,3/2
Cd,2,Cd II,325.0324,325.0324,325.0293,air,150.0,150,2780000.0,B,44136.08,74893.66,4d10.5p,2P*,1/2,4d9.5s2,2D,3/2
Cd,1,Cd I,326.10548,326.10548,326.10546,air,300.0,300,406000.0,C,0.000,30656.087,4d10.5s2,1S,0,4d10.5s.5p,3P*,1
Cd,2,Cd II,328.3565,328.3565,328.3561,air,3.0,3,1400000.0,C,89689.25,120135.22,4d10.5d,2D,3/2,4d9.5s.(3D).5p,2D*,3/2
Cd,2,Cd II,330.0312,,330.0312,air,,,180000.0,D+,89843.78,120135.22,4d10.5d,2D,5/2,4d9.5s.(3D).5p,2D*,3/2
Cd,2,Cd II,338.5486,338.5486,338.5482,air,50.0,50,3330000.0,C+,89843.78,119373.19,4d10.5d,2D,5/2,4d9.5s.(3D).5p,2F*,7/2
