element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ce,2,Ce II,342.271,342.271,342.27048,air,600.0,600,19400000.0,C+,3593.882,32802.165,4f.5d.(1G*).6s,*,9/2,4f.5d.(3H*).6p,2I,11/2
Ce,2,Ce II,342.621,342.621,342.62049,air,390.0,390,15500000.0,B,987.611,30166.057,4f.(2F*).5d2.(3F),*,9/2,4f.5d.(3G*).6p,,7/2
Ce,2,Ce II,348.505,348.505,348.5053,air,710.0,710,24900000.0,B+,0.000,28685.758,4f.(2F*).5d2.(3F),4H*,7/2,4f.5d.(1G*).6p,,5/2
Ce,2,Ce II,350.794,350.794,350.79409,air,210.0,210,6000000.0,C+,1410.304,29908.904,4f.(2F*).5d2.(3F),4I*,9/2,4f.5d.(3G*).6p,4H,9/2
Ce,2,Ce II,352.052,352.052,352.05202,air,210.0,210,8300000.0,B,1410.304,29807.078,4f.(2F*).5d2.(3F),4I*,9/2,4f2.(3P).5d,2F,7/2
Ce,2,Ce II,353.405,353.405,353.40448,air,600.0,600,32400000.0,B,4203.934,32492.038,4f.(2F*).5d2.(3F),4H*,13/2,4f.5d.(3G*).6p,,11/2
Ce,2,Ce II,353.908,353.908,353.90789,air,770.0,770,35700000.0,B,2581.257,30829.124,4f.(2F*).5d2.(3F),4H*,9/2,4f.5d.(3G*).6p,,7/2
Ce,2,Ce II,355.273,355.273,355.2724,air,240.0,240,9800000.0,B,2563.233,30702.610,4f.(2F*).5d2.(3F),4I*,11/2,4f.5d.(3G*).6p,,9/2
Ce,2,Ce II,355.5,355.5,355.50012,air,420.0,420,15500000.0,B,2581.257,30702.610,4f.(2F*).5d2.(3F),4H*,9/2,4f.5d.(3G*).6p,,9/2
Ce,2,Ce II,356.08,356.08,356.08019,air,1200.0,1200,73000000.0,B+,5455.845,33531.388,4f.(2F*).5d2.(3F),4I*,15/2,4f.5d.(3G*).6p,4H,13/2
Ce,2,Ce II,357.745,357.745,357.74556,air,1000.0,1000,60000000.0,B+,3793.634,31738.484,4f.(2F*).5d2.(3F),4I*,13/2,4f.5d.(3G*).6p,4H,11/2
Ce,2,Ce II,364.697,364.697,364.69621,air,350.0,350,15000000.0,B,2382.246,29794.517,4f.5d.(1G*).6s,*,9/2,4f.5d.(3F*).6p,,7/2
Ce,2,Ce II,365.311,365.311,365.31042,air,420.0,420,16200000.0,C+,2879.695,30245.878,4f.(2F*).5d2.(3F),4H*,11/2,4f.5d.(3F*).6p,,9/2
Ce,2,Ce II,365.367,365.367,365.36641,air,660.0,660,22800000.0,B+,3793.634,31155.623,4f.(2F*).5d2.(3F),4I*,13/2,4f.5d.(3H*).6p,4H,13/2
Ce,2,Ce II,365.497,365.497,365.49341,air,310.0,310,12500000.0,C+,2641.559,29994.041,4f.5d.(1G*).6s,*,7/2,4f.5d.(3G*).6p,,5/2
Ce,2,Ce II,365.585,365.585,365.58444,air,1800.0,1800,44900000.0,B+,2563.233,29908.904,4f.(2F*).5d2.(3F),4I*,11/2,4f.5d.(3G*).6p,4H,9/2
Ce,2,Ce II,365.923,365.923,365.92251,air,440.0,440,13200000.0,B,1410.304,28730.712,4f.(2F*).5d2.(3F),4I*,9/2,4f.5d.(3F*).6p,4F,7/2
Ce,2,Ce II,365.997,365.997,365.99705,air,350.0,350,9200000.0,C+,1410.304,28725.148,4f.(2F*).5d2.(3F),4I*,9/2,4f.5d.(3H*).6p,,9/2
Ce,2,Ce II,366.064,366.064,366.06381,air,880.0,880,19800000.0,B,987.611,28297.473,4f.(2F*).5d2.(3F),*,9/2,4f.5d.(3G*).6p,4H,7/2
Ce,2,Ce II,366.798,366.798,366.7978,air,880.0,880,28200000.0,B+,2879.695,30134.910,4f.(2F*).5d2.(3F),4H*,11/2,4f.5d.(3H*).6p,4H,11/2
Ce,2,Ce II,369.491,369.491,369.49082,air,300.0,300,5000000.0,B,2382.246,29438.817,4f.5d.(1G*).6s,*,9/2,4f.5d.(3H*).6p,,11/2
Ce,2,Ce II,370.498,370.498,370.49758,air,220.0,220,6200000.0,C+,5819.113,32802.165,4f.5d.(3G*).6s,*,9/2,4f.5d.(3H*).6p,2I,11/2
Ce,2,Ce II,370.929,370.929,370.92873,air,1000.0,1000,29400000.0,B+,4203.934,31155.623,4f.(2F*).5d2.(3F),4H*,13/2,4f.5d.(3H*).6p,4H,13/2
Ce,2,Ce II,370.993,370.993,370.9929,air,1000.0,1000,26300000.0,B+,987.611,27934.638,4f.(2F*).5d2.(3F),*,9/2,4f.5d.(3H*).6p,,9/2
Ce,2,Ce II,371.637,371.637,371.6366,air,1400.0,1400,31000000.0,B+,0.000,26900.354,4f.(2F*).5d2.(3F),4H*,7/2,4f.5d.(3H*).6p,,7/2
Ce,2,Ce II,371.98,371.98,371.97913,air,210.0,210,8000000.0,B,2563.233,29438.817,4f.(2F*).5d2.(3F),4I*,11/2,4f.5d.(3H*).6p,,11/2
Ce,2,Ce II,372.568,372.568,372.56026,air,420.0,420*,1280000.0,C+,3995.460,30829.124,4f.5d.(3H*).6s,4H*,7/2,4f.5d.(3G*).6p,,7/2
Ce,2,Ce II,372.568,372.568,372.56728,air,420.0,420*,20000000.0,C+,5969.007,32802.165,4f.(2F*).5d2.(1G),*,11/2,4f.5d.(3H*).6p,2I,11/2
Ce,2,Ce II,372.802,372.802,372.80185,air,490.0,490,29000000.0,B,5675.763,32492.038,4f.5d.(3F*).6s,4F*,9/2,4f.5d.(3G*).6p,,11/2
Ce,2,Ce II,372.842,372.842,372.84173,air,800.0,800,43100000.0,B+,5455.845,32269.252,4f.(2F*).5d2.(3F),4I*,15/2,4f.5d.(3H*).6p,4I,15/2
Ce,2,Ce II,374.806,374.806,374.80547,air,320.0,320,17800000.0,B+,5819.113,32492.038,4f.5d.(3G*).6s,*,9/2,4f.5d.(3G*).6p,,11/2
Ce,2,Ce II,376.412,376.412,376.41152,air,680.0,680,21400000.0,B+,2879.695,29438.817,4f.(2F*).5d2.(3F),4H*,11/2,4f.5d.(3H*).6p,,11/2
Ce,2,Ce II,377.16,377.16,377.16,air,300.0,300,16700000.0,B+,4322.708,30829.124,4f.5d.(3G*).6s,*,5/2,4f.5d.(3G*).6p,,7/2
Ce,2,Ce II,377.661,377.661,377.6606,air,250.0,250,10000000.0,B+,3593.882,30065.164,4f.5d.(1G*).6s,*,9/2,4f.5d.(3F*).6p,,7/2
Ce,2,Ce II,378.162,378.162,378.1616,air,620.0,620,25600000.0,B+,4266.397,30702.610,4f.5d.(3G*).6s,*,7/2,4f.5d.(3G*).6p,,9/2
Ce,2,Ce II,378.663,378.663,378.66324,air,860.0,860,25100000.0,B+,1410.304,27811.496,4f.(2F*).5d2.(3F),4I*,9/2,4f2.(3P).5d,,7/2
Ce,2,Ce II,378.875,378.875,378.87463,air,520.0,520,16500000.0,B+,3793.634,30180.096,4f.(2F*).5d2.(3F),4I*,13/2,4f.5d.(3H*).6p,4I,13/2
Ce,2,Ce II,379.232,379.232,379.23239,air,300.0,300,18100000.0,B+,3703.594,30065.164,4f.(2F*).5d2.(3F),*,7/2,4f.5d.(3F*).6p,,7/2
Ce,2,Ce II,380.152,380.152,380.15258,air,2500.0,2500,139000000.0,B+,7233.627,33531.388,4f.5d.(3G*).6s,4G*,11/2,4f.5d.(3G*).6p,4H,13/2
Ce,2,Ce II,380.309,380.309,380.30963,air,800.0,800,24900000.0,B+,2879.695,29166.597,4f.(2F*).5d2.(3F),4H*,11/2,4f.5d.(3F*).6p,4G,9/2
Ce,2,Ce II,380.811,380.811,380.81134,air,1000.0,1000,27700000.0,B+,2382.246,28634.516,4f.5d.(1G*).6s,*,9/2,4f.5d.(1G*).6p,,11/2
Ce,2,Ce II,380.921,380.921,380.92177,air,490.0,490,20300000.0,B+,4910.963,31155.623,4f.5d.(3H*).6s,*,11/2,4f.5d.(3H*).6p,4H,13/2
Ce,2,Ce II,381.585,381.585,381.57931,air,490.0,490*,15100000.0,B,987.611,27187.047,4f.(2F*).5d2.(3F),*,9/2,4f.5d.(3F*).6p,4G,7/2
Ce,2,Ce II,381.902,381.902,381.90221,air,300.0,300,27200000.0,B,4459.872,30637.157,4f.5d.(3F*).6s,4F*,7/2,4f.5d.(3F*).6p,,5/2
Ce,2,Ce II,382.39,382.39,382.39003,air,470.0,470,15100000.0,B,2581.257,28725.148,4f.(2F*).5d2.(3F),4H*,9/2,4f.5d.(3H*).6p,,9/2
Ce,2,Ce II,383.455,383.455,383.455,air,490.0,490,12400000.0,B+,2563.233,28634.516,4f.(2F*).5d2.(3F),4I*,11/2,4f.5d.(1G*).6p,,11/2
Ce,2,Ce II,383.61,383.61,383.61066,air,270.0,270,8500000.0,B+,1873.934,27934.638,4f.(2F*).5d2.(3F),*,7/2,4f.5d.(3H*).6p,,9/2
Ce,2,Ce II,383.854,383.854,383.85377,air,1100.0,1100,55000000.0,B+,2641.559,28685.758,4f.5d.(1G*).6s,*,7/2,4f.5d.(1G*).6p,,5/2
Ce,2,Ce II,384.376,384.376,384.37673,air,200.0,200,14000000.0,B,7522.622,33531.388,4f.(2F*).5d2.(3F),4G*,11/2,4f.5d.(3G*).6p,4H,13/2
Ce,2,Ce II,384.81,384.81,384.81002,air,250.0,250,13100000.0,B+,4266.397,30245.878,4f.5d.(3G*).6s,*,7/2,4f.5d.(3F*).6p,,9/2
Ce,2,Ce II,384.859,384.859,384.85919,air,860.0,860,27400000.0,B+,4203.934,30180.096,4f.(2F*).5d2.(3F),4H*,13/2,4f.5d.(3H*).6p,4I,13/2
Ce,2,Ce II,385.315,385.315,385.31557,air,860.0,860,17500000.0,B+,0.000,25945.396,4f.(2F*).5d2.(3F),4H*,7/2,4f.5d.(1G*).6p,,7/2
Ce,2,Ce II,385.418,385.418,385.41854,air,1200.0,1200,43100000.0,B+,1873.934,27812.398,4f.(2F*).5d2.(3F),*,7/2,4f.5d.(3F*).6p,,5/2
Ce,2,Ce II,385.431,385.431,385.43195,air,1200.0,1200,39700000.0,B+,1873.934,27811.496,4f.(2F*).5d2.(3F),*,7/2,4f2.(3P).5d,,7/2
Ce,2,Ce II,385.529,385.529,385.52984,air,620.0,620,19500000.0,B+,4203.934,30134.910,4f.(2F*).5d2.(3F),4H*,13/2,4f.5d.(3H*).6p,4H,11/2
Ce,2,Ce II,385.702,385.702,385.70246,air,390.0,390,21000000.0,B,5819.113,31738.484,4f.5d.(3G*).6s,*,9/2,4f.5d.(3G*).6p,4H,11/2
Ce,2,Ce II,385.764,385.764,385.76414,air,370.0,370,13000000.0,B+,2382.246,28297.473,4f.5d.(1G*).6s,*,9/2,4f.5d.(3G*).6p,4H,7/2
Ce,2,Ce II,386.813,386.813,386.81335,air,200.0,200,5700000.0,B+,3593.882,29438.817,4f.5d.(1G*).6s,*,9/2,4f.5d.(3H*).6p,,11/2
Ce,2,Ce II,387.836,387.836,387.83668,air,1100.0,1100,24900000.0,B+,1410.304,27187.047,4f.(2F*).5d2.(3F),4I*,9/2,4f.5d.(3F*).6p,4G,7/2
Ce,2,Ce II,388.245,388.245,388.24448,air,1500.0,1500,144000000.0,B+,2595.644,28345.313,4f.5d.(3F*).6s,4F*,3/2,4f.5d.(1D*).6p,,1/2
Ce,2,Ce II,388.998,388.998,388.99819,air,1000.0,1000,41900000.0,B+,5455.845,31155.623,4f.(2F*).5d2.(3F),4I*,15/2,4f.5d.(3H*).6p,4H,13/2
Ce,2,Ce II,389.075,389.075,389.07445,air,210.0,210,18400000.0,B,2140.492,27835.233,4f.(2F*).5d2.(3F),*,1/2,4f.5d.(3F*).6p,,3/2
Ce,2,Ce II,389.098,389.098,389.09783,air,210.0,210,7300000.0,B+,2641.559,28334.756,4f.5d.(1G*).6s,*,7/2,4f.5d.(3H*).6p,,9/2
Ce,2,Ce II,389.68,389.68,389.6802,air,590.0,590,29500000.0,B+,4511.257,30166.057,4f.5d.(3G*).6s,4G*,5/2,4f.5d.(3G*).6p,,7/2
Ce,2,Ce II,389.827,389.827,389.82633,air,490.0,490,16700000.0,B+,3793.634,29438.817,4f.(2F*).5d2.(3F),4I*,13/2,4f.5d.(3H*).6p,,11/2
Ce,2,Ce II,390.334,390.334,390.33328,air,200.0,200,6700000.0,B+,4523.033,30134.910,4f.5d.(3H*).6s,4H*,9/2,4f.5d.(3H*).6p,4H,11/2
Ce,2,Ce II,390.434,390.434,390.43367,air,250.0,250,14700000.0,B,4459.872,30065.164,4f.5d.(3F*).6s,4F*,7/2,4f.5d.(3F*).6p,,7/2
Ce,2,Ce II,390.841,390.841,390.8404,air,560.0,560,42400000.0,B+,6913.392,32492.038,4f.5d.(3H*).6s,4H*,13/2,4f.5d.(3G*).6p,,11/2
