element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Cl,3,Cl III,180.8415,,180.8415,vacuum,,,19000000.0,E,147069.57,202366.62,3s2.3p2.(3P).3d,4F,7/2,3s2.3p2.(3P).4p,4D*,7/2
Cl,3,Cl III,181.0212,,181.0212,vacuum,,,1800000.0,E,146521.72,201763.86,3s2.3p2.(3P).3d,4F,3/2,3s2.3p2.(3P).4p,4D*,5/2
Cl,3,Cl III,181.7624,,181.7624,vacuum,,,32000000.0,E,146746.99,201763.86,3s2.3p2.(3P).3d,4F,5/2,3s2.3p2.(3P).4p,4D*,5/2
Cl,3,Cl III,182.25,182.25,182.242,vacuum,600.0,600,170000000.0,E,147494.54,202366.62,3s2.3p2.(3P).3d,4F,9/2,3s2.3p2.(3P).4p,4D*,7/2
Cl,3,Cl III,182.4511,,182.4511,vacuum,,,37000000.0,E,146521.72,201330.92,3s2.3p2.(3P).3d,4F,3/2,3s2.3p2.(3P).4p,4D*,3/2
Cl,3,Cl III,182.84,182.84,182.8344,vacuum,500.0,500,150000000.0,E,147069.57,201763.86,3s2.3p2.(3P).3d,4F,7/2,3s2.3p2.(3P).4p,4D*,5/2
Cl,3,Cl III,183.2041,,183.2041,vacuum,,,150000000.0,E,146746.99,201330.92,3s2.3p2.(3P).3d,4F,5/2,3s2.3p2.(3P).4p,4D*,3/2
Cl,3,Cl III,183.3157,,183.3157,vacuum,,,180000000.0,E,146521.72,201072.41,3s2.3p2.(3P).3d,4F,3/2,3s2.3p2.(3P).4p,4D*,1/2
Cl,3,Cl III,189.7729,,189.7729,vacuum,,,30000000.0,E,151846.40,204540.95,3s2.3p2.(3P).3d,4D,5/2,3s2.3p2.(3P).4p,4P*,5/2
Cl,3,Cl III,189.887,,189.887,vacuum,,,3300000.0,E,151878.06,204540.95,3s2.3p2.(3P).3d,4D,3/2,3s2.3p2.(3P).4p,4P*,5/2
Cl,3,Cl III,190.161,190.161,190.1527,vacuum,500.0,500,130000000.0,E,151951.64,204540.95,3s2.3p2.(3P).3d,4D,7/2,3s2.3p2.(3P).4p,4P*,5/2
Cl,3,Cl III,191.2864,,191.2864,vacuum,,,100000000.0,E,151846.40,204124.04,3s2.3p2.(3P).3d,4D,5/2,3s2.3p2.(3P).4p,4P*,3/2
Cl,3,Cl III,191.4023,,191.4023,vacuum,,,53000000.0,E,151878.06,204124.04,3s2.3p2.(3P).3d,4D,3/2,3s2.3p2.(3P).4p,4P*,3/2
Cl,3,Cl III,191.6462,,191.6462,vacuum,,,8300000.0,E,151944.55,204124.04,3s2.3p2.(3P).3d,4D,1/2,3s2.3p2.(3P).4p,4P*,3/2
Cl,3,Cl III,191.7796,,191.7796,vacuum,,,83000000.0,E,151878.06,204021.26,3s2.3p2.(3P).3d,4D,3/2,3s2.3p2.(3P).4p,4P*,1/2
Cl,3,Cl III,192.0244,,192.0244,vacuum,,,83000000.0,E,151944.55,204021.26,3s2.3p2.(3P).3d,4D,1/2,3s2.3p2.(3P).4p,4P*,1/2
Cl,3,Cl III,223.114,,223.114,air,,,6700000.0,E,201330.92,246137.2?,3s2.3p2.(3P).4p,4D*,3/2,3s2.3p2.(3P).5s,4P,5/2
Cl,3,Cl III,225.307,225.307,225.291,air,700.0,700,61000000.0,D,201763.86,246137.2?,3s2.3p2.(3P).4p,4D*,5/2,3s2.3p2.(3P).5s,4P,5/2
Cl,3,Cl III,225.562,,225.562,air,,,17000000.0,E,201072.41,245392.4?,3s2.3p2.(3P).4p,4D*,1/2,3s2.3p2.(3P).5s,4P,3/2
Cl,3,Cl III,226.895,226.895,226.885,air,500.0,500,110000000.0,D,201330.92,245392.4?,3s2.3p2.(3P).4p,4D*,3/2,3s2.3p2.(3P).5s,4P,3/2
Cl,3,Cl III,227.834,227.834,227.829,air,500.0,500,180000000.0,D,201072.41,244951.5?,3s2.3p2.(3P).4p,4D*,1/2,3s2.3p2.(3P).5s,4P,1/2
Cl,3,Cl III,228.393,228.393,228.393,air,700.0,700,270000000.0,D,202366.62,246137.2?,3s2.3p2.(3P).4p,4D*,7/2,3s2.3p2.(3P).5s,4P,5/2
Cl,3,Cl III,229.137,,229.137,air,,,220000000.0,D,201763.86,245392.4?,3s2.3p2.(3P).4p,4D*,5/2,3s2.3p2.(3P).5s,4P,3/2
Cl,3,Cl III,229.1744,,229.1744,air,,,34000000.0,D,205036.99,248658.44,3s2.3p2.(3P).4p,2D*,3/2,3s2.3p2.(3P).4d,2D,5/2
Cl,3,Cl III,229.179,,229.179,air,,,180000000.0,D,201330.92,244951.5?,3s2.3p2.(3P).4p,4D*,3/2,3s2.3p2.(3P).5s,4P,1/2
Cl,3,Cl III,229.8538,,229.8538,air,,,420000000.0,D,205036.99,248529.50,3s2.3p2.(3P).4p,2D*,3/2,3s2.3p2.(3P).4d,2D,3/2
Cl,3,Cl III,234.064,234.064,234.057,air,600.0,600,420000000.0,D,205946.9?,248658.44,3s2.3p2.(3P).4p,2D*,5/2,3s2.3p2.(3P).4d,2D,5/2
Cl,3,Cl III,234.766,,234.766,air,,,47000000.0,D,205946.9?,248529.50,3s2.3p2.(3P).4p,2D*,5/2,3s2.3p2.(3P).4d,2D,3/2
Cl,3,Cl III,235.967,235.967,235.965,air,600.0,600,300000000.0,D,216524.6?,258890.8?,3s2.3p2.(1D).4p,2F*,5/2,3s2.3p2.(1D).5s,2D,3/2
Cl,3,Cl III,235.993,,235.993,air,,,14000000.0,E,216524.6?,258885.8?,3s2.3p2.(1D).4p,2F*,5/2,3s2.3p2.(1D).5s,2D,5/2
Cl,3,Cl III,237.037,237.037,237.033,air,600.0,600,280000000.0,D,216710.4?,258885.8?,3s2.3p2.(1D).4p,2F*,7/2,3s2.3p2.(1D).5s,2D,5/2
Cl,3,Cl III,237.261,,237.261,air,,,11000000.0,D,201072.41,243207.2?,3s2.3p2.(3P).4p,4D*,1/2,3s2.3p2.(3P).4d,4P,1/2
Cl,3,Cl III,237.9388,,237.9388,air,,,1100000.0,E,201072.41,243087.20,3s2.3p2.(3P).4p,4D*,1/2,3s2.3p2.(3P).4d,4P,3/2
Cl,3,Cl III,237.948,,237.948,air,,,62000000.0,D,204124.04,246137.2?,3s2.3p2.(3P).4p,4P*,3/2,3s2.3p2.(3P).5s,4P,5/2
Cl,3,Cl III,238.726,,238.726,air,,,11000000.0,D,201330.92,243207.2?,3s2.3p2.(3P).4p,4D*,3/2,3s2.3p2.(3P).4d,4P,1/2
Cl,3,Cl III,239.412,,239.412,air,,,7000000.0,D,201330.92,243087.20,3s2.3p2.(3P).4p,4D*,3/2,3s2.3p2.(3P).4d,4P,3/2
