element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Co,3,Co III,180.0745,,180.0745,vacuum,,,63.0,C,841.36,56373.944,3d7,a 4F,7/2,3d6.(5D).4s,a 4D,5/2
Co,3,Co III,180.09595,180.09595,180.0939,vacuum,1200.0,1200*,560000000.0,C+,116440.00,171966.6,3d6.(1G1).4s,d 2G,7/2,3d6.(1G1).4p,s 2F*,5/2
Co,3,Co III,180.09595,180.09595,180.0974,vacuum,1200.0,1200*,100000000.0,D+,83791.34,139316.85,3d6.(3D).4s,b 4D,1/2,3d6.(3D).4p,x 4P*,1/2
Co,3,Co III,180.1028,180.1028,180.10306,vacuum,600.0,600,110000000.0,D+,76792.604,132316.37,3d6.(3P2).4s,b 2P,3/2,3d6.(3P2).4p,z 2S*,1/2
Co,2,Co II,180.1909,180.1909,180.19153,vacuum,350.0,350d,1300000.0,E,27902.161,83398.664,3d7.(2H).4s,a 3H,4,3d7.(2F).4p,w 3G*,4
Co,3,Co III,180.2621,180.2621,180.2621,vacuum,99.0,99,36000000.0,D+,112108.471,167583.25,3d6.(3F1).4s,d 2F,5/2,3d6.(3P1).4p,v 2P*,3/2
Co,3,Co III,180.29158,180.29158,180.29123,vacuum,340.0,340,22000000.0,D+,77122.520,132588.334,3d6.(3G).4s,a 4G,9/2,3d6.(3G).4p,y 4H*,9/2
Co,3,Co III,180.3519,180.3519,180.35129,vacuum,70.0,70,9000000.0,D+,70935.243,126382.587,3d6.(3P2).4s,b 4P,5/2,3d6.(3P2).4p,y 4P*,3/2
Co,2,Co II,180.4537,180.4537,180.45464,vacuum,2500.0,2500,25000000.0,D,41738.15,97153.739,3d6.4s2,a 5D,2,3d7.(4F).5p,5F*,1
Co,2,Co II,180.49543,180.49543,180.495429,vacuum,3400.0,3400,100000000.0,D,18973.727,74376.792,3d8,a 1G,4,3d7.(2H).4p,y 1H*,5
Co,3,Co III,180.553259,180.553259,180.553259,vacuum,18000.0,18000,430000000.0,C+,77122.520,132507.840,3d6.(3G).4s,a 4G,9/2,3d6.(3G).4p,y 4H*,11/2
Co,3,Co III,180.588,,180.588,vacuum,,,49.0,C,23060.95,78435.621,3d7,a 2D2,5/2,3d6.(3P2).4s,b 2P,1/2
Co,3,Co III,180.60868,180.60868,180.60858,vacuum,840.0,840,39000000.0,C,76520.408,131888.762,3d6.(3G).4s,a 4G,11/2,3d6.(3G).4p,x 4G*,9/2
Co,3,Co III,180.6893,,180.6893,vacuum,,,32.0,C,1451.33,56794.941,3d7,a 4F,5/2,3d6.(5D).4s,a 4D,3/2
Co,3,Co III,180.837563,180.837563,180.83756,vacuum,7400.0,7400,510000000.0,C+,82364.601,137662.847,3d6.(3G).4s,b 2G,9/2,3d6.(3G).4p,x 2G*,9/2
Co,2,Co II,180.89218,180.89218,180.892175,vacuum,2200.0,2200,100000000.0,D,40695.028,95976.579,3d6.4s2,a 5D,4,3d7.(4F).5p,5F*,4
Co,3,Co III,180.92272,180.92272,180.92288,vacuum,2100.0,2100,280000000.0,C+,91716.45,146988.62,3d6.(1D2).4s,d 2D,5/2,3d6.(1D2).4p,w 2D*,5/2
Co,3,Co III,181.0454,181.0454,181.04549,vacuum,1600.0,1600,47000000.0,D+,72084.644,127319.380,3d6.(3H).4s,a 4H,9/2,3d6.(3H).4p,z 2G*,7/2
Co,3,Co III,181.13138,181.13138,181.13084,vacuum,3700.0,3700,200000000.0,C,73216.056,128424.767,3d6.(3P2).4s,b 4P,1/2,3d6.(3P2).4p,y 4D*,3/2
Co,2,Co II,181.1324,181.1324,181.13164,vacuum,1500.0,1500,21000000.0,D,27902.161,83110.627,3d7.(2H).4s,a 3H,4,3d7.(2F).4p,w 3G*,3
Co,3,Co III,181.146167,181.146167,181.146165,vacuum,17000.0,17000,480000000.0,C+,77384.2947,132588.334,3d6.(3G).4s,a 4G,7/2,3d6.(3G).4p,y 4H*,9/2
Co,3,Co III,181.16934,181.16934,181.16952,vacuum,320.0,320,75000000.0,D+,83775.456,138972.38,3d6.(3D).4s,b 4D,3/2,3d6.(3D).4p,x 4P*,3/2
