element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Cr,1,Cr I,199.995,199.995,199.99536,air,35.0,35,140000000.0,D,8307.5753,58292.54,3d4.4s2,a 5D,4,3d4.4s.5p,r 5D*,4
Cr,2,Cr II,201.11691,201.11691,201.116902,air,16.0,16,833000.0,,0.0000,49706.2607,3d5,a 6S,5/2,3d4.(5D).4p,z 4P*,5/2
Cr,2,Cr II,201.36182,201.36182,201.361843,air,6.0,6,157000.0,,0.0000,49645.8058,3d5,a 6S,5/2,3d4.(5D).4p,z 6D*,7/2
Cr,2,Cr II,201.6921,201.6921,201.69219,air,3.0,3,282000.0,,0.0000,49564.5038,3d5,a 6S,5/2,3d4.(5D).4p,z 6D*,3/2
Cr,2,Cr II,202.561863,202.561863,202.56187,air,57.0,57,2110000.0,,0.0000,49351.7336,3d5,a 6S,5/2,3d4.(5D).4p,z 6D*,5/2
Cr,2,Cr II,203.991769,203.991769,203.991765,air,81.0,81,3520000.0,,0.0000,49005.8471,3d5,a 6S,5/2,3d4.(5D).4p,z 4P*,3/2
Cr,2,Cr II,205.559869,205.559869,205.559868,air,3200.0,3200,122000000.0,B+,0.0000,48632.0590,3d5,a 6S,5/2,3d4.(5D).4p,z 6P*,7/2
Cr,2,Cr II,206.157673,206.157673,206.157673,air,2500.0,2500,119000000.0,B+,0.0000,48491.0569,3d5,a 6S,5/2,3d4.(5D).4p,z 6P*,5/2
Cr,2,Cr II,206.550389,206.550389,206.550391,air,1700.0,1700,120000000.0,B+,0.0000,48398.8721,3d5,a 6S,5/2,3d4.(5D).4p,z 6P*,3/2
Cr,1,Cr I,209.5,209.5,209.4928,air,12.0,12h,1200000.0,C,0.0000,47719.18,3d5.(6S).4s,a 7S,3,3d5.(6S).6p,w 7P*,4
Cr,1,Cr I,209.54,209.54,209.5403,air,10.0,10h,1100000.0,C,0.0000,47708.35,3d5.(6S).4s,a 7S,3,3d5.(6S).6p,w 7P*,3
Cr,1,Cr I,209.583,209.583,209.583,air,8.0,8h,1100000.0,C,0.0000,47698.6,3d5.(6S).4s,a 7S,3,3d5.(6S).6p,w 7P*,2
Cr,1,Cr I,235.43,235.43,235.430952,air,15.0,15,8100000.0,D,8095.1842,50557.4907,3d4.4s2,a 5D,3,3d5.(4D).4p,u 5D*,4
Cr,1,Cr I,236.473,236.473,236.4731,air,150.0,150r,5300000.0,C,0.0000,42275.19,3d5.(6S).4s,a 7S,3,3d5.(6S).5p,x 7P*,4
Cr,1,Cr I,236.59188,236.59188,236.59188,air,8.0,8,5500000.0,C,0.0000,42253.966,3d5.(6S).4s,a 7S,3,3d5.(6S).5p,x 7P*,3
Cr,1,Cr I,236.68156,236.68156,236.68156,air,8.0,8,6900000.0,C,0.0000,42237.957,3d5.(6S).4s,a 7S,3,3d5.(6S).5p,x 7P*,2
Cr,1,Cr I,237.506,237.506,237.505779,air,5.0,5,17000000.0,E,7927.4410,50018.831,3d4.4s2,a 5D,2,3d5.(4D).4p,s 5F*,1
Cr,1,Cr I,238.33057,238.33057,238.330662,air,4.0,4,41000000.0,D,8307.5753,50253.295,3d4.4s2,a 5D,4,3d5.(4D).4p,s 5F*,5
Cr,1,Cr I,238.572,238.572,238.5729,air,7.0,7wh,17000000.0,D,8307.5753,50210.70,3d4.4s2,a 5D,4,3d5.(4D).4p,s 5F*,4
Cr,1,Cr I,238.921,238.921,238.921819,air,3.0,3w,23000000.0,D,7810.7795,49652.7224,3d4.4s2,a 5D,1,3d5.(4D).4p,x 3F*,2
Cr,1,Cr I,240.86228,240.86228,240.862412,air,8.0,8,67000000.0,D,8307.5753,49812.430,3d4.4s2,a 5D,4,3d5.(4D).4p,t 5P*,3
Cr,1,Cr I,240.872,240.872,240.875087,air,35.0,35r,29000000.0,D,8095.1842,49597.855,3d4.4s2,a 5D,3,3d4.(3F1).4s.4p.(3P*),1D*,2
Cr,1,Cr I,247.91334,247.91334,247.913369,air,8.0,8,9800000.0,D,7927.4410,48251.933,3d4.4s2,a 5D,2,3d4.(3F1).4s.4p.(3P*),3D*,3
Cr,1,Cr I,249.25696,249.25696,249.256975,air,36.0,36,45000000.0,C,7810.7795,47917.9197,3d4.4s2,a 5D,1,3d5.(4G).4p,u 5F*,2
Cr,1,Cr I,249.50784,249.50784,249.507847,air,12.0,12,27000000.0,C,7810.7795,47877.596,3d4.4s2,a 5D,1,3d5.(4G).4p,u 5F*,1
Cr,1,Cr I,249.63058,249.63058,249.630633,air,55.0,55,56000000.0,C,7927.4410,47974.5512,3d4.4s2,a 5D,2,3d5.(4G).4p,u 5F*,3
Cr,1,Cr I,249.98414,249.98414,249.984166,air,12.0,12,16000000.0,E,7927.4410,47917.9197,3d4.4s2,a 5D,2,3d5.(4G).4p,u 5F*,2
Cr,1,Cr I,250.25291,250.25291,250.252921,air,56.0,56,22000000.0,D,8095.1842,48042.7187,3d4.4s2,a 5D,3,,*,4
