element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Cs,3,Cs III,180.18297,180.18297,180.18302,vacuum,6000.0,6000,23800000.0,,120782.636,176281.761,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(3P<1>).6p,2[2]*,5/2
Cs,3,Cs III,180.3389,180.3389,180.33885,vacuum,65.0,65,14400000.0,,162863.218,218314.386,5s2.5p4.(1D<2>).5d,2[2],5/2,5s2.5p4.(1S<0>).4f,2[3]*,5/2
Cs,3,Cs III,180.7876,180.7876,180.78779,vacuum,43.0,43p,2410000.0,,120425.101,175738.571,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(3P<1>).6p,2[2]*,3/2
Cs,3,Cs III,181.1066,181.1066,181.10659,vacuum,17.0,17,1650000.0,,121065.660,176281.761,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(3P<1>).6p,2[2]*,5/2
Cs,3,Cs III,181.19555,181.19555,181.19554,vacuum,3600.0,3600,8000000.0,,128532.528,183721.523,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(1D<2>).6p,2[3]*,7/2
Cs,3,Cs III,182.23955,182.23955,182.23953,vacuum,15000.0,15000D,36500000.0,,108652.967,163525.805,5s.5p6,2S,1/2,5s2.5p4.(3P<2>).6p,2[1]*,1/2
Cs,3,Cs III,182.39259,182.39259,182.39248,vacuum,6600.0,6600,120000000.0,,144868.730,199695.552,5s2.5p4.(1D<2>).5d,2[4],9/2,5s2.5p4.(1D<2>).4f,2[4]*,9/2
Cs,3,Cs III,182.44349,182.44349,182.4434,vacuum,680.0,680*,2030.0,,131782.478,186593.999,5s2.5p4.(3P<2>).5d,2[1],3/2,5s2.5p4.(1D<2>).6p,2[2]*,5/2
Cs,3,Cs III,182.44349,182.44349,182.44365,vacuum,680.0,680*,249000.0,,125926.848,180738.292,5s2.5p4.(3P<2>).5d,2[4],9/2,5s2.5p4.(3P<2>).4f,2[4]*,7/2
Cs,3,Cs III,182.46947,182.46947,182.46948,vacuum,7800.0,7800,166000000.0,,144535.128,199338.813,5s2.5p4.(1D<2>).5d,2[4],7/2,5s2.5p4.(1D<2>).4f,2[4]*,7/2
Cs,3,Cs III,182.6193,182.6193,182.61924,vacuum,39.0,39,8050000.0,,138543.477,193302.220,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(1D<2>).4f,2[1]*,1/2
Cs,3,Cs III,182.65828,182.65828,182.65823,vacuum,1800.0,1800,16600000.0,,144591.760,199338.813,5s2.5p4.(3P<0>).5d,2[2],5/2,5s2.5p4.(1D<2>).4f,2[4]*,7/2
Cs,3,Cs III,182.90594,182.90594,182.905937,vacuum,2400.0,2400,9950000.0,,121065.660,175738.571,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(3P<1>).6p,2[2]*,3/2
