element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Cu,2,Cu II,192.06709,192.06709,192.067133,vacuum,43000.0,43000,15000000.0,C,66418.6849,118483.8135,3d9.4p,3P*,2,3d9.(2D<3/2>).4d,2[5/2],3
Cu,2,Cu II,192.975131,192.975131,192.975129,vacuum,340000.0,340000,21000000.0,C,69704.7015,121524.8509,3d8.4s2,3F,4,3d8.(3F).4s.4p.(3P*),1F*,3
Cu,2,Cu II,194.459596,194.459596,194.459601,vacuum,6000000.0,6000000,19900000.0,C+,21928.7326,73353.2957,3d9.4s,3D,3,3d9.4p,3D*,2
Cu,2,Cu II,196.8008,196.8008,196.801129,vacuum,9700.0,9700,18000000.0,C,66418.6849,117231.4014,3d9.4p,3P*,2,3d9.(2D<3/2>).4d,2[1/2],1
Cu,2,Cu II,197.04936,197.04936,197.049395,vacuum,760000.0,760000,5300000.0,C+,22847.1176,73595.8143,3d9.4s,3D,2,3d9.4p,1P*,1
Cu,2,Cu II,197.995578,197.995578,197.995579,vacuum,18000000.0,18000000,96000000.0,C+,22847.1176,73353.2957,3d9.4s,3D,2,3d9.4p,3D*,2
Cu,2,Cu II,198.985478,198.985478,198.98548,vacuum,7400000.0,7400000,98000000.0,C+,22847.1176,73102.0408,3d9.4s,3D,2,3d9.4p,3D*,1
Cu,2,Cu II,199.018,199.018,199.018009,vacuum,670000.0,670000,130000000.0,C,67916.5572,118163.2663,3d9.4p,3P*,1,3d9.(2D<3/2>).4d,2[3/2],2
Cu,2,Cu II,199.95327,199.95327,199.953361,vacuum,140000.0,140000,58000000.0,C,67916.5572,117928.2197,3d9.4p,3P*,1,3d9.(2D<3/2>).4d,2[3/2],1
Cu,2,Cu II,199.969752,199.969752,199.969754,air,20000000.0,20000000,213000000.0,B,21928.7326,71920.0961,3d9.4s,3D,3,3d9.4p,3D*,3
Cu,2,Cu II,201.298037,201.298037,201.298041,air,1800000.0,1800000,250000000.0,C,66418.6849,116080.2237,3d9.4p,3P*,2,3d9.(2D<5/2>).4d,2[5/2],3
Cu,2,Cu II,201.55822,201.55822,201.558222,air,1400000.0,1400000,21000000.0,C+,23998.3718,73595.8143,3d9.4s,3D,1,3d9.4p,1P*,1
Cu,2,Cu II,201.68964,201.68964,201.689673,air,1700000.0,1700000,8100000.0,C+,21928.7326,71493.8548,3d9.4s,3D,3,3d9.4p,1D*,2
Cu,2,Cu II,202.21913,202.21913,202.219147,air,170000.0,170000,11400000.0,C+,68447.7349,117883.0985,3d9.4p,3F*,3,3d9.(2D<3/2>).4d,2[7/2],4
Cu,1,Cu I,202.4327,202.4327,202.43252,air,3000.0,"3000a,bl",9800000.0,B,0.000,49383.264,3d10.4s,2S,1/2,3d10.5p,2P*,1/2
Cu,1,Cu I,202.4338,202.4338,202.43383,air,7000.0,7000a,9800000.0,B,0.000,49382.945,3d10.4s,2S,1/2,3d10.5p,2P*,3/2
Cu,2,Cu II,202.548773,202.548773,202.548775,air,8100000.0,8100000,68000000.0,C+,23998.3718,73353.2957,3d9.4s,3D,1,3d9.4p,3D*,2
Cu,2,Cu II,202.71336,202.71336,202.713416,air,610000.0,610000,130000000.0,C,67916.5572,117231.4014,3d9.4p,3P*,1,3d9.(2D<3/2>).4d,2[1/2],1
Cu,2,Cu II,202.99491,202.99491,202.994908,air,560000.0,560000,80000000.0,B,66418.6849,115665.1539,3d9.4p,3P*,2,3d9.(2D<5/2>).4d,2[3/2],1
Cu,2,Cu II,203.103579,203.103579,203.103598,air,2700000.0,2700000,450000000.0,B,66418.6849,115638.8036,3d9.4p,3P*,2,3d9.(2D<5/2>).4d,2[3/2],2
Cu,2,Cu II,203.3844,203.3844,203.384242,air,62000.0,62000,8900000.0,C+,68730.8876,117883.0985,3d9.4p,3F*,4,3d9.(2D<3/2>).4d,2[7/2],4
Cu,2,Cu II,203.585321,203.585321,203.585327,air,19000000.0,19000000,370000000.0,C+,23998.3718,73102.0408,3d9.4s,3D,1,3d9.4p,3D*,1
Cu,2,Cu II,203.69201,203.69201,203.692001,air,730000.0,730000,190000000.0,C,68850.2628,117928.2197,3d9.4p,3P*,0,3d9.(2D<3/2>).4d,2[3/2],1
Cu,2,Cu II,203.712672,203.712672,203.712668,air,13000000.0,13000000,136000000.0,B,22847.1176,71920.0961,3d9.4s,3D,2,3d9.4p,3D*,3
Cu,2,Cu II,204.38019,204.38019,204.380148,air,21000000.0,21000000,142000000.0,C+,21928.7326,70841.4669,3d9.4s,3D,3,3d9.4p,1F*,3
Cu,2,Cu II,204.767825,204.767825,204.767825,air,1300000.0,1300000,532000000.0,B+,73595.8143,122415.957,3d9.4p,1P*,1,3d9.(2D<3/2>).4d,2[1/2],0
Cu,2,Cu II,205.425259,205.425259,205.425263,air,810000.0,810000,140000000.0,C,69867.9849,118531.9058,3d9.4p,3F*,2,3d9.(2D<3/2>).4d,2[5/2],2
Cu,2,Cu II,205.44171,205.44171,205.441739,air,960000.0,960000,670000000.0,C,67916.5572,116576.5758,3d9.4p,3P*,1,3d9.(2D<5/2>).4d,2[1/2],0
Cu,2,Cu II,205.497836,205.497836,205.497836,air,18000000.0,18000000,165000000.0,C+,22847.1176,71493.8548,3d9.4s,3D,2,3d9.4p,1D*,2
Cu,2,Cu II,206.24201,206.24201,206.242011,air,1500000.0,1500000,170000000.0,C,67916.5572,116387.7873,3d9.4p,3P*,1,3d9.(2D<5/2>).4d,2[5/2],2
Cu,2,Cu II,206.62609,206.62609,206.626109,air,960000.0,960000,200000000.0,B+,68850.2628,117231.4014,3d9.4p,3P*,0,3d9.(2D<3/2>).4d,2[1/2],1
Cu,2,Cu II,206.99356,206.99356,206.993487,air,240000.0,240000,37000000.0,C,69867.9849,118163.2663,3d9.4p,3F*,2,3d9.(2D<3/2>).4d,2[3/2],2
Cu,2,Cu II,207.866147,207.866147,207.866153,air,6700000.0,6700000,630000000.0,B+,66418.6849,114511.2386,3d9.4p,3P*,2,3d9.(2D<5/2>).4d,2[1/2],1
