element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Dy,1,Dy I,286.27,286.27,286.2694,air,140.0,140,7900000.0,B+,0.000,34921.87,4f10.6s2,5I,8,,*,7
Dy,1,Dy I,296.46,296.46,296.46,air,220.0,220,6500000.0,D,0.000,33721.52,4f10.6s2,5I,8,,*,8
Dy,1,Dy I,314.7694,314.7694,314.7689,air,300.0,300,11000000.0,D,4134.222,35894.36,4f10.6s2,5I,7,,*,8
Dy,1,Dy I,326.3186,326.3186,326.3185,air,3000.0,3000,14000000.0,D,4134.222,34770.30,4f10.6s2,5I,7,,*,6
Dy,2,Dy II,338.502,338.502,338.5014,air,5300.0,5300,53900000.0,,828.314,30361.810,4f10.(5I<8>).6s<1/2>,"(8,1/2)",15/2,4f10.(5I).6p,4H*,13/2
Dy,2,Dy II,340.78,340.78,340.77925,air,5300.0,5300,48800000.0,,0.000,29336.093,4f10.(5I<8>).6s<1/2>,"(8,1/2)",17/2,4f10.(5I).6p,6I*,17/2
Dy,2,Dy II,346.097,346.097,346.09661,air,4400.0,4400,29700000.0,,0.000,28885.393,4f10.(5I<8>).6s<1/2>,"(8,1/2)",17/2,4f10.(5I).6p,*,15/2
Dy,2,Dy II,349.449,349.449,349.44896,air,4400.0,4400,31500000.0,,828.314,29436.610,4f10.(5I<8>).6s<1/2>,"(8,1/2)",15/2,4f10.(5I).6p,*,15/2
Dy,1,Dy I,351.1015,351.1015,351.1014,air,1000.0,1000,9400000.0,B+,4134.222,32607.88,4f10.6s2,5I,7,,*,6
Dy,2,Dy II,353.17,353.17,353.17052,air,22000.0,22000,156000000.0,,0.000,28306.843,4f10.(5I<8>).6s<1/2>,"(8,1/2)",17/2,4f10.(5I).6p,6K*,19/2
