element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Er,2,Er II,323.058,323.058,323.05829,air,2300.0,2300,150000000.0,,440.434,31385.667,4f12.(3H<6>).6s<1/2>,"(6,1/2)",11/2,,*,11/2
Er,2,Er II,326.478,326.478,326.47805,air,2700.0,2700,58000000.0,,0.000,30621.102,4f12.(3H<6>).6s<1/2>,"(6,1/2)",13/2,4f12.(3H<6>).6p<3/2>?,"(6,3/2)*?",13/2
Er,2,Er II,331.242,331.242,331.24259,air,2300.0,2300,37000000.0,,440.434,30621.102,4f12.(3H<6>).6s<1/2>,"(6,1/2)",11/2,4f12.(3H<6>).6p<3/2>?,"(6,3/2)*?",13/2
Er,2,Er II,337.271,337.271,337.27522,air,7700.0,7700,130000000.0,,0.000,29640.863,4f12.(3H<6>).6s<1/2>,"(6,1/2)",13/2,4f12.(3H<6>).6p<3/2>?,"(6,3/2)*?",15/2
Er,2,Er II,339.2,339.2,339.19865,air,2300.0,2300,23500000.0,,0.000,29472.789,4f12.(3H<6>).6s<1/2>,"(6,1/2)",13/2,,*,15/2
Er,2,Er II,349.91,349.91,349.91027,air,6700.0,6700,75000000.0,,440.434,29011.015,4f12.(3H<6>).6s<1/2>,"(6,1/2)",11/2,4f12.(3H<6>).6p<3/2>?,"(6,3/2)*?",9/2
Er,2,Er II,361.656,361.656,361.65658,air,3100.0,3100,20000000.0,,0.000,27642.658,4f12.(3H<6>).6s<1/2>,"(6,1/2)",13/2,,*,11/2
Er,2,Er II,369.265,369.265,369.26494,air,7900.0,7900,48000000.0,,440.434,27513.555,4f12.(3H<6>).6s<1/2>,"(6,1/2)",11/2,,*,13/2
Er,2,Er II,383.048,383.048,383.04818,air,3600.0,3600,14000000.0,,0.000,26098.972,4f12.(3H<6>).6s<1/2>,"(6,1/2)",13/2,4f12.(3H<6>).6p<1/2>?,"(6,1/2)*?",13/2
Er,1,Er I,386.285,386.285,386.28515,air,7500.0,7500,116000000.0,,0.000,25880.274,4f12.6s2,3H,6,4f12.(3H).6s.6p,*,6
Er,1,Er I,389.268,389.268,389.26849,air,4200.0,4200,72800000.0,,0.000,25681.933,4f12.6s2,3H,6,4f11.(4F*).5d.6s2,*,5
Er,2,Er II,389.623,389.623,389.62343,air,5200.0,5200,18000000.0,,440.434,26098.972,4f12.(3H<6>).6s<1/2>,"(6,1/2)",11/2,4f12.(3H<6>).6p<1/2>?,"(6,1/2)*?",13/2
Er,2,Er II,390.631,390.631,390.63122,air,11000.0,11000,32300000.0,,0.000,25592.343,4f12.(3H<6>).6s<1/2>,"(6,1/2)",13/2,4f12.(3H<6>).6p<1/2>?,"(6,1/2)*?",11/2
Er,1,Er I,393.701,393.701,393.70129,air,3200.0,3200,29200000.0,,0.000,25392.779,4f12.6s2,3H,6,4f11.(4F*).5d.6s2,*,6
Er,1,Er I,397.304,397.304,397.30356,air,2700.0,2700,47900000.0,,0.000,25162.553,4f12.6s2,3H,6,4f11.(4I*).5d.6s2,*,5
Er,1,Er I,397.358,397.358,397.35741,air,3200.0,3200,36600000.0,,0.000,25159.143,4f12.6s2,3H,6,,*,7
Er,1,Er I,400.796,400.796,400.79641,air,14000.0,14000,173000000.0,,0.000,24943.272,4f12.6s2,3H,6,4f12.(3H).6s.6p,*,7
Er,1,Er I,408.763,408.763,408.76318,air,3500.0,3500,30300000.0,,0.000,24457.139,4f12.6s2,3H,6,4f11.(4I*).5d.6s2,*,6
Er,1,Er I,415.111,415.111,415.11075,air,6900.0,6900,96000000.0,,0.000,24083.166,4f12.6s2,3H,6,4f12.(3H).6s.6p,*,5
Er,1,Er I,460.661,460.661,460.66042,air,1000.0,1000,7540000.0,,0.000,21701.885,4f12.6s2,3H,6,4f11.(4I*<11/2>).5d<5/2>.6s2,"(11/2,5/2)*",6
Er,1,Er I,582.679,582.679,582.6805,air,430.0,430,1040000.0,,0.000,17157.307,4f12.6s2,3H,6,4f12.(3H<6>).6s.6p.(3P*<1>),"(6,1)*",7
Er,1,Er I,622.102,622.102,622.1017,air,360.0,360,840000.0,,0.000,16070.095,4f12.6s2,3H,6,4f11.(4I*<13/2>).5d<3/2>.6s2,"(13/2,3/2)*",6
