element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Eu,1,Eu I,237.2831,237.2831,237.284,air,20.0,20w,22000000.0,C+,0.00,42130.72,4f7.6s2,a 8S*,7/2,4f7.(8S*).5d (7D*).6p,8P,5/2
Eu,1,Eu I,237.5298,237.5298,237.5304,air,60.0,60w,23000000.0,C+,0.00,42087.02,4f7.6s2,a 8S*,7/2,4f7.(8S*).5d (7D*).6p,8P,7/2
Eu,1,Eu I,237.964,237.964,237.9645,air,50.0,50w,23000000.0,C+,0.00,42010.25,4f7.6s2,a 8S*,7/2,4f7.(8S*).5d (7D*).6p,8P,9/2
Eu,1,Eu I,261.9268,261.9268,261.9272,air,10.0,10,800000.0,E,0.00,38167.16,4f7.6s2,a 8S*,7/2,4f7.(8S*).5d (7D*).6p,z 6D,9/2
Eu,1,Eu I,264.3815,264.3815,264.382,air,6.0,6,700000.0,E,0.00,37812.80,4f7.6s2,a 8S*,7/2,,143,7/2
Eu,1,Eu I,265.9398,265.9398,265.9405,air,15.0,15,1390000.0,C+,0.00,37591.21,4f7.6s2,a 8S*,7/2,,141,9/2
Eu,1,Eu I,268.2582,268.2582,268.2588,air,8.0,8,1400000.0,E,0.00,37266.36,4f7.6s2,a 8S*,7/2,,135,5/2
Eu,1,Eu I,270.9981,270.9981,270.9986,air,180.0,180,16000000.0,C+,0.00,36889.62,4f7.6s2,a 8S*,7/2,4f7.(8S*).5d (7D*).6p,y 8D,9/2
Eu,1,Eu I,272.3954,272.3954,272.396,air,70.0,70,13700000.0,C+,0.00,36700.39,4f7.6s2,a 8S*,7/2,4f7.(8S*).5d (7D*).6p,y 8D,7/2
Eu,2,Eu II,272.778,272.778,272.7783,air,4200.0,4200,65000000.0,,0.00,36648.95,4f7.(8S*).6s,a 9S*,4,4f6.(7F).5d (8P).6s,y 9P,5
Eu,1,Eu I,273.1365,273.1365,273.137,air,50.0,50,3600000.0,C+,0.00,36600.83,4f7.6s2,a 8S*,7/2,,,7/2
Eu,1,Eu I,273.2598,273.2598,273.2603,air,40.0,40,4200000.0,C+,0.00,36584.31,4f7.6s2,a 8S*,7/2,4f7.(8S*).5d (7D*).6p,y 8D,5/2
Eu,1,Eu I,273.5248,273.5248,273.5256,air,80.0,80,5400000.0,C+,0.00,36548.83,4f7.6s2,a 8S*,7/2,,,9/2
Eu,1,Eu I,273.8568,273.8568,273.8573,air,15.0,15,1440000.0,C+,0.00,36504.56,4f7.6s2,a 8S*,7/2,,,9/2
Eu,1,Eu I,274.3286,274.3286,274.3292,air,70.0,70,11900000.0,C+,0.00,36441.77,4f7.6s2,a 8S*,7/2,4f7.(8S*).6s.7p.(1P*)?,8P?,5/2
Eu,1,Eu I,274.5609,274.5609,274.5614,air,40.0,40,5700000.0,C+,0.00,36410.96,4f7.6s2,a 8S*,7/2,,,5/2
Eu,1,Eu I,274.783,274.783,274.7836,air,80.0,80,6000000.0,C+,0.00,36381.51,4f7.6s2,a 8S*,7/2,,,7/2
Eu,1,Eu I,277.2898,277.2898,277.2903,air,10.0,10,1200000.0,E,0.00,36052.65,4f7.6s2,a 8S*,7/2,,128,5/2
Eu,2,Eu II,281.394,281.394,281.393,air,3400.0,3400,55000000.0,,0.00,35527.02,4f7.(8S*).6s,a 9S*,4,4f6.(7F).5d (8P).6s,y 9P,4
Eu,1,Eu I,287.8848,287.8848,287.8858,air,100.0,100,3200000.0,C+,0.00,34725.81,4f7.6s2,a 8S*,7/2,4f7.(8S*).5d (9D*).6p,x 8P,9/2
Eu,1,Eu I,289.2502,289.2502,289.2514,air,200.0,200,11600000.0,C+,0.00,34561.87,4f7.6s2,a 8S*,7/2,4f7.(8S*).6s.7p.(3P*)?,8P?,7/2
Eu,1,Eu I,289.3013,289.3013,289.302,air,140.0,140,11500000.0,C+,0.00,34555.82,4f7.6s2,a 8S*,7/2,4f7.(8S*).6s.7p.(3P*)?,8P?,5/2
Eu,1,Eu I,289.3838,289.3838,289.3838,air,360.0,360,1700000.0,C+,0.00,34546.06,4f7.6s2,a 8S*,7/2,4f6.(7F).5d2.6s?,10P?,9/2
Eu,2,Eu II,290.668,290.668,290.6669,air,3200.0,3200,41000000.0,,0.00,34393.57,4f7.(8S*).6s,a 9S*,4,4f6.(7F).5d (8P).6s,y 9P,3
