element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
F,3,F III,193.944,,193.944,vacuum,,,0.256,C,0.0,51561.4,2s2.2p3,4S*,3/2,2s2.2p3,2P*,3/2
F,3,F III,193.944,,193.944,vacuum,,,2.7e-08,D,0.0,51561.4,2s2.2p3,4S*,3/2,2s2.2p3,2P*,3/2
F,3,F III,193.947,,193.947,vacuum,,,0.102,C,0.0,51560.6,2s2.2p3,4S*,3/2,2s2.2p3,2P*,1/2
F,3,F III,193.947,,193.947,vacuum,,,7.4e-07,D,0.0,51560.6,2s2.2p3,4S*,3/2,2s2.2p3,2P*,1/2
F,2,F II,222.558,,222.558,air,,,0.0016,D,0.0,44918.1,2s2.2p4,3P,2,2s2.2p4,1S,0
F,2,F II,224.261,,224.261,air,,,0.49,C,341.0,44918.1,2s2.2p4,3P,1,2s2.2p4,1S,0
F,3,F III,292.97,,292.97,air,,,0.00134,C,0.0,34123.2,2s2.2p3,4S*,3/2,2s2.2p3,2D*,3/2
F,3,F III,292.97,,292.97,air,,,7.5e-05,D,0.0,34123.2,2s2.2p3,4S*,3/2,2s2.2p3,2D*,3/2
F,3,F III,293.278,,293.278,air,,,1.08e-05,C,0.0,34087.4,2s2.2p3,4S*,3/2,2s2.2p3,2D*,5/2
F,3,F III,293.278,,293.278,air,,,0.00012,D,0.0,34087.4,2s2.2p3,4S*,3/2,2s2.2p3,2D*,5/2
F,3,F III,303.4527,,303.4527,air,,,18400000.0,C,380250.52,413195.00,2s2.2p2.(1D).3p,2D*,5/2,2s2.2p2.(1D).3d,2F,5/2
F,3,F III,303.925,303.925,303.9245,air,130.0,130,275000000.0,C,380250.52,413143.86,2s2.2p2.(1D).3p,2D*,5/2,2s2.2p2.(1D).3d,2F,7/2
F,3,F III,303.975,303.975,303.975,air,120.0,120,256000000.0,C,380307.13,413195.00,2s2.2p2.(1D).3p,2D*,3/2,2s2.2p2.(1D).3d,2F,5/2
F,3,F III,311.362,311.362,311.3606,air,140.0,140,67000000.0,D,316709.81,348817.60,2s2.2p2.(3P).3s,4P,1/2,2s2.2p2.(3P).3p,4D*,3/2
F,3,F III,311.57,311.57,311.5695,air,160.0,160,110000000.0,D,316920.99,349007.25,2s2.2p2.(3P).3s,4P,3/2,2s2.2p2.(3P).3p,4D*,5/2
F,3,F III,312.154,312.154,312.1536,air,180.0,180,160000000.0,D,317239.97,349266.20,2s2.2p2.(3P).3s,4P,5/2,2s2.2p2.(3P).3p,4D*,7/2
F,3,F III,312.479,312.479,312.4779,air,140.0,140,130000000.0,D,316709.81,348702.80,2s2.2p2.(3P).3s,4P,1/2,2s2.2p2.(3P).3p,4D*,1/2
F,3,F III,313.423,313.423,313.4221,air,140.0,140,84000000.0,D,316920.99,348817.60,2s2.2p2.(3P).3s,4P,3/2,2s2.2p2.(3P).3p,4D*,3/2
F,3,F III,314.2779,,314.2779,air,,,116000000.0,C,384358.54,416168.30,2s2.2p2.(1D).3p,2P*,1/2,2s2.2p2.(1D).3d,2D,3/2
F,3,F III,314.5543,,314.5543,air,,,26000000.0,D,316920.99,348702.80,2s2.2p2.(3P).3s,4P,3/2,2s2.2p2.(3P).3p,4D*,1/2
F,3,F III,314.699,314.699,314.6982,air,140.0,140,47000000.0,D,317239.97,349007.25,2s2.2p2.(3P).3s,4P,5/2,2s2.2p2.(3P).3p,4D*,5/2
F,3,F III,315.4421,,315.4421,air,,,138000000.0,C,384493.06,416185.42,2s2.2p2.(1D).3p,2P*,3/2,2s2.2p2.(1D).3d,2D,5/2
F,3,F III,315.6126,,315.6126,air,,,23000000.0,C,384493.06,416168.30,2s2.2p2.(1D).3p,2P*,3/2,2s2.2p2.(1D).3d,2D,3/2
F,3,F III,316.5883,,316.5883,air,,,7700000.0,D,317239.97,348817.60,2s2.2p2.(3P).3s,4P,5/2,2s2.2p2.(3P).3p,4D*,3/2
F,3,F III,317.417,317.417,317.4179,air,180.0,180,170000000.0,D,324876.72,356371.82,2s2.2p2.(3P).3s,2P,3/2,2s2.2p2.(3P).3p,2D*,5/2
F,3,F III,317.476,317.476,317.4758,air,170.0,170,140000000.0,D,324492.55,355981.90,2s2.2p2.(3P).3s,2P,1/2,2s2.2p2.(3P).3p,2D*,3/2
F,2,F II,320.276,320.276,320.2761,air,170.0,170,140000000.0,D,215069.59,246283.63,2s2.2p3.(2D*).3s,1D*,2,2s2.2p3.(2D*).3p,1D,2
F,3,F III,321.4,321.4,321.397,air,120.0,120,27000000.0,D,324876.72,355981.90,2s2.2p2.(3P).3s,2P,3/2,2s2.2p2.(3P).3p,2D*,3/2
F,2,F II,350.139,350.139,350.139,air,190.0,190,286000000.0,C,202449.35,231001.27,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).3d,5D*,0
F,2,F II,350.145,350.145,350.1449,air,200.0,200,215000000.0,C,202449.35,231000.79,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).3d,5D*,1
F,2,F II,350.157,350.157,350.1572,air,200.0,200,100000000.0,C,202449.35,230999.78,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).3d,5D*,2
F,2,F II,350.284,350.284,350.284,air,180.0,180,72000000.0,C,202460.69,231000.79,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).3d,5D*,1
F,2,F II,350.296,350.296,350.2964,air,200.0,200,167000000.0,C,202460.69,230999.78,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).3d,5D*,2
F,2,F II,350.311,350.311,350.3109,air,210.0,210,191000000.0,C,202460.69,230998.60,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).3d,5D*,3
F,2,F II,350.537,350.537,350.5368,air,170.0,170,19000000.0,C,202480.26,230999.78,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).3d,5D*,2
F,2,F II,350.552,350.552,350.5513,air,200.0,200,95000000.0,C,202480.26,230998.60,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).3d,5D*,3
F,2,F II,350.563,350.563,350.5628,air,220.0,220,286000000.0,C,202480.26,230997.66,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).3d,5D*,4
F,2,F II,353.5188,,353.5188,air,,,210000000.0,D,211900.26,240179.22,2s2.2p3.(2D*).3s,3D*,1,2s2.2p3.(2D*).3p,3P,0
F,2,F II,353.687,353.687,353.6869,air,150.0,150,150000000.0,D,211887.19,240152.71,2s2.2p3.(2D*).3s,3D*,2,2s2.2p3.(2D*).3p,3P,1
F,2,F II,353.8505,,353.8505,air,,,51000000.0,D,211900.26,240152.71,2s2.2p3.(2D*).3s,3D*,1,2s2.2p3.(2D*).3p,3P,1
F,2,F II,354.177,354.177,354.1768,air,160.0,160,170000000.0,D,211866.13,240092.55,2s2.2p3.(2D*).3s,3D*,3,2s2.2p3.(2D*).3p,3P,2
F,2,F II,354.4413,,354.4413,air,,,31000000.0,D,211887.19,240092.55,2s2.2p3.(2D*).3s,3D*,2,2s2.2p3.(2D*).3p,3P,2
F,2,F II,354.6056,,354.6056,air,,,2100000.0,D,211900.26,240092.55,2s2.2p3.(2D*).3s,3D*,1,2s2.2p3.(2D*).3p,3P,2
F,2,F II,364.0884,,364.0884,air,,,13700000.0,C,237507.65,264965.68,2s2.2p3.(2D*).3p,3F,4,2s2.2p3.(2D*).3d,3F*,4
F,2,F II,364.0961,,364.0961,air,,,920000.0,C,237508.23,264965.68,2s2.2p3.(2D*).3p,3F,3,2s2.2p3.(2D*).3d,3F*,4
F,2,F II,364.1864,,364.1864,air,,,1180000.0,C,237507.65,264958.29,2s2.2p3.(2D*).3p,3F,4,2s2.2p3.(2D*).3d,3F*,3
F,2,F II,364.1941,,364.1941,air,,,12300000.0,C,237508.23,264958.29,2s2.2p3.(2D*).3p,3F,3,2s2.2p3.(2D*).3d,3F*,3
F,2,F II,364.2033,,364.2033,air,,,1160000.0,C,237508.92,264958.29,2s2.2p3.(2D*).3p,3F,2,2s2.2p3.(2D*).3d,3F*,3
F,2,F II,364.2685,,364.2685,air,,,1630000.0,C,237508.23,264952.69,2s2.2p3.(2D*).3p,3F,3,2s2.2p3.(2D*).3d,3F*,2
F,2,F II,364.2776,,364.2776,air,,,13000000.0,C,237508.92,264952.69,2s2.2p3.(2D*).3p,3F,2,2s2.2p3.(2D*).3d,3F*,2
F,2,F II,384.709,384.709,384.7086,air,270.0,270,130000000.0,D,176493.93,202480.26,2s2.2p3.(4S*).3s,5S*,2,2s2.2p3.(4S*).3p,5P,3
F,2,F II,384.999,384.999,384.9985,air,260.0,260,130000000.0,D,176493.93,202460.69,2s2.2p3.(4S*).3s,5S*,2,2s2.2p3.(4S*).3p,5P,2
F,2,F II,385.167,385.167,385.1668,air,250.0,250,130000000.0,D,176493.93,202449.35,2s2.2p3.(4S*).3s,5S*,2,2s2.2p3.(4S*).3p,5P,1
F,2,F II,402.473,402.473,402.4726,air,240.0,240,120000000.0,D,182864.40,207703.79,2s2.2p3.(4S*).3s,3S*,1,2s2.2p3.(4S*).3p,3P,2
F,2,F II,402.501,402.501,402.501,air,220.0,220,120000000.0,D,182864.40,207702.04,2s2.2p3.(4S*).3s,3S*,1,2s2.2p3.(4S*).3p,3P,0
F,2,F II,402.549,402.549,402.5491,air,230.0,230,120000000.0,D,182864.40,207699.07,2s2.2p3.(4S*).3s,3S*,1,2s2.2p3.(4S*).3p,3P,1
F,2,F II,410.307,410.307,410.3075,air,190.0,190,154000000.0,C,207699.07,232064.16,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).3d,3D*,2
F,2,F II,410.322,410.322,410.3213,air,170.0,170,85000000.0,C,207699.07,232063.34,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).3d,3D*,1
F,2,F II,410.351,410.351,410.3506,air,200.0,200,205000000.0,C,207703.79,232066.32,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).3d,3D*,3
F,2,F II,410.371,410.371,410.3713,air,180.0,180,114000000.0,C,207702.04,232063.34,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(4S*).3d,3D*,1
F,2,F II,410.387,410.387,410.387,air,170.0,170,51000000.0,C,207703.79,232064.16,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).3d,3D*,2
F,2,F II,410.4008,,410.4008,air,,,5700000.0,C,207703.79,232063.34,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).3d,3D*,1
F,2,F II,410.916,410.916,410.916,air,170.0,170,160000000.0,D,211866.13,236195.14,2s2.2p3.(2D*).3s,3D*,3,2s2.2p3.(2D*).3p,3D,3
F,2,F II,411.272,,411.272,air,,,20000000.0,D,211887.19,236195.14,2s2.2p3.(2D*).3s,3D*,2,2s2.2p3.(2D*).3p,3D,3
F,2,F II,411.2969,,411.2969,air,,,28000000.0,D,211866.13,236172.61,2s2.2p3.(2D*).3s,3D*,3,2s2.2p3.(2D*).3p,3D,2
F,2,F II,411.654,411.654,411.6535,air,160.0,160,120000000.0,D,211887.19,236172.61,2s2.2p3.(2D*).3s,3D*,2,2s2.2p3.(2D*).3p,3D,2
F,2,F II,411.699,,411.699,air,,,45000000.0,D,211887.19,236169.93,2s2.2p3.(2D*).3s,3D*,2,2s2.2p3.(2D*).3p,3D,1
F,2,F II,411.8752,,411.8752,air,,,27000000.0,D,211900.26,236172.61,2s2.2p3.(2D*).3s,3D*,1,2s2.2p3.(2D*).3p,3D,2
F,2,F II,411.921,411.921,411.9207,air,150.0,150,130000000.0,D,211900.26,236169.93,2s2.2p3.(2D*).3s,3D*,1,2s2.2p3.(2D*).3p,3D,1
F,2,F II,415.775,,415.775,air,,,2.1,C,20873.4,44918.1,2s2.2p4,1D,2,2s2.2p4,1S,0
F,2,F II,429.917,429.917,429.9165,air,200.0,200,170000000.0,D,215069.59,238323.38,2s2.2p3.(2D*).3s,1D*,2,2s2.2p3.(2D*).3p,1F,3
