element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Fe,2,Fe II,180.08273,180.08273,180.082715,vacuum,3600.0,3600,1300000.0,D,54232.201,109762.239,3d5.4s2,b 4G,11/2,3d6.(3H).5p,4I*,11/2
Fe,2,Fe II,180.11284,180.11284,180.112841,vacuum,6000.0,6000,8000000.0,E,54273.656,109794.406,3d5.4s2,b 4G,9/2,3d5.(2G2).4s.4p.(3P*),4H*,11/2
Fe,3,Fe III,180.12403,,180.12403,vacuum,,,19.0,D+,50411.95,105929.25,3d6,b 3P,2,3d5.(b 2D).4s,3D,3
Fe,3,Fe III,180.1787,180.1787,180.17856,vacuum,53000.0,53000,130000000.0,D+,93512.71,149013.21,3d5.(a 2G).4s,1G,4,3d5.(2H).4p,1G*,4
Fe,3,Fe III,180.1961,,180.1961,vacuum,,,25.0,C,21461.92,76957.02,3d6,a 3F,4,3d5.(4D).4s,3D,3
Fe,3,Fe III,180.19862,,180.19862,vacuum,,,16.0,D+,50411.95,105906.27,3d6,b 3P,2,3d5.(b 2D).4s,3D,2
Fe,2,Fe II,180.205,180.205,180.205146,vacuum,700.0,700,3900000.0,D,47626.110,103118.421,3d6.(5D).4p,z 4P*,1/2,3d6.(5D).6s,4D,3/2
Fe,2,Fe II,180.217,180.217,180.217253,vacuum,360.0,360d?,29000000.0,E,54273.656,109762.239,3d5.4s2,b 4G,9/2,3d6.(3H).5p,4I*,11/2
Fe,3,Fe III,180.3358,180.3358,180.33488,vacuum,16000.0,16000,60000000.0,D,88664.08,144116.47,3d5.(2H).4s,3H,4,3d5.(a 2G).4p,3G*,3
Fe,2,Fe II,180.354,180.354,180.354145,vacuum,2800.0,2800,6800000.0,D+,31483.1979,86929.664,3d6.(3D).4s,b 4D,7/2,3d6.(3P1).4p,v 4D*,7/2
Fe,2,Fe II,180.41653,180.41653,180.416546,vacuum,5000.0,5000,8000000.0,D+,46967.4751,102394.764,3d6.(5D).4p,z 4P*,5/2,3d6.(5D).6s,4D,7/2
Fe,2,Fe II,180.46459,180.46459,180.464553,vacuum,3300.0,3300,6000000.0,D,47389.809,102802.353,3d6.(5D).4p,z 4P*,3/2,3d6.(5D).6s,4D,5/2
Fe,3,Fe III,180.4961,,180.4961,vacuum,,,11.0,D+,21699.79,77102.66,3d6,a 3F,3,3d5.(4D).4s,3D,2
Fe,3,Fe III,180.5333,180.5333,180.53435,vacuum,30000.0,30000p,50000000.0,D+,88694.86,144085.98,3d5.(2H).4s,3H,5,3d5.(a 2G).4p,3G*,4
Fe,2,Fe II,180.54617,180.54617,180.546142,vacuum,6000.0,6000,26000000.0,E,54232.201,109619.704,3d5.4s2,b 4G,11/2,3d6.(3H).5p,4I*,13/2
Fe,2,Fe II,180.5716,180.5716,180.571793,vacuum,1200.0,1200,4700000.0,D,31387.9788,86767.614,3d6.(3D).4s,b 4D,5/2,3d6.(3P1).4p,v 4D*,5/2
Fe,3,Fe III,180.5841,,180.5841,vacuum,,,10.0,D+,21699.79,77075.66,3d6,a 3F,3,3d5.(4D).4s,3D,1
Fe,3,Fe III,180.7998,180.7998,180.79841,vacuum,40000.0,40000,4600000.0,D,84370.15,139680.37,3d5.(a 2F).4s,3F,2,3d5.(4F).4p,3G*,3
Fe,2,Fe II,180.8384,180.8384,180.838422,vacuum,600.0,600,4100000.0,D,54273.656,109571.639,3d5.4s2,b 4G,9/2,3d5.(2G2).4s.4p.(3P*),4H*,7/2
