element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ga,2,Ga II,180.2251,180.2251,180.225,vacuum,15.0,15,1460000000.0,,70701.427,126187.61,4s.4p,1P*,1,4s.4d,1D,2
Ga,2,Ga II,209.07679,209.07679,209.07679,air,20.0,20hfs,409000.0,,0.000,47814.114,3d10.4s2,1S,0,4s.4p,3P*,1
Ga,1,Ga I,219.5346,,219.5346,air,,,1940000.0,C+,0.000,45536.67,3d10.4s2.4p,2P*,1/2,4s2.9s,2S,1/2
Ga,1,Ga I,219.962,219.962,219.962,air,,a,3110000.0,C,826.190,46274.4,3d10.4s2.4p,2P*,3/2,4s2.10s,2S,1/2
Ga,1,Ga I,221.436,221.436,221.436,air,,a,3170000.0,C+,826.190,45972.0,3d10.4s2.4p,2P*,3/2,4s2.8d,2D,5/2
Ga,1,Ga I,221.449,,221.449,air,,,530000.0,C+,826.190,45969.2,3d10.4s2.4p,2P*,3/2,4s2.8d,2D,3/2
Ga,1,Ga I,223.5918,,223.5918,air,,,4000000.0,C+,826.190,45536.67,3d10.4s2.4p,2P*,3/2,4s2.9s,2S,1/2
Ga,1,Ga I,225.5034,225.5034,225.4995,air,1.0,1,3150000.0,C+,0.000,44332.27,3d10.4s2.4p,2P*,1/2,4s2.8s,2S,1/2
Ga,1,Ga I,225.9227,225.9227,225.9211,air,1.0,1,3100000.0,C,826.190,45075.73,3d10.4s2.4p,2P*,3/2,4s2.7d,2D,5/2
Ga,1,Ga I,229.419,229.419,229.4181,air,2.0,2,6970000.0,C+,0.000,43575.11,3d10.4s2.4p,2P*,1/2,4s2.6d,2D,3/2
Ga,1,Ga I,229.7869,229.7869,229.7821,air,1.0,1,5560000.0,C+,826.190,44332.27,3d10.4s2.4p,2P*,3/2,4s2.8s,2S,1/2
Ga,1,Ga I,233.824,233.824,233.8232,air,3.0,3,9750000.0,C+,826.190,43580.44,3d10.4s2.4p,2P*,3/2,4s2.6d,2D,5/2
Ga,1,Ga I,233.8596,233.8596,233.8524,air,1.0,1,1580000.0,C+,826.190,43575.11,3d10.4s2.4p,2P*,3/2,4s2.6d,2D,3/2
Ga,1,Ga I,237.129,237.129,237.1262,air,3.0,3,5570000.0,C+,0.000,42158.77,3d10.4s2.4p,2P*,1/2,4s2.7s,2S,1/2
Ga,1,Ga I,241.869,241.869,241.8664,air,4.0,4,10000000.0,C+,826.190,42158.77,3d10.4s2.4p,2P*,3/2,4s2.7s,2S,1/2
Ga,1,Ga I,245.0078,245.0078,245.0067,air,,,27800000.0,C+,0.000,40802.86,3d10.4s2.4p,2P*,1/2,4s2.5d,2D,3/2
Ga,1,Ga I,250.0187,250.0187,250.017,air,,,33400000.0,C+,826.190,40811.41,3d10.4s2.4p,2P*,3/2,4s2.5d,2D,5/2
Ga,1,Ga I,250.0714,250.0714,250.0705,air,,,5540000.0,C+,826.190,40802.86,3d10.4s2.4p,2P*,3/2,4s2.5d,2D,3/2
Ga,1,Ga I,265.9873,265.9873,265.9861,air,,,12200000.0,C+,0.000,37584.77,3d10.4s2.4p,2P*,1/2,4s2.6s,2S,1/2
Ga,1,Ga I,271.9664,271.9664,271.9648,air,3.0,3,23400000.0,C+,826.190,37584.77,3d10.4s2.4p,2P*,3/2,4s2.6s,2S,1/2
Ga,1,Ga I,287.4235,287.4235,287.4235,air,3.0,3,117000000.0,B+,0.000,34781.66,3d10.4s2.4p,2P*,1/2,4s2.4d,2D,3/2
Ga,1,Ga I,294.3636,294.3636,294.3636,air,3.0,3,134000000.0,B+,826.190,34787.85,3d10.4s2.4p,2P*,3/2,4s2.4d,2D,5/2
Ga,1,Ga I,294.4173,294.4173,294.4173,air,1.0,1,26100000.0,B+,826.190,34781.66,3d10.4s2.4p,2P*,3/2,4s2.4d,2D,3/2
Ga,1,Ga I,403.2984,403.2984,403.29843,air,4.0,4,48500000.0,B+,0.000,24788.530,3d10.4s2.4p,2P*,1/2,4s2.5s,2S,1/2
Ga,1,Ga I,417.2042,417.2042,417.20391,air,5.0,5,94500000.0,B+,826.190,24788.530,3d10.4s2.4p,2P*,3/2,4s2.5s,2S,1/2
