element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Gd,1,Gd I,368.413,368.413,368.41341,air,2000.0,2000,91000000.0,,0.000,27135.695,4f7.(8S*).5d.6s2,9D*,2,4f7.(8S*).5d (9D*).6s.6p.(1P*),9P,3
Gd,1,Gd I,371.357,371.357,371.3575,air,2000.0,2000,92000000.0,,215.124,27135.695,4f7.(8S*).5d.6s2,9D*,3,4f7.(8S*).5d (9D*).6s.6p.(1P*),9P,3
Gd,1,Gd I,371.748,371.748,371.74835,air,2000.0,2000,68000000.0,,532.977,27425.245,4f7.(8S*).5d.6s2,9D*,4,4f7.(8S*).5d (9D*).6s.6p.(1P*),,4
Gd,1,Gd I,378.305,378.305,378.30597,air,2900.0,2900,94000000.0,,999.121,27425.245,4f7.(8S*).5d.6s2,9D*,5,4f7.(8S*).5d (9D*).6s.6p.(1P*),,4
Gd,1,Gd I,405.364,405.364,405.36402,air,2600.0,2600,62000000.0,,999.121,25661.340,4f7.(8S*).5d.6s2,9D*,5,4f7.(8S*).5d (7D*).6s.6p.(3P*),,6
Gd,1,Gd I,405.822,405.822,405.82196,air,2600.0,2600,57000000.0,,215.124,24849.514,4f7.(8S*).5d.6s2,9D*,3,4f7.(8S*).5d (7D*).6s.6p.(3P*),,4
Gd,1,Gd I,407.87,407.87,407.8704,air,2800.0,2800,59000000.0,,532.977,25043.649,4f7.(8S*).5d.6s2,9D*,4,4f7.(8S*).5d (9D*).6s.6p.(1P*),,5
Gd,1,Gd I,417.554,417.554,417.55394,air,2400.0,2400,42000000.0,,1719.087,25661.340,4f7.(8S*).5d.6s2,9D*,6,4f7.(8S*).5d (7D*).6s.6p.(3P*),,6
Gd,1,Gd I,419.078,419.078,419.07814,air,2200.0,2200,30000000.0,,999.121,24854.297,4f7.(8S*).5d.6s2,9D*,5,4f8.(7F).5d (8G).6s,9G,6
Gd,1,Gd I,422.585,422.585,422.5848,air,4800.0,4800,89000000.0,,1719.087,25376.313,4f7.(8S*).5d.6s2,9D*,6,4f7.(8S*).5d (9D*).6s.6p.(1P*),,7
Gd,1,Gd I,431.384,431.384,431.3845,air,1800.0,1800,43000000.0,,215.124,23389.782,4f7.(8S*).5d.6s2,9D*,3,4f7.(8S*).5d (9D*).6s.6p.(1P*),,3
Gd,1,Gd I,432.712,432.712,432.71018,air,1900.0,1900,52000000.0,,0.000,23103.660,4f7.(8S*).5d.6s2,9D*,2,4f7.(8S*).5d2.(3F) (10F*).6p,,1
Gd,1,Gd I,440.186,440.186,440.1851,air,1400.0,1400,38000000.0,,1719.087,24430.425,4f7.(8S*).5d.6s2,9D*,6,4f7.(8S*).5d (9D*).6s.6p.(1P*),,6
Gd,1,Gd I,442.241,442.241,442.2407,air,1400.0,1400,28000000.0,,215.124,22820.895,4f7.(8S*).5d.6s2,9D*,3,4f7.(8S*).5d (7D*).6s.6p.(3P*),9D,4
Gd,1,Gd I,443.063,443.063,443.06289,air,1100.0,1100,30000000.0,,0.000,22563.824,4f7.(8S*).5d.6s2,9D*,2,4f7.(8S*).5d (7D*).6s.6p.(3P*),9D,3
Gd,1,Gd I,451.966,451.966,451.9654,air,1100.0,1100,38000000.0,,215.124,22334.508,4f7.(8S*).5d.6s2,9D*,3,4f7.(8S*).5d (9D*).6s.6p.(1P*),,2
