element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ge,1,Ge I,194.47313,194.47313,194.473,vacuum,200.0,200,70000000.0,C,557.1341,51978.15,4s2.4p2,3P,1,4s2.4p.4d,3P*,0
Ge,1,Ge I,195.5115,195.5115,195.511502,vacuum,200.0,200,28000000.0,C,557.1341,51705.020,4s2.4p2,3P,1,4s2.4p.4d,3P*,1
Ge,1,Ge I,198.8268,198.8268,198.826688,vacuum,300.0,300,25000000.0,C,1409.9609,51705.020,4s2.4p2,3P,2,4s2.4p.4d,3P*,1
Ge,1,Ge I,199.8887,199.8887,199.888698,vacuum,500.0,500r,55000000.0,C,1409.9609,51437.802,4s2.4p2,3P,2,4s2.4p.4d,3P*,2
Ge,1,Ge I,204.17121,204.17121,204.17121,air,2400.0,2400r,110000000.0,C,0.0000,48962.783,4s2.4p2,3P,0,4s2.4p.4d,3D*,1
Ge,1,Ge I,206.52149,206.52149,206.52147,air,750.0,750r,85000000.0,C,557.1341,48962.783,4s2.4p2,3P,1,4s2.4p.4d,3D*,1
Ge,1,Ge I,206.86562,206.86562,206.86562,air,2600.0,2600r,120000000.0,C,557.1341,48882.263,4s2.4p2,3P,1,4s2.4p.4d,3D*,2
Ge,1,Ge I,208.60208,208.60208,208.60206,air,420.0,420,40000000.0,C,557.1341,48480.048,4s2.4p2,3P,1,4s2.4p.4d,1D*,2
Ge,1,Ge I,209.42582,209.42582,209.42582,air,2000.0,2000r,97000000.0,C,1409.9609,49144.397,4s2.4p2,3P,2,4s2.4p.4d,3D*,3
Ge,1,Ge I,210.58241,210.58241,210.58238,air,240.0,240,17000000.0,C,1409.9609,48882.263,4s2.4p2,3P,2,4s2.4p.4d,3D*,2
Ge,1,Ge I,225.60007,225.60007,225.60007,air,18.0,18,3200000.0,C,7125.2989,51437.802,4s2.4p2,1D,2,4s2.4p.4d,3P*,2
Ge,1,Ge I,241.73672,241.73672,241.73674,air,130.0,130,96000000.0,C,7125.2989,48480.048,4s2.4p2,1D,2,4s2.4p.4d,1D*,2
Ge,1,Ge I,249.79625,249.79625,249.796251,air,90.0,90,13000000.0,C,0.0000,40020.5604,4s2.4p2,3P,0,4s2.4p.5s,1P*,1
Ge,1,Ge I,253.32305,253.32305,253.323048,air,70.0,70,10000000.0,C,557.1341,40020.5604,4s2.4p2,3P,1,4s2.4p.5s,1P*,1
Ge,1,Ge I,258.91878,258.91878,258.918784,air,28.0,28,5100000.0,C,1409.9609,40020.5604,4s2.4p2,3P,2,4s2.4p.5s,1P*,1
Ge,1,Ge I,259.2534,259.2534,259.253402,air,500.0,500,71000000.0,C,557.1341,39117.9021,4s2.4p2,3P,1,4s2.4p.5s,3P*,2
Ge,1,Ge I,265.1172,265.1172,265.117199,air,1200.0,1200,200000000.0,C,1409.9609,39117.9021,4s2.4p2,3P,2,4s2.4p.5s,3P*,2
