element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
H,,H,365.51234,,365.51234,air,,,67.464,AAA,82259.158,[109610.2232],2,,,40,,
H,,H,365.55993,,365.55993,air,,,76.576,AAA,82259.158,[109606.6628],2,,,39,,
H,,H,365.61134,,365.61134,air,,,87.206,AAA,82259.158,[109602.8177],2,,,38,,
H,,H,365.665,365.665,365.66698,air,700.0,700,99.657,AAA,82259.158,[109598.6566],2,,,37,,
H,,H,365.725,365.725,365.72735,air,700.0,700,114.3,AAA,82259.158,[109594.1439],2,,,36,,
H,,H,365.804,365.804,365.79299,air,700.0,700bl,131.61,AAA,82259.158,[109589.2390],2,,,35,,
H,,H,365.865,365.865,365.86453,air,700.0,700,152.16,AAA,82259.158,[109583.8949],2,,,34,,
H,,H,365.941,365.941,365.94271,air,700.0,700,176.69,AAA,82259.158,[109578.0577],2,,,33,,
H,,H,366.032,366.032,366.02837,air,700.0,700bl,206.12,AAA,82259.158,[109571.6647],2,,,32,,
H,,H,366.127,366.127,366.12249,air,800.0,800,241.62,AAA,82259.158,[109564.6431],2,,,31,,
H,,H,366.222,366.222,366.22625,air,1100.0,1100bl,284.74,AAA,82259.158,[109556.9077],2,,,30,,
H,,H,366.341,366.341,366.34098,air,900.0,900bl,337.42,AAA,82259.158,[109548.3584],2,,,29,,
H,,H,366.465,366.465,366.46831,air,1000.0,1000bl,402.24,AAA,82259.158,[109538.8768],2,,,28,,
H,,H,366.608,366.608,366.61016,air,900.0,900,482.61,AAA,82259.158,[109528.3223],2,,,27,,
H,,H,366.773,366.773,366.76881,air,1000.0,1000,583.04,AAA,82259.158,[109516.5267],2,,,26,,
H,,H,366.945,366.945,366.94705,air,1300.0,1300,709.63,AAA,82259.158,[109503.2875],2,,,25,,
H,,H,367.132,367.132,367.14823,air,1200.0,1200bl,870.69,AAA,82259.158,[109488.3592],2,,,24,,
H,,H,367.381,367.381,367.37649,air,1300.0,1300,1077.7,AAA,82259.158,[109471.4416],2,,,23,,
H,,H,367.6376,367.6376,367.63692,air,1400.0,1400,1346.7,AAA,82259.158,[109452.1650],2,,,22,,
H,,H,367.937,367.937,367.93589,air,1700.0,1700,1700.5,AAA,82259.158,[109430.0696],2,,,21,,
H,,H,368.2823,368.2823,368.28143,air,1700.0,1700,2171.9,AAA,82259.158,[109404.5776],2,,,20,,
H,,H,368.6831,368.6831,368.68376,air,2000.0,2000,2809.3,AAA,82259.158,[109374.9555],2,,,19,,
H,,H,369.1551,369.1551,369.15611,air,2300.0,2300,3685.1,AAA,82259.158,[109340.2604],2,,,18,,
H,,H,369.7157,369.7157,369.71581,air,2300.0,2300,4910.1,AAA,82259.158,[109299.2642],2,,,17,,
H,,H,370.3859,370.3859,370.38593,air,2800.0,2800,6658.3,AAA,82259.158,[109250.3433],2,,,16,,
