element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
He,1,He I,267.7135,267.7135,267.7128036,air,1.0,1*,441740.0,AAA,[159855.971776],[197198.33737542],1s.2s,3S,1,1s.10p,3P*,0
He,1,He I,267.7135,267.7135,267.7128518,air,1.0,1*,441740.0,AAA,[159855.971776],[197198.33066214],1s.2s,3S,1,1s.10p,3P*,1
He,1,He I,267.7135,267.7135,267.7128557,air,1.0,1*,441740.0,AAA,[159855.971776],[197198.33011596],1s.2s,3S,1,1s.10p,3P*,2
He,1,He I,269.6119,269.6119,269.6117592,air,1.0,1*,602340.0,AAA,[159855.971776],[196935.33880189],1s.2s,3S,1,1s.9p,3P*,0
He,1,He I,269.6119,269.6119,269.6118264,air,1.0,1*,602340.0,AAA,[159855.971776],[196935.32956383],1s.2s,3S,1,1s.9p,3P*,1
He,1,He I,269.6119,269.6119,269.6118319,air,1.0,1*,602340.0,AAA,[159855.971776],[196935.32881198],1s.2s,3S,1,1s.9p,3P*,2
He,1,He I,272.3191,272.3191,272.3191003,air,1.0,1*,849960.0,AAA,[159855.971776],[196566.7234987],1s.2s,3S,1,1s.8p,3P*,0
He,1,He I,272.3191,272.3191,272.3191983,air,1.0,1*,849960.0,AAA,[159855.971776],[196566.7102909],1s.2s,3S,1,1s.8p,3P*,1
He,1,He I,272.3191,272.3191,272.3192063,air,1.0,1*,849960.0,AAA,[159855.971776],[196566.7092158],1s.2s,3S,1,1s.8p,3P*,2
He,2,He II,273.3184772,,273.3184772,air,,,25056000.0,AA,(390140.8249696),(426717.352717),3p,2P*,1/2,6d,2D,3/2
He,2,He II,273.3195173,,273.3195173,air,,,15291000.0,AA,(390140.964517),(426717.3530854),3s,2S,1/2,6p,2P*,3/2
He,2,He II,273.3199647,,273.3199647,air,,,2707000.0,AA,(390140.8249696),(426717.1536654),3p,2P*,1/2,6s,2S,1/2
He,2,He II,273.3211384,,273.3211384,air,,,15293000.0,AA,(390140.964517),(426717.1361554),3s,2S,1/2,6p,2P*,1/2
He,2,He II,273.330886,,273.330886,air,,,32071000.0,AA,(390142.55757536),(426717.424890),3d,2D,3/2,6f,2F*,5/2
He,2,He II,273.3309064,,273.3309064,air,,,30065000.0,AA,(390142.5604306),(426717.425022),3p,2P*,3/2,6d,2D,5/2
He,2,He II,273.3314227,,273.3314227,air,,,125270.0,AA,(390142.55757536),(426717.3530854),3d,2D,3/2,6p,2P*,3/2
He,2,He II,273.3314467,,273.3314467,air,,,5010900.0,AA,(390142.5604306),(426717.352717),3p,2P*,3/2,6d,2D,3/2
He,2,He II,273.3329344,,273.3329344,air,,,5416000.0,AA,(390142.5604306),(426717.1536654),3p,2P*,3/2,6s,2S,1/2
He,2,He II,273.3330439,,273.3330439,air,,,1253500.0,AA,(390142.55757536),(426717.1361554),3d,2D,3/2,6p,2P*,1/2
