element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Hf,1,Hf I,316.2575,316.2575,316.255825,air,38000.0,38000,20400000.0,B+,0.0000,31610.8213,5d2.6s2,a 3F,2,5d2.(a 3F).6s.(a 2F).6p,y 1D*,2
Hf,1,Hf I,318.9632,318.9632,318.963093,air,12000.0,12000,2410000.0,B,0.0000,31342.5275,5d2.6s2,a 3F,2,5d2.(a 3P).6s.(a 4P).6p,y 5D*,3
Hf,2,Hf II,325.37,325.37,325.3702,air,890.0,890,21000000.0,,3050.88,33776.24,5d.6s2,a 2D,5/2,5d.6s.(3D).6p,z 4F*,7/2
Hf,1,Hf I,333.2737,333.2737,333.272468,air,54000.0,54000,18300000.0,B+,0.0000,29996.8513,5d2.6s2,a 3F,2,5d2.(a 3F).6s.(a 4F).6p,y 3D*,3
Hf,1,Hf I,336.006,336.006,336.005287,air,17000.0,17000,2860000.0,B+,0.0000,29752.8870,5d2.6s2,a 3F,2,5d2.(a 3P).6s.(a 4P).6p,y 5D*,2
Hf,2,Hf II,339.98,339.98,339.9793,air,2300.0,2300,31000000.0,,0.00,29405.12,5d.6s2,a 2D,3/2,5d.6s.(3D).6p,z 4F*,5/2
Hf,1,Hf I,340.0218,340.0218,340.021374,air,16000.0,16000,3600000.0,C+,0.0000,29401.4784,5d2.6s2,a 3F,2,5d2.(a 3P).6s.(a 4P).6p,y 3P*,2
Hf,1,Hf I,341.734,341.734,341.733878,air,23000.0,23000,7000000.0,B+,2356.6756,31610.8213,5d2.6s2,a 3F,3,5d2.(a 3F).6s.(a 2F).6p,y 1D*,2
Hf,1,Hf I,344.8969,344.8969,344.897073,air,3600.0,3600,329000.0,B,2356.6756,31342.5275,5d2.6s2,a 3F,3,5d2.(a 3P).6s.(a 4P).6p,y 5D*,3
Hf,1,Hf I,347.241,347.241,347.24012,air,55000.0,55000,26300000.0,B+,0.0000,28790.2720,5d2.6s2,a 3F,2,5d2.(a 3F).6s.(a 4F).6p,y 3D*,1
Hf,1,Hf I,349.7498,349.7498,349.749366,air,98000.0,98000,17900000.0,B+,0.0000,28583.7248,5d2.6s2,a 3F,2,5d2.(a 3F).6s.(a 4F).6p,z 3G*,3
Hf,1,Hf I,352.3025,352.3025,352.302351,air,62000.0,62000,14600000.0,B+,2356.6756,30733.2723,5d2.6s2,a 3F,3,5d2.(a 3F).6s.(a 4F).6p,y 3F*,4
Hf,1,Hf I,353.663,353.663,353.662873,air,24000.0,24000,9600000.0,B+,0.0000,28267.4366,5d2.6s2,a 3F,2,5d2.(a 3F).6s.(a 4F).6p,y 3D*,2
Hf,1,Hf I,356.4307,356.4307,356.43062,air,11000.0,11000,3300000.0,B+,0.0000,28047.9411,5d2.6s2,a 3F,2,5d2.(a 3P).6s.(a 4P).6p,z 3S*,1
Hf,1,Hf I,361.5034,361.5034,361.503562,air,15000.0,15000,957000.0,B,0.0000,27654.3580,5d2.6s2,a 3F,2,5d2.(a 3F).6s.(a 4F).6p,y 3F*,3
Hf,1,Hf I,361.6892,361.6892,361.689056,air,100000.0,100000,11400000.0,B+,2356.6756,29996.8513,5d2.6s2,a 3F,3,5d2.(a 3F).6s.(a 4F).6p,y 3D*,3
Hf,1,Hf I,363.0872,363.0872,363.086632,air,35000.0,35000,5700000.0,B,0.0000,27533.7873,5d2.6s2,a 3F,2,5d2.(a 3P).6s.(a 4P).6p,y 5D*,1
Hf,1,Hf I,364.9106,364.9106,364.909998,air,34000.0,34000,6000000.0,B+,2356.6756,29752.8870,5d2.6s2,a 3F,3,5d2.(a 3P).6s.(a 4P).6p,y 5D*,2
Hf,1,Hf I,368.2247,368.2247,368.223847,air,140000.0,140000,25600000.0,B+,0.0000,27149.6642,5d2.6s2,a 3F,2,5d2.(a 3F).6s.(a 4F).6p,y 3F*,2
Hf,1,Hf I,369.6524,369.6524,369.651607,air,17000.0,17000,3100000.0,C+,2356.6756,29401.4784,5d2.6s2,a 3F,3,5d2.(a 3P).6s.(a 4P).6p,y 3P*,2
Hf,1,Hf I,371.7802,371.7802,371.7797,air,42000.0,42000,9000000.0,B+,2356.6756,29246.6760,5d2.6s2,a 3F,3,5d2.(a 3F).6s.(a 4F).6p,z 3G*,4
Hf,1,Hf I,373.3786,373.3786,373.378146,air,41000.0,41000,9140000.0,B+,4567.6413,31342.5275,5d2.6s2,a 3F,4,5d2.(a 3P).6s.(a 4P).6p,y 5D*,3
Hf,1,Hf I,377.7658,377.7658,377.765021,air,74000.0,74000,20000000.0,B+,0.0000,26463.9649,5d2.6s2,a 3F,2,5d.6s2.(a 2D).6p,z 1P*,1
Hf,1,Hf I,378.546,378.546,378.545654,air,110000.0,110000,12400000.0,B+,4567.6413,30977.0338,5d2.6s2,a 3F,4,5d2.(a 3F).6s.(a 4F).6p,z 3G*,5
Hf,1,Hf I,380.038,380.038,380.03629,air,36000.0,36000,2860000.0,B,0.0000,26305.8081,5d2.6s2,a 3F,2,5d2.(a 3F).6s.(a 4F).6p,z 5D*,3
Hf,1,Hf I,381.1781,381.1781,381.177553,air,14000.0,14000,3290000.0,B+,2356.6756,28583.7248,5d2.6s2,a 3F,3,5d2.(a 3F).6s.(a 4F).6p,z 3G*,3
Hf,1,Hf I,382.0728,382.0728,382.072307,air,34000.0,34000,17100000.0,B+,4567.6413,30733.2723,5d2.6s2,a 3F,4,5d2.(a 3F).6s.(a 4F).6p,y 3F*,4
Hf,1,Hf I,384.919,384.919,384.917811,air,32000.0,32000,22400000.0,B+,5638.6151,31610.8213,5d2.6s2,a 1D,2,5d2.(a 3F).6s.(a 2F).6p,y 1D*,2
Hf,1,Hf I,385.831,385.831,385.830632,air,25000.0,25000,8000000.0,B+,2356.6756,28267.4366,5d2.6s2,a 3F,3,5d2.(a 3F).6s.(a 4F).6p,y 3D*,2
Hf,1,Hf I,388.9362,388.9362,388.935622,air,5900.0,5900,2390000.0,B+,5638.6151,31342.5275,5d2.6s2,a 1D,2,5d2.(a 3P).6s.(a 4P).6p,y 5D*,3
Hf,1,Hf I,389.9937,389.9937,389.993003,air,29000.0,29000,4200000.0,B+,0.0000,25634.2234,5d2.6s2,a 3F,2,5d2.(a 3F).6s.(a 4F).6p,z 5D*,2
Hf,1,Hf I,393.138,393.138,393.137246,air,19000.0,19000,4570000.0,B+,4567.6413,29996.8513,5d2.6s2,a 3F,4,5d2.(a 3F).6s.(a 4F).6p,y 3D*,3
Hf,1,Hf I,395.1822,395.1822,395.181289,air,26000.0,26000,4000000.0,B,2356.6756,27654.3580,5d2.6s2,a 3F,3,5d2.(a 3F).6s.(a 4F).6p,y 3F*,3
Hf,1,Hf I,397.3477,397.3477,397.347912,air,15000.0,15000,910000.0,C+,2356.6756,27516.4201,5d2.6s2,a 3F,3,5d2.(a 3F).6s.(a 4F).6p,z 5D*,4
Hf,1,Hf I,399.275,399.275,399.275684,air,970.0,970,380000.0,C+,6572.5498,31610.8213,5d2.6s2,a 3P,1,5d2.(a 3F).6s.(a 2F).6p,y 1D*,2
Hf,1,Hf I,403.2266,403.2266,403.225898,air,7200.0,7200,1800000.0,B+,2356.6756,27149.6642,5d2.6s2,a 3F,3,5d2.(a 3F).6s.(a 4F).6p,y 3F*,2
Hf,1,Hf I,405.0883,405.0883,405.087807,air,2500.0,2500*,400000.0,E,4567.6413,29246.6760,5d2.6s2,a 3F,4,5d2.(a 3F).6s.(a 4F).6p,z 3G*,4
