element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Hg,2,Hg II,180.0815,180.0815,180.081392,vacuum,1500.0,1500,12000000.0,,50555.567,106086.013,5d9.6s2,2D,3/2,5d9.6s.6p,"(2D<5/2>,1P<1>)*",3/2
Hg,2,Hg II,180.6158,180.6158,180.6157,vacuum,90.0,90,71000000.0,,91139.508,146505.679,5d9.6s.6p,"(2D<5/2>,3P<2>)*",9/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",7/2
Hg,2,Hg II,180.8287,180.8287,180.82859,vacuum,300.0,300,70000000.0,,84836.143,140137.134,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",5/2
Hg,2,Hg II,182.072,182.072,182.07207,vacuum,5000.0,5000,1100000000.0,,91139.508,146062.814,5d9.6s.6p,"(2D<5/2>,3P<2>)*",9/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",11/2
Hg,2,Hg II,182.3859,182.3859,182.38594,vacuum,60.0,60,26000000.0,,91139.508,145968.295,5d9.6s.6p,"(2D<5/2>,3P<2>)*",9/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",7/2
Hg,2,Hg II,182.5121,182.5121,182.51206,vacuum,3.0,3,2300000.0,,84836.143,139627.043,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d10.9d,2D,3/2
Hg,2,Hg II,183.6672,183.6672,183.66749,vacuum,3.0,3,91000000.0,,95187.361,149633.577,5d9.6s.6p,"(2D<5/2>,3P<2>)*",7/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,5/2]",7/2
Hg,2,Hg II,184.0623,184.0623,184.06227,vacuum,1000.0,1000h,650000000.0,,95304.138,149633.577,5d9.6s.6p,"(2D<5/2>,3P<2>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,5/2]",7/2
Hg,2,Hg II,184.1204,184.1204,184.12046,vacuum,7.0,7,220000000.0,,110604.447,164916.716,5d9.6s.6p,"(2D<3/2>,3P<2>)*",7/2,5d9.6s.6d,"[(2D<3/2>,1/2)<2>,5/2]",7/2
Hg,2,Hg II,184.7417,184.7417,184.74167,vacuum,12.0,12,82000000.0,,94092.834,148222.473,5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",3/2
Hg,2,Hg II,184.8935,184.8935,184.89335,vacuum,800.0,800,350000000.0,,84836.143,138921.375,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",3/2
Hg,1,Hg I,184.94994,184.94994,184.949946,vacuum,5000.0,5000r,746000000.0,A,0.000,54068.6829,5d10.6s2,1S,0,5d10.6s.6p,1P*,1
Hg,2,Hg II,185.0466,185.0466,185.04638,vacuum,5.0,5,29000000.0,,94092.834,148133.339,5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",1/2
