element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ho,2,Ho II,339.898,339.898,339.8953,air,8100.0,8100c,63500000.0,,0.00,29412.38,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",8
Ho,2,Ho II,347.426,347.426,347.4247,air,5400.0,5400c,48700000.0,,637.40,29412.38,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",8
Ho,2,Ho II,379.675,379.675,379.6748,air,8900.0,8900c,43000000.0,,0.00,26330.85,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,4f11.(4I*<15/2>).6p<1/2>,"(15/2,1/2)",8
Ho,2,Ho II,389.102,389.102,389.094,air,13000.0,13000c,69900000.0,,637.40,26330.85,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,4f11.(4I*<15/2>).6p<1/2>,"(15/2,1/2)",8
Ho,1,Ho I,404.081,404.081,404.0811,air,2700.0,2700,37300000.0,,0.00,24740.52,4f11.6s2,4I*,15/2,4f10.5d.6s2,,13/2
Ho,1,Ho I,404.752,404.752,,air,220.0,220c,162000000.0,,,,,,,,,
Ho,1,Ho I,405.393,405.393,405.3873,air,8100.0,8100,162000000.0,,0.00,24660.80,4f11.6s2,4I*,15/2,4f11.(4I*<15/2>).6s.6p.(1P*<1>),"(15/2,1)",15/2
Ho,1,Ho I,410.384,410.384,410.3796,air,8900.0,8900,155000000.0,,0.00,24360.81,4f11.6s2,4I*,15/2,4f11.(4I*<15/2>).6s.6p.(1P*<1>),"(15/2,1)",17/2
Ho,1,Ho I,410.862,410.862,410.8619,air,2900.0,2900,200000000.0,,5419.70,29751.91,4f11.6s2,4I*,13/2,4f11.(4I*<13/2>).6s.6p.(1P*<1>),"(13/2,1)",13/2
Ho,1,Ho I,412.716,412.716,412.7161,air,4300.0,4300,210000000.0,,5419.70,29642.60,4f11.6s2,4I*,13/2,4f11.(4I*<13/2>).6s.6p.(1P*<1>),"(13/2,1)",15/2
Ho,1,Ho I,416.303,416.303,416.3026,air,8100.0,8100,89700000.0,,0.00,24014.22,4f11.6s2,4I*,15/2,4f11.(4I*<15/2>).6s.6p.(1P*<1>),"(15/2,1)",13/2
Ho,1,Ho I,417.323,417.323,417.3197,air,2500.0,2500,25800000.0,,0.00,23955.69,4f11.6s2,4I*,15/2,4f11.(4I*<13/2>).6s.6p.(3P*<2>),"(13/2,2)",13/2
Ho,1,Ho I,422.704,422.704,422.713,air,2000.0,2000,110000000.0,,5419.70,29069.78,4f11.6s2,4I*,13/2,4f11.(4I*<13/2>).6s.6p.(1P*<1>),"(13/2,1)",11/2
Ho,1,Ho I,425.443,425.443,425.438,air,1300.0,"1300c,w",11500000.0,,0.00,23498.57,4f11.6s2,4I*,15/2,4f11.(4I*<13/2>).6s.6p.(3P*<2>),"(13/2,2)",17/2
Ho,1,Ho I,435.073,435.073,435.073,air,1300.0,1300,8900000.0,,0.00,22978.19,4f11.6s2,4I*,15/2,4f10.(5I<5>).5d<5/2>.6s2,"(5,5/2)",13/2
Ho,1,Ho I,493.901,493.901,493.9013,air,290.0,290,2600000.0,,0.00,20241.31,4f11.6s2,4I*,15/2,4f10.(5I<6>).5d<5/2>.6s2,"(6,5/2)",13/2
Ho,1,Ho I,598.29,598.29,598.285,air,230.0,230c,930000.0,,0.00,16709.82,4f11.6s2,4I*,15/2,4f11.(4I*<15/2>).6s.6p.(3P*<1>),"(15/2,1)",17/2
