element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
I,1,I I,183.0383,183.0383,183.03861,vacuum,60000000.0,60000000,5140000.0,C+,0.0000,54633.2819,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).6s,2[2],5/2
I,1,I I,184.4454,184.4454,184.445236,vacuum,13000000.0,13000000,14000000.0,D,7602.9762,61819.6111,5s2.5p5,2P*,1/2,5s2.5p4.(3P<1>).6s,2[1],3/2
I,1,I I,187.6418,187.6418,187.64156,vacuum,1700000.0,1700000,29000000.0,D,7602.9762,60896.0739,5s2.5p5,2P*,1/2,5s2.5p4.(3P<0>).6s,2[0],1/2
I,1,I I,206.1633,206.1633,206.16329,air,1600000.0,1600000,12600000.0,D,7602.9762,56092.7112,5s2.5p5,2P*,1/2,5s2.5p4.(3P<2>).6s,2[2],3/2
I,1,I I,542.70345,542.70345,542.70325,air,3500.0,3500c,160000.0,E,54633.2819,73054.4376,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(3P<1>).6p,2[1]*,3/2
I,1,I I,576.43164,576.43164,576.43135,air,8500.0,8500d,580000.0,D,54633.2819,71976.5916,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(3P<0>).6p,2[1]*,3/2
I,1,I I,608.24068,608.24068,608.24072,air,18000.0,18000,360000.0,D+,56092.7112,72529.0200,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(3P<1>).6p,2[2]*,5/2
I,1,I I,633.3498,633.3498,633.35136,air,6300.0,6300,1170000.0,E,64906.1234,80690.783,5s2.5p4.(3P<2>).6p,2[2]*,5/2,5s2.5p4.(3P<2>).8d,2[1],3/2
I,1,I I,656.647,656.647,656.64687,air,23000.0,23000,3900000.0,E,65644.3110,80868.991,5s2.5p4.(3P<2>).6p,2[3]*,5/2,5s2.5p4.(3P<2>).8d,2[4],7/2
I,1,I I,658.37265,658.37265,658.3733,air,48000.0,48000,4300000.0,E,66014.8630,81199.620,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(3P<2>).6f,2[4]*,9/2
