element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
In,2,In II,184.236,184.236,184.2372,vacuum,26000.0,26000,3700000.0,D,43350.5817,97628.436,5s.5p,3P*,1,5s.5d,1D,2
In,2,In II,186.289,186.289,186.2904,vacuum,4900.0,4900,4700000.0,D,43350.5817,97030.212,5s.5p,3P*,1,5s.6s,1S,0
In,2,In II,193.05331,193.05331,193.05325,vacuum,25000.0,25000,11000000.0,D+,45829.256,97628.436,5s.5p,3P*,2,5s.5d,1D,2
In,2,In II,193.61876,193.61876,193.618757,vacuum,20000.0,20000,96000000.0,C,42275.995245348,93923.884,5s.5p,3P*,0,5s.6s,3S,1
In,2,In II,196.67087,196.67087,196.670862,vacuum,92000.0,92000,1270000000.0,B+,63038.546,113884.919,5s.5p,1P*,1,5p2,1D,2
In,2,In II,197.732788,197.732788,197.732787,vacuum,32000.0,32000,270000000.0,B,43350.5817,93923.884,5s.5p,3P*,1,5s.6s,3S,1
In,2,In II,199.703,199.703,199.6968,vacuum,240.0,240,15000000.0,D+,97628.436,147704.35,5s.5d,1D,2,5s.10f,1F*,3
In,2,In II,203.979,203.979,203.9748,air,330.0,330,40000000.0,D+,97628.436,146638.37,5s.5d,1D,2,5s.9f,1F*,3
In,2,In II,207.857182,207.857182,207.857186,air,76000.0,76000,420000000.0,B,45829.256,93923.884,5s.5p,3P*,2,5s.6s,3S,1
In,2,In II,210.3891,210.3891,210.3886,air,1700.0,1700,10000000.0,E,97628.436,145144.45,5s.5d,1D,2,5s.8f,1F*,3
In,2,In II,213.564,213.564,213.55898,air,160.0,160,350000.0,E,93923.884,140734.59,5s.6s,3S,1,5s.9p,3P*,1
In,2,In II,216.6876,216.6876,216.6888,air,990.0,990,12000000.0,D+,97628.436,143763.10,5s.5d,1D,2,5s.10p,1P*,1
In,2,In II,216.9548,216.9548,216.9548,air,560.0,560,1700000.0,D+,97628.436,143706.54,5s.5d,1D,2,5s.10p,3P*,1
In,2,In II,219.265,219.265,219.2591,air,70.0,70,3800000.0,D+,102088.72,147682.61,5s.5d,3D,1,5s.10f,3F*,2
In,2,In II,219.6734,,219.6734,air,,,700000.0,D+,102174.69,147682.61,5s.5d,3D,2,5s.10f,3F*,2
In,2,In II,219.6837,,219.6837,air,,,4000000.0,D+,102174.69,147680.47,5s.5d,3D,2,5s.10f,3F*,3
In,2,In II,220.267,220.267,220.2756,air,74.0,74,4400000.0,D+,102308.397,147691.91,5s.5d,3D,3,5s.10f,3F*,4
In,2,In II,220.327,220.327,220.3311,air,80.0,80,490000.0,D+,102308.397,147680.47,5s.5d,3D,3,5s.10f,3F*,3
In,2,In II,220.5279,220.5279,220.5292,air,1000.0,1000,18000000.0,D+,97628.436,142959.77,5s.5d,1D,2,5s.7f,1F*,3
In,1,In I,224.1664,224.1664,224.1665,air,3.0,3,1140000.0,C+,0.000,44595.86,5s2.5p,2P*,1/2,5s2.11s,2S,1/2
In,2,In II,224.531,224.531,224.5208,air,170.0,170,8000000.0,D+,102088.72,146614.22,5s.5d,3D,1,5s.9f,3F*,2
In,2,In II,224.961,224.961,224.9551,air,150.0,150bl*,1500000.0,D+,102174.69,146614.22,5s.5d,3D,2,5s.9f,3F*,2
In,2,In II,224.961,224.961,224.965,air,150.0,150bl*,8000000.0,D+,102174.69,146612.28,5s.5d,3D,2,5s.9f,3F*,3
In,2,In II,225.5787,225.5787,225.5805,air,300.0,300,9000000.0,D+,102308.397,146624.75,5s.5d,3D,3,5s.9f,3F*,4
In,2,In II,225.614,225.614,225.644,air,43.0,43,1000000.0,D+,102308.397,146612.28,5s.5d,3D,3,5s.9f,3F*,3
In,1,In I,227.8196,227.8196,227.8174,air,5.0,5,1810000.0,C+,0.000,43881.26,5s2.5p,2P*,1/2,5s2.10s,2S,1/2
In,2,In II,230.606448,230.606448,230.606448,air,19000.0,19000,2100000.0,B+,0.000000000,43350.5817,5s2,1S,0,5s.5p,3P*,1
In,1,In I,230.686,230.686,230.68442,air,25.0,25,141000.0,C+,0.000,43335.93,5s2.5p,2P*,1/2,5s2.8d,2D,3/2
In,2,In II,231.3217,231.3217,231.32164,air,540.0,540,8000000.0,E,97628.436,140845.00,5s.5d,1D,2,5s.9p,1P*,1
In,2,In II,231.9154,231.9154,231.91418,air,290.0,290,1500000.0,E,97628.436,140734.59,5s.5d,1D,2,5s.9p,3P*,1
