element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ir,2,Ir II,185.2843,185.2843,185.2844,vacuum,1700.0,1700,15000000.0,E,2262.84,56233.93,5d8,3F,4,5d7.(4F<9/2>).6p,"(9/2,3/2)*",4
Ir,2,Ir II,186.2488,186.2488,186.2496,vacuum,5300.0,5300,120000000.0,D+,0.00,53691.38,5d7.(4F).6s,5F,5,5d7.(4F<9/2>).6p,"(9/2,3/2)*",5
Ir,2,Ir II,186.8278,186.8278,186.8277,vacuum,690.0,690,6000000.0,E,0.00,53525.24,5d7.(4F).6s,5F,5,5d7.(4F<7/2>).6p,"(7/2,1/2)*",4
Ir,2,Ir II,194.8072,194.8072,194.8065,vacuum,2000.0,2000,16200000.0,B+,0.00,51333.00,5d7.(4F).6s,5F,5,5d6.6s.(6D<9/2>).6p,"(9/2,1/2)*",5
Ir,2,Ir II,198.7989,198.7989,198.7992,vacuum,3900.0,3900,18700000.0,B+,0.00,50302.01,5d7.(4F).6s,5F,5,5d6.6s.(6D<9/2>).6p,"(9/2,1/2)*",4
Ir,2,Ir II,199.371,199.371,199.3699,vacuum,1100.0,1100d,30000000.0,E,8974.95,59132.98,5d8,1D,2,5d7.(4P<3/2>).6p,"(3/2,1/2)*",2
Ir,2,Ir II,199.7179,199.7179,199.7174,vacuum,2400.0,2400,50000000.0,E,9062.22,59132.98,5d8,3P,1,5d7.(4P<3/2>).6p,"(3/2,1/2)*",2
Ir,2,Ir II,202.2831,202.2831,202.2824,air,2300.0,2300,22500000.0,B+,3090.16,52510.06,5d8,3P,2,5d7.(4F<5/2>).6p,"(5/2,1/2)*",2
Ir,2,Ir II,202.865,202.865,202.8658,air,2100.0,2100,26000000.0,E,4787.92,54065.73,5d7.(4F).6s,5F,4,5d6.6s.(6D<7/2>).6p,"(7/2,1/2)*",3
Ir,2,Ir II,203.1664,203.1664,203.1654,air,280.0,280,9000000.0,E,9927.84,59132.98,5d8,3F,3,5d7.(4P<3/2>).6p,"(3/2,1/2)*",2
Ir,2,Ir II,204.419,204.419,204.4189,air,3900.0,3900,160000000.0,D+,4787.92,53691.38,5d7.(4F).6s,5F,4,5d7.(4F<9/2>).6p,"(9/2,3/2)*",5
Ir,2,Ir II,204.483,204.483,204.4832,air,2500.0,2500,70000000.0,E,3090.16,51978.24,5d8,3P,2,5d7.(4F<3/2>).6p,"(3/2,1/2)*",1
