element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
K,2,K II,199.3007,199.3007,199.2997,vacuum,7.0,7,12300000.0,,179349.2,229524.9,3p5.3d,1D*,2,3p5.(2P*<1/2>).4f,2[5/2],2
K,2,K II,199.3714,199.3714,199.3708,vacuum,15.0,15,4160000.0,,179349.2,229507.0,3p5.3d,1D*,2,3p5.(2P*<1/2>).4f,2[5/2],3
K,2,K II,199.4285,199.4285,199.4284,vacuum,25.0,25,714000000.0,,179349.2,229492.5,3p5.3d,1D*,2,3p5.(2P*<1/2>).4f,2[7/2],3
K,2,K II,199.5557,199.5557,199.5562,vacuum,2.0,2,4850000.0,,179395.8,229507.0,3p5.3d,3D*,3,3p5.(2P*<1/2>).4f,2[5/2],3
K,2,K II,203.4679,203.4679,203.4671,air,5.0,5,88100000.0,,180392.7,229524.9,3p5.3d,3D*,2,3p5.(2P*<1/2>).4f,2[5/2],2
K,2,K II,203.5408,203.5408,203.5413,air,50.0,50,1200000000.0,,180392.7,229507.0,3p5.3d,3D*,2,3p5.(2P*<1/2>).4f,2[5/2],3
K,2,K II,203.6014,203.6014,203.6014,air,10.0,10,389000.0,,180392.7,229492.5,3p5.3d,3D*,2,3p5.(2P*<1/2>).4f,2[7/2],3
K,2,K II,203.7005,203.7005,203.7001,air,45.0,45,674000000.0,,180448.9,229524.9,3p5.3d,3D*,1,3p5.(2P*<1/2>).4f,2[5/2],2
K,2,K II,204.4832,204.4832,204.4823,air,10.0,10,74900000.0,,180618.7,229507.0,3p5.3d,1F*,3,3p5.(2P*<1/2>).4f,2[5/2],3
K,2,K II,204.5283,204.5283,204.5288,air,40.0,40,1800000000.0,,180618.7,229495.9,3p5.3d,1F*,3,3p5.(2P*<1/2>).4f,2[7/2],4
K,2,K II,204.543,204.543,204.543,air,15.0,15,77800000.0,,180618.7,229492.5,3p5.3d,1F*,3,3p5.(2P*<1/2>).4f,2[7/2],3
K,2,K II,207.6798,207.6798,207.6802,air,60.0,60,973000000.0,,179349.2,227484.8,3p5.3d,1D*,2,3p5.(2P*<3/2>).4f,2[7/2],3
K,2,K II,207.8694,207.8694,207.8698,air,70.0,70,1850000000.0,,179395.8,227487.5,3p5.3d,3D*,3,3p5.(2P*<3/2>).4f,2[7/2],4
K,2,K II,208.1885,208.1885,208.1889,air,25.0,25,239000000.0,,179349.2,227367.2,3p5.3d,1D*,2,3p5.(2P*<3/2>).4f,2[5/2],2
K,2,K II,208.2891,208.2891,208.29,air,25.0,25,12600000.0,,179349.2,227343.9,3p5.3d,1D*,2,3p5.(2P*<3/2>).4f,2[5/2],3
K,2,K II,208.3942,208.3942,208.3912,air,15.0,15,3790000.0,,179395.8,227367.2,3p5.3d,3D*,3,3p5.(2P*<3/2>).4f,2[5/2],2
K,2,K II,208.4933,208.4933,208.4925,air,60.0,60,369000000.0,,179395.8,227343.9,3p5.3d,3D*,3,3p5.(2P*<3/2>).4f,2[5/2],3
K,2,K II,208.9855,208.9855,208.9864,air,50.0,50,571000000.0,,179395.8,227230.6,3p5.3d,3D*,3,3p5.(2P*<3/2>).4f,2[9/2],4
K,2,K II,209.4558,209.4558,209.4567,air,4.0,4,22700000.0,,179395.8,227123.2,3p5.3d,3D*,3,3p5.(2P*<3/2>).4f,2[3/2],2
K,2,K II,212.2827,212.2827,212.2827,air,15.0,15,937000.0,,180392.7,227484.8,3p5.3d,3D*,2,3p5.(2P*<3/2>).4f,2[7/2],3
K,2,K II,212.8138,212.8138,212.8142,air,15.0,15,16600000.0,,180392.7,227367.2,3p5.3d,3D*,2,3p5.(2P*<3/2>).4f,2[5/2],2
K,2,K II,212.919,212.919,212.9199,air,40.0,40,461000000.0,,180392.7,227343.9,3p5.3d,3D*,2,3p5.(2P*<3/2>).4f,2[5/2],3
K,2,K II,213.0687,213.0687,213.0692,air,50.0,50,400000000.0,,180448.9,227367.2,3p5.3d,3D*,1,3p5.(2P*<3/2>).4f,2[5/2],2
K,2,K II,213.2947,213.2947,213.2942,air,10.0,10,51200000.0,,180618.7,227487.5,3p5.3d,1F*,3,3p5.(2P*<3/2>).4f,2[7/2],4
K,2,K II,213.3061,213.3061,213.3065,air,10.0,10,109000000.0,,180618.7,227484.8,3p5.3d,1F*,3,3p5.(2P*<3/2>).4f,2[7/2],3
K,2,K II,213.8427,213.8427,213.8432,air,1.0,1,10600000.0,,180618.7,227367.2,3p5.3d,1F*,3,3p5.(2P*<3/2>).4f,2[5/2],2
K,2,K II,213.9246,213.9246,213.9256,air,20.0,20,164000000.0,,180392.7,227123.2,3p5.3d,3D*,2,3p5.(2P*<3/2>).4f,2[3/2],2
K,2,K II,213.9494,213.9494,213.9498,air,10.0,10,39800000.0,,180618.7,227343.9,3p5.3d,1F*,3,3p5.(2P*<3/2>).4f,2[5/2],3
K,2,K II,214.0277,214.0277,214.0277,air,7.0,7,16200000.0,,180392.7,227100.9,3p5.3d,3D*,2,3p5.(2P*<3/2>).4f,2[3/2],1
K,2,K II,214.1823,214.1823,214.1832,air,5.0,5,20300000.0,,180448.9,227123.2,3p5.3d,3D*,1,3p5.(2P*<3/2>).4f,2[3/2],2
K,2,K II,214.286,214.286,214.2856,air,15.0,15,86900000.0,,180448.9,227100.9,3p5.3d,3D*,1,3p5.(2P*<3/2>).4f,2[3/2],1
K,2,K II,214.4699,214.4699,214.4699,air,50.0,50,690000000.0,,180618.7,227230.6,3p5.3d,1F*,3,3p5.(2P*<3/2>).4f,2[9/2],4
K,2,K II,214.9667,214.9667,214.9653,air,0.0,0,2990000.0,,180618.7,227123.2,3p5.3d,1F*,3,3p5.(2P*<3/2>).4f,2[3/2],2
K,3,K III,255.002,255.002,255.001,air,6.0,6,158000000.0,,207421.9,246625.6,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,4S*,3/2
K,3,K III,263.511,263.511,263.511,air,5.0,5,129000000.0,,208687.8,246625.6,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,4S*,3/2
K,3,K III,268.99,268.99,268.996,air,5.0,5,74800000.0,,209461.3,246625.6,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,4S*,3/2
K,2,K II,277.789,277.789,277.7884,air,2.0,2,28200000.0,,183204.1,219192.1,3p5.4p,3S,1,3p5.4d,3D*,2
K,3,K III,280.04,280.04,280.04,air,3.0,3,4970000.0,,207421.9,243120.6,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,2D*,5/2
K,3,K III,287.735,287.735,287.74,air,1.0,1,4050000.0,,207421.9,242165.3,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,4D*,3/2
K,3,K III,290.336,290.336,290.336,air,4.0,4,13300000.0,,208687.8,243120.6,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,2D*,5/2
K,1,K I,292.75309,,292.75309,air,,,815.0,C+,0.0000,34148.4861,3p6.4s,2S,1/2,3p6.13p,2P*,3/2
K,1,K I,292.75701,,292.75701,air,,,469.0,C+,0.0000,34148.0284,3p6.4s,2S,1/2,3p6.13p,2P*,1/2
K,3,K III,293.845,293.845,293.845,air,5.0,5,42400000.0,,207421.9,241443.5,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,4D*,5/2
K,1,K I,294.26696,,294.26696,air,,,1130.0,C+,0.0000,33972.8148,3p6.4s,2S,1/2,3p6.12p,2P*,3/2
K,1,K I,294.27223,,294.27223,air,,,682.0,C+,0.0000,33972.2064,3p6.4s,2S,1/2,3p6.12p,2P*,1/2
K,3,K III,295.433,295.433,295.432,air,3.0,3,30000000.0,,208687.8,242526.7,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,4D*,1/2
K,1,K I,296.32104,,296.32104,air,,,1730.0,C+,0.0000,33737.3284,3p6.4s,2S,1/2,3p6.11p,2P*,3/2
K,1,K I,296.32833,,296.32833,air,,,1100.0,C+,0.0000,33736.4979,3p6.4s,2S,1/2,3p6.11p,2P*,1/2
K,3,K III,298.62,298.62,298.621,air,5.0,5,118000000.0,,208687.8,242165.3,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,4D*,3/2
K,1,K I,299.2108,299.2108,299.21179,air,,a,3160.0,C+,0.0000,33411.3986,3p6.4s,2S,1/2,3p6.10p,2P*,3/2
K,1,K I,299.2215,299.2215,299.22225,air,,a,2120.0,C+,0.0000,33410.2306,3p6.4s,2S,1/2,3p6.10p,2P*,1/2
K,3,K III,299.242,299.242,299.242,air,6.0,6,251000000.0,,207421.9,240829.9,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,4D*,7/2
K,3,K III,302.343,302.343,302.343,air,3.0,3,213000000.0,,209461.3,242526.7,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,4D*,1/2
K,1,K I,303.4751,303.4751,303.47619,air,,a,6740.0,B,0.0000,32941.9262,3p6.4s,2S,1/2,3p6.9p,2P*,3/2
K,1,K I,303.4911,303.4911,303.49207,air,,a,4780.0,C+,0.0000,32940.2030,3p6.4s,2S,1/2,3p6.9p,2P*,1/2
K,2,K II,304.716,304.716,304.7123,air,2.0,2,19200000.0,,186383.8,219192.1,3p5.4p,3D,3,3p5.4d,3D*,2
K,3,K III,305.207,305.207,305.202,air,6.0,6,185000000.0,,208687.8,241443.5,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,4D*,5/2
K,3,K III,305.684,305.684,305.684,air,5.0,5,118000000.0,,209461.3,242165.3,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,4D*,3/2
K,3,K III,306.125,306.125,306.125,air,3.0,3,131000000.0,,212725.4,245382.3,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(3P).4p,2P*,1/2
K,2,K II,306.218,306.218,306.2141,air,5.0,5,882000000.0,,183204.1,215851.5,3p5.4p,3S,1,3p5.4d,3P*,2
K,2,K II,307.5,307.5,307.5017,air,3.0,3,43000000.0,,186681.4,219192.1,3p5.4p,3D,2,3p5.4d,3D*,2
K,1,K I,310.1791,310.1791,310.1789,air,,a,16200.0,B+,0.0000,32230.11,3p6.4s,2S,1/2,3p6.8p,2P*,3/2
K,1,K I,310.2051,310.2051,310.2046,air,,a,12200.0,C+,0.0000,32227.44,3p6.4s,2S,1/2,3p6.8p,2P*,1/2
K,2,K II,310.5,310.5,310.4998,air,6.0,6,497000000.0,,183204.1,215400.9,3p5.4p,3S,1,3p5.4d,3P*,1
K,2,K II,314.275,314.275,314.2706,air,2.0,2,198000000.0,,183204.1,215014.6,3p5.4p,3S,1,3p5.(2P*<1/2>).5s,2[1/2]*,1
K,2,K II,315.715,315.715,315.7137,air,2.0,2,27300000.0,,187527.0,219192.1,3p5.4p,3D,1,3p5.4d,3D*,2
K,2,K II,317.181,317.181,317.1812,air,2.0,2,109000000.0,,183204.1,214722.7,3p5.4p,3S,1,3p5.(2P*<1/2>).5s,2[1/2]*,0
