element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Kr,1,Kr I,349.59897,349.59897,349.598894,air,10.0,10,17700.0,C,79971.7417,108567.7689,4s2.4p5.(2P*<3/2>).5s,2[3/2]*,2,4s2.4p5.(2P*<1/2>).6p,2[3/2],2
Kr,1,Kr I,350.25537,350.25537,350.255262,air,20.0,20,230000.0,D+,79971.7417,108514.1824,4s2.4p5.(2P*<3/2>).5s,2[3/2]*,2,4s2.4p5.(2P*<1/2>).6p,2[1/2],1
Kr,1,Kr I,351.18963,351.18963,351.189443,air,4.0,4,13300.0,C,79971.7417,108438.2603,4s2.4p5.(2P*<3/2>).5s,2[3/2]*,2,4s2.4p5.(2P*<1/2>).6p,2[3/2],1
Kr,1,Kr I,361.54749,361.54749,361.547453,air,20.0,20,114000.0,C,80916.7680,108567.7689,4s2.4p5.(2P*<3/2>).5s,2[3/2]*,1,4s2.4p5.(2P*<1/2>).6p,2[3/2],2
Kr,1,Kr I,362.253,362.253,362.249497,air,1.0,1,4000.0,D,80916.7680,108514.1824,4s2.4p5.(2P*<3/2>).5s,2[3/2]*,1,4s2.4p5.(2P*<1/2>).6p,2[1/2],1
Kr,1,Kr I,363.24896,363.24896,363.248842,air,4.0,4,9700.0,C,80916.7680,108438.2603,4s2.4p5.(2P*<3/2>).5s,2[3/2]*,1,4s2.4p5.(2P*<1/2>).6p,2[3/2],1
Kr,1,Kr I,366.53254,366.53254,366.53244,air,80.0,80,2330000.0,C,79971.7417,107246.688,4s2.4p5.(2P*<3/2>).5s,2[3/2]*,2,4s2.4p5.(2P*<3/2>).7p,2[3/2],2
Kr,1,Kr I,377.34238,377.34238,377.3423,air,50.0,50,1980000.0,C,80916.7680,107410.379,4s2.4p5.(2P*<3/2>).5s,2[3/2]*,1,4s2.4p5.(2P*<3/2>).7p,2[1/2],0
Kr,2,Kr II,425.05798,425.05798,425.058,air,150.0,150,12000000.0,D,118474.359,141993.940,4s2.4p4.(3P).5s,2P,3/2,4s2.4p4.(3P).5p,2D*,3/2
Kr,1,Kr I,427.396943,427.396943,427.39694,air,1000.0,1000,1990000.0,C+,79971.7417,103362.6124,4s2.4p5.(2P*<3/2>).5s,2[3/2]*,2,4s2.4p5.(2P*<3/2>).6p,2[3/2],2
Kr,1,Kr I,428.296734,428.296734,428.29673,air,100.0,100,177000.0,C+,79971.7417,103313.4726,4s2.4p5.(2P*<3/2>).5s,2[3/2]*,2,4s2.4p5.(2P*<3/2>).6p,2[3/2],1
Kr,1,Kr I,428.648687,428.648687,428.64868,air,40.0,40,1000000.0,C,85191.6166,108514.1824,4s2.4p5.(2P*<1/2>).5s,2[1/2]*,0,4s2.4p5.(2P*<1/2>).6p,2[1/2],1
Kr,2,Kr II,429.29233,429.29233,429.2923,air,600.0,600,96000000.0,D,115092.012,138379.610,4s2.4p4.(3P).5s,4P,3/2,4s2.4p4.(3P).5p,4D*,3/2
