element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
La,1,La I,321.581,321.581,321.581,air,35.0,35,26000000.0,C+,1053.164,32140.55,5d.6s2,2D,5/2,,*,7/2
La,1,La I,334.223,334.223,334.223,air,95.0,95,54000000.0,B,1053.164,30964.71,5d.6s2,2D,5/2,,*,7/2
La,1,La I,338.8607,,338.8607,air,,,10100000.0,C+,0.000,29502.18&dagger;,5d.6s2,2D,3/2,4f.5d.(3D*).6s,*,5/2
La,1,La I,340.4519,,340.4519,air,,,14000000.0,B,1053.164,30417.46&dagger;,5d.6s2,2D,5/2,4f.5d.(3P*).6s,4P*,3/2
La,1,La I,346.118,346.118,346.1184,air,65.0,65,19600000.0,C+,1053.164,29936.74&dagger;,5d.6s2,2D,5/2,4f.5d.(3P*).6s,*,3/2
La,1,La I,351.407,351.407,351.4055,air,45.0,45,17500000.0,C+,1053.164,29502.18&dagger;,5d.6s2,2D,5/2,4f.5d.(3D*).6s,*,5/2
La,1,La I,357.443,357.443,357.4425,air,200.0,200,95000000.0,B+,0.000,27968.54,5d.6s2,2D,3/2,4f.5d.(3D*).6s,*,3/2
La,1,La I,361.308,361.308,361.3074,air,75.0,75,15700000.0,B,0.000,27669.37,5d.6s2,2D,3/2,4f.5d.(3F*).6s,2F*,5/2
La,2,La II,362.883,362.883,362.8822,air,320.0,320,4000000.0,C+,1016.10,28565.40,5d2,a 3F,3,5d.6p,x 3F*,4
La,1,La I,363.667,363.667,363.6661,air,35.0,35,7200000.0,B,1053.164,28543.08,5d.6s2,2D,5/2,4f.5d.(3F*).6s,2F*,7/2
La,1,La I,364.153,364.153,364.1519,air,170.0,170u,91000000.0,B+,1053.164,28506.41,5d.6s2,2D,5/2,5d.6s.(3D).6p,*,5/2
La,2,La II,364.542,364.542,364.5414,air,1000.0,1000,43000000.0,B,0.00,27423.91,5d2,a 3F,2,5d.6p,*,1
La,1,La I,364.953,364.953,364.9522,air,90.0,90,18800000.0,B,0.000,27393.04,5d.6s2,2D,3/2,5d2.(1D).6p,*,5/2
La,2,La II,366.208,366.208,366.2075,air,170.0,170,3000000.0,C,1016.10,28315.25,5d2,a 3F,3,5d.6p,y 3D*,3
La,1,La I,367.202,367.202,367.2014,air,17.0,17,12600000.0,C+,0.000,27225.26,5d.6s2,2D,3/2,5d2.(3P).6p,2P*,3/2
