element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Li,3,Li III,208.192538,,208.192538,air,,,475410000.0,AA,(877919.12067),(925936.28876),3p,2P*,1/2,4d,2D,3/2
Li,3,Li III,208.195216,,208.195216,air,,,248400000.0,AA,(877919.74441),(925936.294951),3s,2S,1/2,4p,2P*,3/2
Li,3,Li III,208.207444,,208.207444,air,,,49608000.0,AA,(877919.12067),(925932.85143),3p,2P*,1/2,4s,2S,1/2
Li,3,Li III,208.211294,,208.211294,air,,,248530000.0,AA,(877919.74441),(925932.587659),3s,2S,1/2,4p,2P*,1/2
Li,3,Li III,208.225239,,208.225239,air,,,1043200000.0,AA,(877927.8939309),(925937.52206),3d,2D,3/2,4f,2F*,5/2
Li,3,Li III,208.225292,,208.225292,air,,,570490000.0,AA,(877927.908420),(925937.52429),3p,2P*,3/2,4d,2D,5/2
Li,3,Li III,208.230562,,208.230562,air,,,2817500.0,AA,(877927.8939309),(925936.294951),3d,2D,3/2,4p,2P*,3/2
Li,3,Li III,208.230652,,208.230652,air,,,95088000.0,AA,(877927.908420),(925936.28876),3p,2P*,3/2,4d,2D,3/2
Li,3,Li III,208.235263,,208.235263,air,,,1117600000.0,AA,(877930.8225495),(925938.13979),3d,2D,5/2,4f,2F*,7/2
Li,3,Li III,208.237943,,208.237943,air,,,74511000.0,AA,(877930.8225495),(925937.52206),3d,2D,5/2,4f,2F*,5/2
Li,3,Li III,208.243267,,208.243267,air,,,25368000.0,AA,(877930.8225495),(925936.294951),3d,2D,5/2,4p,2P*,3/2
Li,3,Li III,208.245564,,208.245564,air,,,99306000.0,AA,(877927.908420),(925932.85143),3p,2P*,3/2,4s,2S,1/2
Li,3,Li III,208.246645,,208.246645,air,,,28214000.0,AA,(877927.8939309),(925932.587659),3d,2D,3/2,4p,2P*,1/2
Li,2,Li II,232.984,232.984,232.9801,air,,*,11758000.0,AAA,[554753.58],[597662.53],1s.3s,3S,1,1s.6p,3P*,2
Li,2,Li II,232.984,232.984,232.9838,air,,*,11758000.0,AAA,[554753.58],[597661.86],1s.3s,3S,1,1s.6p,3P*,1
Li,2,Li II,232.984,232.984,232.9858,air,,*,11758000.0,AAA,[554753.58],[597661.48],1s.3s,3S,1,1s.6p,3P*,0
Li,1,Li I,233.394,233.394,233.3937,air,,*,109000.0,B',0.00,42832.92,1s2.2s,2S,1/2,1s2.13p,2P*,3/2
Li,1,Li I,233.394,233.394,233.3937,air,,*,109000.0,B',0.00,42832.92,1s2.2s,2S,1/2,1s2.13p,2P*,1/2
