element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Lu,2,Lu II,219.554,219.554,219.5556,air,1700.0,1700w,71400000.0,,0.00,45532.33,6s2,1S,0,5d.6p,3D*,1
Lu,2,Lu II,261.542,261.542,261.5412,air,18000.0,18000,453000000.0,,0.00,38223.49,6s2,1S,0,6s.6p,1P*,1
Lu,1,Lu I,272.895,272.895,272.8944,air,480.0,480h,23200000.0,B,0.00,36633.36,5d.6s2,2D,3/2,6s2.5f,2F*,5/2
Lu,2,Lu II,275.417,275.417,275.4168,air,3600.0,3600,92000000.0,,12435.32,48733.19,5d.6s,3D,2,5d.6p,3D*,3
Lu,1,Lu I,288.514,288.514,288.514,air,570.0,570h,23100000.0,B,1993.92,36644.12,5d.6s2,2D,5/2,6s2.5f,2F*,7/2
Lu,2,Lu II,289.484,289.484,289.4839,air,6300.0,6300,166000000.0,,14199.08,48733.19,5d.6s,3D,3,5d.6p,3D*,3
Lu,1,Lu I,290.305,290.305,290.3046,air,300.0,300,7900000.0,B+,0.00,34436.49,5d.6s2,2D,3/2,5d.6s.(3D).6p,2P*,3/2
Lu,2,Lu II,291.139,291.139,291.1394,air,9000.0,9000,242000000.0,,14199.08,48536.83,5d.6s,3D,3,5d.6p,3F*,4
Lu,1,Lu I,298.927,298.927,298.9281,air,1800.0,1800,128000000.0,B+,0.00,33443.10,5d.6s2,2D,3/2,5d.6s.(1D).6p,2P*,1/2
Lu,2,Lu II,307.76,307.76,307.7605,air,7500.0,7500,124000000.0,,12435.32,44918.68,5d.6s,3D,2,5d.6p,3F*,3
Lu,1,Lu I,308.011,308.011,308.0133,air,390.0,390,7200000.0,B,0.00,32456.70,5d.6s2,2D,3/2,5d.6s.(1D).6p,2D*,5/2
Lu,1,Lu I,308.147,308.147,308.1475,air,5100.0,5100h,262000000.0,B+,1993.92,34436.49,5d.6s2,2D,5/2,5d.6s.(3D).6p,2P*,3/2
Lu,1,Lu I,311.843,311.843,311.8432,air,3000.0,3000,203000000.0,B+,0.00,32058.10,5d.6s2,2D,3/2,5d.6s.(3D).6p,2P*,1/2
Lu,1,Lu I,317.136,317.136,317.1366,air,2400.0,2400,66000000.0,B+,0.00,31523.03,5d.6s2,2D,3/2,5d.6s.(1D).6p,2P*,3/2
Lu,2,Lu II,325.431,325.431,325.4312,air,4800.0,4800,60000000.0,,14199.08,44918.68,5d.6s,3D,3,5d.6p,3F*,3
Lu,1,Lu I,327.897,327.897,327.8967,air,3800.0,3800,100000000.0,B+,0.00,30488.62,5d.6s2,2D,3/2,6s2.7p,2P*,3/2
Lu,1,Lu I,328.174,328.174,328.1749,air,7600.0,7600,305000000.0,B+,1993.92,32456.70,5d.6s2,2D,5/2,5d.6s.(1D).6p,2D*,5/2
Lu,1,Lu I,331.211,331.211,331.211,air,6200.0,6200,185000000.0,B+,0.00,30183.55,5d.6s2,2D,3/2,5d.6s.(3D).6p,2F*,5/2
Lu,1,Lu I,335.956,335.956,335.956,air,7600.0,7600,244000000.0,B+,1993.92,31751.17,5d.6s2,2D,5/2,5d.6s.(3D).6p,2F*,7/2
Lu,1,Lu I,337.65,337.65,337.6495,air,6200.0,6200,168000000.0,B+,0.00,29608.01,5d.6s2,2D,3/2,5d.6s.(1D).6p,2D*,3/2
Lu,1,Lu I,338.55,338.55,338.5517,air,950.0,950,50000000.0,B+,1993.92,31523.03,5d.6s2,2D,5/2,5d.6s.(1D).6p,2P*,3/2
Lu,1,Lu I,339.682,339.682,339.6797,air,1400.0,1400,103000000.0,B+,0.00,29431.05,5d.6s2,2D,3/2,6s2.7p,2P*,1/2
Lu,2,Lu II,350.739,350.739,350.738,air,8300.0,8300c,12500000.0,,0.00,28503.16,6s2,1S,0,6s.6p,3P*,1
Lu,1,Lu I,350.842,350.842,350.8421,air,1600.0,1600,65000000.0,B+,1993.92,30488.62,5d.6s2,2D,5/2,6s2.7p,2P*,3/2
Lu,1,Lu I,356.784,356.784,356.7847,air,4800.0,4800,69000000.0,B+,0.00,28020.11,5d.6s2,2D,3/2,5d.6s.(1D).6p,2F*,5/2
Lu,1,Lu I,362.031,362.031,362.0307,air,170.0,170,1100000.0,D,1993.92,29608.01,5d.6s2,2D,5/2,5d.6s.(1D).6p,2D*,3/2
Lu,1,Lu I,363.625,363.625,363.625,air,680.0,680,6400000.0,B+,1993.92,29486.94,5d.6s2,2D,5/2,5d.6s.(1D).6p,2F*,7/2
Lu,1,Lu I,364.777,364.777,364.7782,air,2600.0,2600,92000000.0,B+,4136.13,31542.24,6s2.6p,2P*,1/2,6s2.6d,2D,3/2
Lu,1,Lu I,384.118,384.118,384.1194,air,2700.0,2700,26500000.0,B+,1993.92,28020.11,5d.6s2,2D,5/2,5d.6s.(1D).6p,2F*,5/2
Lu,1,Lu I,396.846,396.846,396.8461,air,480.0,480,2210000.0,B+,0.00,25191.56,5d.6s2,2D,3/2,5d.6s.(3D).6p,4P*,5/2
Lu,1,Lu I,405.445,405.445,405.4451,air,670.0,670,20100000.0,B+,4136.13,28793.42,6s2.6p,2P*,1/2,5d2.(3P).6s,2P,1/2
Lu,1,Lu I,411.267,411.267,411.2696,air,95.0,95h,430000.0,C+,0.00,24308.09,5d.6s2,2D,3/2,5d.6s.(3D).6p,4P*,3/2
Lu,1,Lu I,412.473,412.473,412.4724,air,3100.0,3100,89000000.0,C+,7476.39,31713.60,6s2.6p,2P*,3/2,6s2.6d,2D,5/2
Lu,1,Lu I,415.408,415.408,415.4094,air,460.0,460,16800000.0,B+,7476.39,31542.24,6s2.6p,2P*,3/2,6s2.6d,2D,3/2
Lu,1,Lu I,430.957,430.957,430.957,air,150.0,150,660000.0,B+,1993.92,25191.56,5d.6s2,2D,5/2,5d.6s.(3D).6p,4P*,5/2
Lu,1,Lu I,448.015,448.015,448.02,air,19.0,19,88000.0,C+,1993.92,24308.09,5d.6s2,2D,5/2,5d.6s.(3D).6p,4P*,3/2
Lu,1,Lu I,449.885,449.885,449.8848,air,60.0,60h,128000.0,B+,0.00,22221.68,5d.6s2,2D,3/2,5d.6s.(3D).6p,4D*,5/2
Lu,1,Lu I,451.857,451.857,451.8556,air,3300.0,3300,22600000.0,B+,0.00,22124.76,5d.6s2,2D,3/2,5d.6s.(3D).6p,2D*,3/2
Lu,1,Lu I,465.802,465.802,465.8011,air,1000.0,1000,3150000.0,B+,0.00,21462.38,5d.6s2,2D,3/2,5d.6s.(3D).6p,2D*,5/2
Lu,1,Lu I,468.977,468.977,468.977,air,44.0,44,1320000.0,C+,7476.39,28793.42,6s2.6p,2P*,3/2,5d2.(3P).6s,2P,1/2
Lu,1,Lu I,471.67,471.67,471.6692,air,30.0,30,113000.0,C+,0.00,21195.37,5d.6s2,2D,3/2,5d.6s.(3D).6p,4D*,3/2
Lu,1,Lu I,481.505,481.505,481.5037,air,85.0,85,900000.0,B+,0.00,20762.47,5d.6s2,2D,3/2,5d.6s.(3D).6p,4D*,1/2
Lu,1,Lu I,494.234,494.234,494.232,air,180.0,180,970000.0,B+,1993.92,22221.68,5d.6s2,2D,5/2,5d.6s.(3D).6p,4D*,5/2
Lu,1,Lu I,496.613,496.613,496.612,air,5.0,5,33000.0,C+,1993.92,22124.76,5d.6s2,2D,5/2,5d.6s.(3D).6p,2D*,3/2
Lu,1,Lu I,500.114,500.114,500.114,air,800.0,800,32000000.0,B+,4136.13,24125.99,6s2.6p,2P*,1/2,6s2.7s,2S,1/2
Lu,1,Lu I,513.509,513.509,513.508,air,2700.0,2700,9100000.0,B+,1993.92,21462.38,5d.6s2,2D,5/2,5d.6s.(3D).6p,2D*,5/2
Lu,1,Lu I,520.647,520.647,520.649,air,90.0,90,250000.0,C+,1993.92,21195.37,5d.6s2,2D,5/2,5d.6s.(3D).6p,4D*,3/2
Lu,1,Lu I,540.257,540.257,540.257,air,500.0,500,1200000.0,B+,0.00,18504.58,5d.6s2,2D,3/2,5d.6s.(3D).6p,4F*,5/2
Lu,1,Lu I,573.655,573.655,573.654,air,550.0,550,1730000.0,B+,0.00,17427.28,5d.6s2,2D,3/2,5d.6s.(3D).6p,4F*,3/2
Lu,1,Lu I,600.452,600.452,600.449,air,1400.0,1400,49000000.0,B+,7476.39,24125.99,6s2.6p,2P*,3/2,6s2.7s,2S,1/2
Lu,1,Lu I,605.503,605.503,605.502,air,440.0,440,920000.0,B+,1993.92,18504.58,5d.6s2,2D,5/2,5d.6s.(3D).6p,4F*,5/2
Lu,2,Lu II,622.187,622.187,622.189,air,2100.0,2100,9900000.0,,12435.32,28503.16,5d.6s,3D,2,6s.6p,3P*,1
Lu,1,Lu I,647.767,647.767,647.768,air,29.0,29,72000.0,B,1993.92,17427.28,5d.6s2,2D,5/2,5d.6s.(3D).6p,4F*,3/2
