element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Mg,3,Mg III,180.0662,180.0662,180.065,vacuum,15.0,15,821000000.0,A,477435.7,532971.2,2s2.2p5.3p,1D,2,2s2.2p5.3d,1F*,3
Mg,3,Mg III,180.3087,180.3087,180.3101,vacuum,2.0,2,10300000.0,C+,475502.9,530962.9,2s2.2p5.3p,3D,1,2s2.2p5.3d,3P*,2
Mg,3,Mg III,180.663,,180.663,vacuum,,,4420000.0,C,478846.1,534197.7,2s2.2p5.3p,3P,2,2s2.2p5.3d,3D*,1
Mg,3,Mg III,180.764,,180.764,vacuum,,,4620000.0,C,479456.0,534776.9,2s2.2p5.3p,3P,1,2s2.2p5.3d,1D*,2
Mg,3,Mg III,180.865,,180.865,vacuum,,,85500.0,E,477435.7,532725.7,2s2.2p5.3p,1D,2,2s2.2p5.3d,3F*,2
Mg,3,Mg III,182.0421,182.0421,182.0419,vacuum,5.0,5,298000000.0,B+,479265.3,534197.7,2s2.2p5.3p,3P,0,2s2.2p5.3d,3D*,1
Mg,3,Mg III,182.0896,182.0896,182.0907,vacuum,1.0,1,3050000.0,C,475502.9,530420.6,2s2.2p5.3p,3D,1,2s2.2p5.3d,3P*,1
Mg,3,Mg III,182.675,182.675,182.6761,vacuum,1.0,1,13200000.0,C,479456.0,534197.7,2s2.2p5.3p,3P,1,2s2.2p5.3d,3D*,1
Mg,1,Mg I,182.7934,182.7934,182.79351,vacuum,,"g,a",16000000.0,B,0.000,54706.536,2p6.3s2,1S,0,3s.5p,1P*,1
Mg,3,Mg III,182.8974,182.8974,182.8979,vacuum,1.0,1,49700000.0,C+,475502.9,530178.2,2s2.2p5.3p,3D,1,2s2.2p5.3d,3P*,0
Mg,3,Mg III,183.8336,183.8336,183.8323,vacuum,4.0,4,109000000.0,B,477435.7,531833.1,2s2.2p5.3p,1D,2,2s2.2p5.3d,3F*,3
Mg,3,Mg III,183.9878,183.9878,183.9886,vacuum,3.0,3,45500000.0,C+,478374.5,532725.7,2s2.2p5.3p,1P,1,2s2.2p5.3d,3F*,2
Mg,3,Mg III,184.7561,184.7561,184.7572,vacuum,1.0,1,3740000.0,C,478846.1,532971.2,2s2.2p5.3p,3P,2,2s2.2p5.3d,1F*,3
Mg,3,Mg III,185.8186,185.8186,185.8194,vacuum,13.0,13,128000000.0,B,425640.3,479456.0,2s2.2p5.3s,3P*,2,2s2.2p5.3p,3P,1
Mg,3,Mg III,186.8225,186.8225,186.8209,vacuum,7.0,7,194000000.0,B+,477435.7,530962.9,2s2.2p5.3p,1D,2,2s2.2p5.3d,3P*,2
Mg,3,Mg III,187.9492,187.9492,187.9494,vacuum,12.0,12,176000000.0,B+,425640.3,478846.1,2s2.2p5.3s,3P*,2,2s2.2p5.3p,3P,2
Mg,3,Mg III,188.7308,188.7308,188.733,vacuum,4.0,4,75600000.0,B,477435.7,530420.6,2s2.2p5.3p,1D,2,2s2.2p5.3d,3P*,1
Mg,3,Mg III,189.6304,189.6304,189.6303,vacuum,5.0,5,42000000.0,B,425640.3,478374.5,2s2.2p5.3s,3P*,2,2s2.2p5.3p,1P,1
Mg,3,Mg III,190.1572,190.1572,190.156,vacuum,5.0,5*,37800000.0,C+,478374.5,530962.9,2s2.2p5.3p,1P,1,2s2.2p5.3d,3P*,2
Mg,3,Mg III,190.1572,190.1572,190.1578,vacuum,5.0,5*,54700000.0,B,426868.1,479456.0,2s2.2p5.3s,3P*,1,2s2.2p5.3p,3P,1
Mg,3,Mg III,190.85,190.85,190.8499,vacuum,10.0,10,515000000.0,B+,426868.1,479265.3,2s2.2p5.3s,3P*,1,2s2.2p5.3p,3P,0
Mg,3,Mg III,191.8777,191.8777,191.8767,vacuum,5.0,5,198000000.0,B+,478846.1,530962.9,2s2.2p5.3p,3P,2,2s2.2p5.3d,3P*,2
Mg,3,Mg III,192.1374,192.1374,192.1374,vacuum,1.0,1,22600000.0,C,478374.5,530420.6,2s2.2p5.3p,1P,1,2s2.2p5.3d,3P*,1
Mg,3,Mg III,192.3896,192.3896,192.3891,vacuum,12.0,12,137000000.0,B+,426868.1,478846.1,2s2.2p5.3s,3P*,1,2s2.2p5.3p,3P,2
Mg,3,Mg III,193.0374,193.0374,193.0364,vacuum,3.0,3,83000000.0,C+,478374.5,530178.2,2s2.2p5.3p,1P,1,2s2.2p5.3d,3P*,0
Mg,3,Mg III,193.0672,193.0672,193.0673,vacuum,13.0,13,170000000.0,B+,425640.3,477435.7,2s2.2p5.3s,3P*,2,2s2.2p5.3p,1D,2
Mg,3,Mg III,193.7843,193.7843,193.7838,vacuum,11.0,11,146000000.0,B,427852.1,479456.0,2s2.2p5.3s,3P*,0,2s2.2p5.3p,3P,1
Mg,3,Mg III,193.8936,193.8936,193.8943,vacuum,3.0,3,89700000.0,B,478846.1,530420.6,2s2.2p5.3p,3P,2,2s2.2p5.3d,3P*,1
Mg,3,Mg III,194.15,194.15,194.1487,vacuum,4.0,4*,12300000.0,C+,479456.0,530962.9,2s2.2p5.3p,3P,1,2s2.2p5.3d,3P*,2
