element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Mn,2,Mn II,181.3866,181.3866,181.3871,vacuum,30.0,30,260000000.0,D,54938.213,110068.93,3d4.4s2,c 5D,1,3d4.4s.4p,u 5D*,2
Mn,2,Mn II,181.524,181.524,181.5236,vacuum,40.0,40,240000000.0,D,55116.333,110205.6,3d4.4s2,c 5D,2,3d4.4s.4p,u 5D*,3
Mn,2,Mn II,181.6284,181.6284,181.6282,vacuum,25.0,25*,160000000.0,D,55371.693,110429.23,3d4.4s2,c 5D,3,3d4.4s.4p,u 5D*,4
Mn,2,Mn II,181.753,181.753,181.75331,vacuum,150.0,150D*,80000000.0,D,30523.71,85543.34,3d6,a 3H,6,3d5.(2H).4p,w 3G*,5
Mn,2,Mn II,182.2213,182.2213,182.2206,vacuum,30.0,30*,370000000.0,D,55116.333,109994.87,3d4.4s2,c 5D,2,3d4.4s.4p,u 5D*,1
Mn,2,Mn II,182.369,182.369,182.3689,vacuum,30.0,30,340000000.0,D,55371.693,110205.6,3d4.4s2,c 5D,3,3d4.4s.4p,u 5D*,3
Mn,2,Mn II,182.7076,182.7076,182.7077,vacuum,100.0,100,650000000.0,C,55697.014,110429.23,3d4.4s2,c 5D,4,3d4.4s.4p,u 5D*,4
Mn,2,Mn II,182.8251,182.8251,182.8246,vacuum,10.0,10,300000000.0,D,55371.693,110068.93,3d4.4s2,c 5D,3,3d4.4s.4p,u 5D*,2
Mn,2,Mn II,183.457,183.457,183.4573,vacuum,30.0,30,180000000.0,D,55697.014,110205.6,3d4.4s2,c 5D,4,3d4.4s.4p,u 5D*,3
Mn,2,Mn II,183.6508,183.6508,183.6511,vacuum,50.0,50,3300000.0,D+,14593.835,69044.91,3d6,a 5D,3,3d5.(4P).4p,z 3P*,2
Mn,2,Mn II,183.713,183.713,183.71334,vacuum,80.0,80,90000000.0,D,33147.71,87580.34,3d5.(4G).4s,a 3G,5,3d5.(a 2G).4p,u 3F*,4
