element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Mo,1,Mo I,254.8224,254.8224,254.8224,air,330.0,330,16000000.0,B,10768.332,49999.575,4d5.(6S).5s,a 5S,2,4d4.5s.(4D).5p,v 5P*,3
Mo,1,Mo I,256.7049,256.7049,256.70492,air,250.0,250,59000000.0,B,10768.332,49711.894,4d5.(6S).5s,a 5S,2,4d4.5s.(4P).5p,w 5P*,2
Mo,1,Mo I,261.1201,261.1201,261.12016,air,190.0,190,37000000.0,B,12346.280,50631.392,4d4.5s2,a 5D,4,4d4.5s.(4G).5p,w 3G*,5
Mo,1,Mo I,261.3084,261.3084,261.30842,air,290.0,290,85000000.0,B,11454.362,49711.894,4d4.5s2,a 5D,2,4d4.5s.(4P).5p,w 5P*,2
Mo,1,Mo I,261.6786,261.6786,261.67862,air,400.0,400,73000000.0,B,11142.784,49346.196,4d4.5s2,a 5D,1,4d4.5s.(4G).5p,t 5F*,2
Mo,1,Mo I,262.1063,262.1063,262.10631,air,140.0,140,11600000.0,B,11858.498,49999.575,4d4.5s2,a 5D,3,4d4.5s.(4D).5p,v 5P*,3
Mo,1,Mo I,262.8962,262.8962,262.89622,air,80.0,80,28000000.0,B,11142.784,49169.268,4d4.5s2,a 5D,1,,27*,1
Mo,1,Mo I,262.9849,262.9849,262.9849,air,440.0,440,77000000.0,B,11454.362,49468.023,4d4.5s2,a 5D,2,4d4.5s.(4G).5p,t 5F*,3
Mo,1,Mo I,263.1502,263.1502,263.1502,air,65.0,65,25400000.0,B,10965.947,48955.732,4d4.5s2,a 5D,0,,26*,1
Mo,1,Mo I,263.8305,263.8305,263.83048,air,250.0,250,76000000.0,B,11454.362,49346.196,4d4.5s2,a 5D,2,4d4.5s.(4G).5p,t 5F*,2
Mo,1,Mo I,264.0984,264.0984,264.0984,air,410.0,410,120000000.0,B,11858.498,49711.894,4d4.5s2,a 5D,3,4d4.5s.(4P).5p,w 5P*,2
Mo,1,Mo I,264.4362,264.4362,264.4362,air,154.0,154,19600000.0,B,11454.362,49259.406,4d4.5s2,a 5D,2,,28*,3
Mo,1,Mo I,264.9458,264.9458,264.94583,air,640.0,640,98000000.0,B,11858.498,49590.828,4d4.5s2,a 5D,3,4d4.5s.(4G).5p,t 5F*,4
Mo,1,Mo I,265.502,265.502,265.50199,air,560.0,560h,41000000.0,B,12346.280,49999.575,4d4.5s2,a 5D,4,4d4.5s.(4D).5p,v 5P*,3
Mo,1,Mo I,265.811,265.811,265.811,air,290.0,290,64000000.0,B,11858.498,49468.023,4d4.5s2,a 5D,3,4d4.5s.(4G).5p,t 5F*,3
Mo,1,Mo I,266.5093,266.5093,266.50937,air,110.0,110,13200000.0,B,11858.498,49369.475,4d4.5s2,a 5D,3,,29*,4
Mo,1,Mo I,267.9854,267.9854,267.98544,air,1000.0,1000,131000000.0,B+,12346.280,49650.658,4d4.5s2,a 5D,4,4d4.5s.(4G).5p,t 5F*,5
Mo,1,Mo I,268.416,268.416,268.41595,air,389.0,389,42000000.0,B,12346.280,49590.828,4d4.5s2,a 5D,4,4d4.5s.(4G).5p,t 5F*,4
Mo,1,Mo I,270.1026,270.1026,270.10271,air,140.0,140,6900000.0,B,11858.498,48870.471,4d4.5s2,a 5D,3,4d4.5s.(4D).5p,v 5D*,4
Mo,1,Mo I,270.6114,270.6114,270.61144,air,95.0,95,20300000.0,B,11142.784,48085.181,4d4.5s2,a 5D,1,4d4.5s.(4D).5p,v 3D*,2
Mo,1,Mo I,271.0738,271.0738,271.07389,air,65.0,65,15700000.0,B,11142.784,48022.162,4d4.5s2,a 5D,1,4d4.5s.(4D).5p,u 5F*,1
Mo,1,Mo I,272.5146,272.5146,272.51468,air,180.0,180,28000000.0,B,11142.784,47827.191,4d4.5s2,a 5D,1,4d4.5s.(4D).5p,u 5F*,2
Mo,1,Mo I,272.8705,272.8705,272.87046,air,80.0,80,12600000.0,B,11142.784,47779.362,4d4.5s2,a 5D,1,4d4.5s.(4D).5p,v 3D*,1
Mo,1,Mo I,273.3387,273.3387,273.33871,air,250.0,250,29500000.0,B,11454.362,48028.183,4d4.5s2,a 5D,2,4d4.5s.(4D).5p,u 5F*,3
Mo,1,Mo I,274.3065,274.3065,274.30655,air,240.0,240,4300000.0,C+,11142.784,47587.567,4d4.5s2,a 5D,1,,19*,2
Mo,1,Mo I,274.3712,274.3712,274.3712,air,95.0,95,24700000.0,B,10965.947,47402.144,4d4.5s2,a 5D,0,,17*,1
Mo,1,Mo I,274.5384,274.5384,274.53846,air,40.0,40,12900000.0,B,16783.856,53197.855,4d5.(4G).5s,a 5G,6,,70*,5
Mo,1,Mo I,275.1467,275.1467,275.14667,air,320.0,320,25400000.0,B,11858.498,48192.009,4d4.5s2,a 5D,3,4d4.5s.(4D).5p,u 5F*,4
Mo,1,Mo I,275.6256,275.6256,275.62563,air,61.0,61,11800000.0,B,10768.332,47038.709,4d5.(6S).5s,a 5S,2,,10*,1
Mo,1,Mo I,276.1531,276.1531,276.15311,air,190.0,190,20600000.0,B,12346.280,48547.380,4d4.5s2,a 5D,4,4d4.5s.(4D).5p,u 5F*,5
