element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
N,3,N III,180.08,,180.08,vacuum,,,70600000.0,C+,332826.0,388356.8,2s.2p.(3P*).3d,4D*,5/2,2s.2p.(3P*).4f,4D,3/2
N,3,N III,180.164,,180.164,vacuum,,,47000000.0,C+,332804.4,388309.3,2s.2p.(3P*).3d,4D*,3/2,2s.2p.(3P*).4f,4D,5/2
N,3,N III,180.234,,180.234,vacuum,,,115000000.0,C+,332826.0,388309.3,2s.2p.(3P*).3d,4D*,5/2,2s.2p.(3P*).4f,4D,5/2
N,3,N III,180.325,,180.325,vacuum,,,38200000.0,C+,332854.0,388309.3,2s.2p.(3P*).3d,4D*,7/2,2s.2p.(3P*).4f,4D,5/2
N,3,N III,180.353,,180.353,vacuum,,,28600000.0,C+,332826.0,388272.8,2s.2p.(3P*).3d,4D*,5/2,2s.2p.(3P*).4f,4D,7/2
N,3,N III,180.444,,180.444,vacuum,,,172000000.0,C+,332854.0,388272.8,2s.2p.(3P*).3d,4D*,7/2,2s.2p.(3P*).4f,4D,7/2
N,3,N III,180.4486,180.4486,180.449,vacuum,150.0,150,249000000.0,B,245665.4,301082.6,2s2.3p,2P*,1/2,2s2.4s,2S,1/2
N,2,N II,180.524,,180.524,vacuum,,,24800.0,C,109216.6,164610.76,2s.2p3,3P*,1,2s2.2p.3p,1P,1
N,2,N II,180.528,,180.528,vacuum,,,3050.0,C,109217.6,164610.76,2s.2p3,3P*,2,2s2.2p.3p,1P,1
N,2,N II,180.547,,180.547,vacuum,,,4060.0,C,109223.5,164610.76,2s.2p3,3P*,0,2s2.2p.3p,1P,1
N,3,N III,180.5669,180.5669,180.566,vacuum,200.0,200,496000000.0,B,245701.3,301082.6,2s2.3p,2P*,3/2,2s2.4s,2S,1/2
N,3,N III,180.996,,180.996,vacuum,,,21300000.0,B,311690.3,366940,2s2.4p,2P*,1/2,2s2.8d,2D,3/2
N,3,N III,181.078,,181.078,vacuum,,,25500000.0,B,311715.2,366940,2s2.4p,2P*,3/2,2s2.8d,2D,5/2
N,3,N III,181.078,,181.078,vacuum,,,4250000.0,B,311715.2,366940,2s2.4p,2P*,3/2,2s2.8d,2D,3/2
N,3,N III,181.632,,181.632,vacuum,,,1730000.0,B,379300.1,434356.6,2s.2p.(3P*).4p,4P,1/2,2s.2p.(3P*).8d,4P*,1/2
N,3,N III,181.632,,181.632,vacuum,,,4320000.0,B,379300.1,434356.6,2s.2p.(3P*).4p,4P,1/2,2s.2p.(3P*).8d,4P*,3/2
N,3,N III,181.779,,181.779,vacuum,,,1380000.0,B,379344.8,434356.6,2s.2p.(3P*).4p,4P,3/2,2s.2p.(3P*).8d,4P*,3/2
N,3,N III,181.779,,181.779,vacuum,,,8620000.0,B,379344.8,434356.6,2s.2p.(3P*).4p,4P,3/2,2s.2p.(3P*).8d,4P*,1/2
N,3,N III,181.779,,181.779,vacuum,,,3100000.0,B,379344.8,434356.6,2s.2p.(3P*).4p,4P,3/2,2s.2p.(3P*).8d,4P*,5/2
N,3,N III,181.815,,181.815,vacuum,,,8760000.0,B,379300.1,434301.2,2s.2p.(3P*).4p,4P,1/2,2s.2p.(3P*).8d,4D*,3/2
N,3,N III,181.815,,181.815,vacuum,,,17500000.0,B,379300.1,434301.2,2s.2p.(3P*).4p,4P,1/2,2s.2p.(3P*).8d,4D*,1/2
N,3,N III,181.954,,181.954,vacuum,,,7220000.0,B,379397.6,434356.6,2s.2p.(3P*).4p,4P,5/2,2s.2p.(3P*).8d,4P*,5/2
N,3,N III,181.954,,181.954,vacuum,,,4640000.0,B,379397.6,434356.6,2s.2p.(3P*).4p,4P,5/2,2s.2p.(3P*).8d,4P*,3/2
N,3,N III,181.962,,181.962,vacuum,,,14700000.0,B,379344.8,434301.2,2s.2p.(3P*).4p,4P,3/2,2s.2p.(3P*).8d,4D*,5/2
N,3,N III,181.962,,181.962,vacuum,,,11200000.0,B,379344.8,434301.2,2s.2p.(3P*).4p,4P,3/2,2s.2p.(3P*).8d,4D*,3/2
N,3,N III,181.962,,181.962,vacuum,,,3490000.0,B,379344.8,434301.2,2s.2p.(3P*).4p,4P,3/2,2s.2p.(3P*).8d,4D*,1/2
N,3,N III,182.137,,182.137,vacuum,,,20900000.0,B,379397.6,434301.2,2s.2p.(3P*).4p,4P,5/2,2s.2p.(3P*).8d,4D*,7/2
N,3,N III,182.137,,182.137,vacuum,,,6270000.0,B,379397.6,434301.2,2s.2p.(3P*).4p,4P,5/2,2s.2p.(3P*).8d,4D*,5/2
N,3,N III,182.137,,182.137,vacuum,,,1050000.0,B,379397.6,434301.2,2s.2p.(3P*).4p,4P,5/2,2s.2p.(3P*).8d,4D*,3/2
N,2,N II,183.0527,,183.0527,vacuum,,,1310000.0,C,148908.59,203537.66,2s2.2p.3s,3P*,0,2s2.2p.4p,3S,1
N,2,N II,183.1586,,183.1586,vacuum,,,4240000.0,C,148940.17,203537.66,2s2.2p.3s,3P*,1,2s2.2p.4p,3S,1
