element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Na,3,Na III,180.9901,,180.9901,vacuum,,,419000.0,D,411536.38,466788.03,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).3d,2P,3/2
Na,3,Na III,182.3611,,182.3611,vacuum,,,204000.0,D,411951.78,466788.03,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).3d,2P,3/2
Na,3,Na III,183.155,,183.155,vacuum,,,874000.0,D,412189.46,466788.03,2s2.2p4.(3P).3p,4D*,1/2,2s2.2p4.(3P).3d,2P,3/2
Na,3,Na III,183.5031,,183.5031,vacuum,,,10100000.0,C+,440940.20,495435.20,2s2.2p4.(1D).3p,2F*,5/2,2s2.2p4.(1D).3d,2F,7/2
Na,3,Na III,183.5223,183.5223,183.5214,vacuum,10.0,10bl,331000000.0,B+,440940.20,495429.75,2s2.2p4.(1D).3p,2F*,5/2,2s2.2p4.(1D).3d,2F,5/2
Na,3,Na III,183.8122,183.8122,183.8118,vacuum,8.0,8bl,67700000.0,B+,406190.15,460593.62,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).3d,4D,3/2
Na,3,Na III,183.8944,183.8944,183.8927,vacuum,10.0,10,331000000.0,B+,441055.67,495435.20,2s2.2p4.(1D).3p,2F*,7/2,2s2.2p4.(1D).3d,2F,7/2
Na,3,Na III,183.9112,,183.9112,vacuum,,,18600000.0,C+,441055.67,495429.75,2s2.2p4.(1D).3p,2F*,7/2,2s2.2p4.(1D).3d,2F,5/2
Na,3,Na III,184.4362,184.4362,184.4353,vacuum,11.0,11,300000000.0,B+,406190.15,460409.70,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).3d,4D,5/2
Na,3,Na III,184.5149,184.5149,184.5143,vacuum,9.0,9,169000000.0,B+,406550.63,460746.98,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).3d,4D,1/2
Na,3,Na III,184.9564,184.9564,184.9555,vacuum,15.0,15,687000000.0,A,406190.15,460257.21,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).3d,4D,7/2
Na,3,Na III,184.9792,,184.9792,vacuum,,,50900.0,E,411951.78,466011.91,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).3d,2P,1/2
Na,3,Na III,185.0379,185.0379,185.0379,vacuum,12.0,12,437000000.0,B+,406550.63,460593.62,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).3d,4D,3/2
Na,3,Na III,185.2935,,185.2935,vacuum,,,13000000.0,C+,410976.94,464945.37,2s2.2p4.(3P).3p,4D*,7/2,2s2.2p4.(3P).3d,4P,5/2
Na,3,Na III,185.592,185.592,185.5912,vacuum,10.0,10bl,577000000.0,B+,406865.11,460746.98,2s2.2p4.(3P).3p,4P*,1/2,2s2.2p4.(3P).3d,4D,1/2
Na,3,Na III,185.671,185.671,185.6697,vacuum,10.0,10bl,422000000.0,B+,406550.63,460409.70,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).3d,4D,5/2
Na,3,Na III,185.7961,,185.7961,vacuum,,,410000.0,D,412189.46,466011.91,2s2.2p4.(3P).3p,4D*,1/2,2s2.2p4.(3P).3d,2P,1/2
Na,3,Na III,186.061,186.061,186.0615,vacuum,1.0,1,49700000.0,B,440940.20,494685.86,2s2.2p4.(1D).3p,2F*,5/2,2s2.2p4.(1D).3d,2D,3/2
Na,3,Na III,186.1211,186.1211,186.1209,vacuum,10.0,10,234000000.0,B+,406865.11,460593.62,2s2.2p4.(3P).3p,4P*,1/2,2s2.2p4.(3P).3d,4D,3/2
Na,3,Na III,186.3498,,186.3498,vacuum,,,3270000.0,C,440940.20,494602.73,2s2.2p4.(1D).3p,2F*,5/2,2s2.2p4.(1D).3d,2D,5/2
Na,3,Na III,186.7517,186.7517,186.7516,vacuum,1.0,1,43100000.0,B,441055.67,494602.73,2s2.2p4.(1D).3p,2F*,7/2,2s2.2p4.(1D).3d,2D,5/2
Na,3,Na III,186.9807,,186.9807,vacuum,,,937000.0,D,411536.38,465017.83,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).3d,2D,3/2
Na,3,Na III,187.2195,,187.2195,vacuum,,,4180000.0,C,410976.94,464390.17,2s2.2p4.(3P).3p,4D*,7/2,2s2.2p4.(3P).3d,2F,5/2
Na,3,Na III,187.2344,,187.2344,vacuum,,,13200000.0,C,411536.38,464945.37,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).3d,4P,5/2
Na,3,Na III,188.342,,188.342,vacuum,,,10700000.0,C+,411536.38,464631.29,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).3d,4P,3/2
Na,3,Na III,188.4444,,188.4444,vacuum,,,25800000.0,C+,411951.78,465017.83,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).3d,2D,3/2
Na,3,Na III,188.7021,,188.7021,vacuum,,,3550000.0,E,411951.78,464945.37,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).3d,4P,5/2
Na,3,Na III,188.7472,188.7472,188.7472,vacuum,20.0,20bl,1250000000.0,B,462891.04,515871.96,2s2.2p4.(3P).3d,4F,9/2,2s2.2p4.(3P<2>).4f,2[5]*,11/2
Na,3,Na III,189.201,189.201,189.2012,vacuum,1.0,1bl*,22100000.0,C+,411536.38,464390.17,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).3d,2F,5/2
