element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Nb,1,Nb I,243.633,243.633,,air,35.0,35,,,,,,,,,,
Nb,1,Nb I,246.289,246.289,,air,65.0,65,,,,,,,,,,
Nb,1,Nb I,246.673,246.673,,air,35.0,35,,,,,,,,,,
Nb,1,Nb I,246.908,246.908,,air,55.0,55,,,,,,,,,,
Nb,1,Nb I,250.465,250.465,,air,110.0,110,,,,,,,,,,
Nb,1,Nb I,256.541,256.541,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,256.903,256.903,,air,100.0,100,,,,,,,,,,
Nb,1,Nb I,257.874,257.874,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,259.22,259.22,,air,270.0,270,,,,,,,,,,
Nb,1,Nb I,261.648,261.648,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,262.351,262.351,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,262.744,262.744,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,262.849,262.849,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,264.75,264.75,,air,330.0,330,,,,,,,,,,
Nb,1,Nb I,264.952,264.952,,air,240.0,240,,,,,,,,,,
Nb,1,Nb I,265.445,265.445,,air,330.0,330,,,,,,,,,,
Nb,1,Nb I,265.762,265.762,,air,160.0,160,,,,,,,,,,
Nb,1,Nb I,266.829,266.829,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,268.715,268.715,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,274.691,274.691,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,274.885,274.885,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,275.301,275.301,,air,190.0,190,,,,,,,,,,
Nb,1,Nb I,275.861,275.861,,air,280.0,280,,,,,,,,,,
Nb,1,Nb I,277.32,277.32,,air,310.0,310,,,,,,,,,,
Nb,1,Nb I,278.236,278.236,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,283.624,283.624,,air,150.0,150,,,,,,,,,,
Nb,1,Nb I,284.094,284.094,,air,110.0,110,,,,,,,,,,
Nb,1,Nb I,285.145,285.145,,air,110.0,110,,,,,,,,,,
Nb,1,Nb I,286.432,286.432,,air,100.0,100,,,,,,,,,,
Nb,1,Nb I,304.81,304.81,,air,150.0,150,,,,,,,,,,
Nb,1,Nb I,305.309,305.309,,air,110.0,110,,,,,,,,,,
Nb,1,Nb I,311.145,311.145,,air,150.0,150,,,,,,,,,,
Nb,1,Nb I,315.187,315.187,,air,140.0,140,,,,,,,,,,
Nb,1,Nb I,318.749,318.749,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,324.952,324.952,,air,160.0,160,,,,,,,,,,
Nb,1,Nb I,326.459,326.459,,air,160.0,160,,,,,,,,,,
Nb,1,Nb I,327.047,327.047,,air,120.0,120,,,,,,,,,,
Nb,1,Nb I,327.076,327.076,,air,100.0,100,,,,,,,,,,
Nb,1,Nb I,327.207,327.207,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,327.767,327.767,,air,160.0,160,,,,,,,,,,
Nb,1,Nb I,328.566,328.566,,air,230.0,230,,,,,,,,,,
Nb,1,Nb I,328.759,328.759,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,328.792,328.792,,air,160.0,160,,,,,,,,,,
Nb,1,Nb I,329.601,329.601,,air,320.0,320,,,,,,,,,,
Nb,1,Nb I,329.961,329.961,,air,160.0,160,,,,,,,,,,
Nb,1,Nb I,330.483,330.483,,air,120.0,120,,,,,,,,,,
Nb,1,Nb I,330.805,330.805,,air,120.0,120,,,,,,,,,,
Nb,1,Nb I,331.047,331.047,,air,120.0,120,,,,,,,,,,
Nb,1,Nb I,331.26,331.26,,air,400.0,400,,,,,,,,,,
Nb,1,Nb I,331.522,331.522,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,331.898,331.898,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,331.926,331.926,,air,120.0,120,,,,,,,,,,
Nb,1,Nb I,332.662,332.662,,air,240.0,240,,,,,,,,,,
Nb,1,Nb I,332.936,332.936,,air,170.0,170,,,,,,,,,,
Nb,1,Nb I,333.216,333.216,,air,110.0,110,,,,,,,,,,
Nb,1,Nb I,334.197,334.197,,air,1300.0,1300,,,,,,,,,,
Nb,1,Nb I,334.371,334.371,,air,1300.0,1300,,,,,,,,,,
Nb,1,Nb I,334.693,334.693,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,334.906,334.906,,air,1700.0,1700,,,,,,,,,,
Nb,1,Nb I,334.952,334.952,,air,420.0,420,,,,,,,,,,
Nb,1,Nb I,335.474,335.474,,air,340.0,340,,,,,,,,,,
Nb,1,Nb I,335.704,335.704,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,335.842,335.842,,air,1700.0,1700,,,,,,,,,,
Nb,1,Nb I,336.696,336.696,,air,340.0,340,,,,,,,,,,
Nb,1,Nb I,337.133,337.133,,air,170.0,170,,,,,,,,,,
Nb,1,Nb I,337.492,337.492,,air,350.0,350,,,,,,,,,,
Nb,1,Nb I,338.041,338.041,,air,270.0,270,,,,,,,,,,
Nb,1,Nb I,338.086,338.086,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,339.234,339.234,,air,350.0,350,,,,,,,,,,
Nb,1,Nb I,339.593,339.593,,air,170.0,170,,,,,,,,,,
Nb,1,Nb I,339.94,339.94,,air,120.0,120,,,,,,,,,,
Nb,1,Nb I,340.541,340.541,,air,230.0,230,,,,,,,,,,
Nb,1,Nb I,340.613,340.613,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,340.838,340.838,,air,270.0,270,,,,,,,,,,
Nb,1,Nb I,341.597,341.597,,air,180.0,180,,,,,,,,,,
Nb,1,Nb I,342.376,342.376,,air,180.0,180,,,,,,,,,,
Nb,1,Nb I,342.585,342.585,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,342.745,342.745,,air,230.0,230,,,,,,,,,,
Nb,1,Nb I,342.904,342.904,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,346.381,346.381,,air,170.0,170,,,,,,,,,,
Nb,1,Nb I,346.586,346.586,,air,180.0,180,,,,,,,,,,
Nb,1,Nb I,346.944,346.944,,air,130.0,130,,,,,,,,,,
Nb,1,Nb I,347.119,347.119,,air,100.0,100,,,,,,,,,,
Nb,1,Nb I,347.302,347.302,,air,140.0,140,,,,,,,,,,
Nb,1,Nb I,347.869,347.869,,air,290.0,290,,,,,,,,,,
Nb,1,Nb I,349.103,349.103,,air,230.0,230,,,,,,,,,,
Nb,1,Nb I,349.781,349.781,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,349.863,349.863,,air,500.0,500,,,,,,,,,,
Nb,1,Nb I,350.796,350.796,,air,460.0,460,,,,,,,,,,
Nb,1,Nb I,352.006,352.006,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,353.53,353.53,,air,2000.0,2000,,,,,,,,,,
Nb,1,Nb I,353.748,353.748,,air,1300.0,1300,,,,,,,,,,
Nb,1,Nb I,354.402,354.402,,air,500.0,500,,,,,,,,,,
Nb,1,Nb I,354.465,354.465,,air,250.0,250,,,,,,,,,,
Nb,1,Nb I,355.045,355.045,,air,300.0,300,,,,,,,,,,
Nb,1,Nb I,355.452,355.452,,air,250.0,250,,,,,,,,,,
Nb,1,Nb I,355.466,355.466,,air,1000.0,1000,,,,,,,,,,
Nb,1,Nb I,356.35,356.35,,air,630.0,630,,,,,,,,,,
Nb,1,Nb I,356.362,356.362,,air,630.0,630,,,,,,,,,,
Nb,1,Nb I,357.585,357.585,,air,1500.0,1500,,,,,,,,,,
Nb,1,Nb I,357.772,357.772,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,358.027,358.027,,air,5000.0,5000,,,,,,,,,,
Nb,1,Nb I,358.497,358.497,,air,500.0,500,,,,,,,,,,
Nb,1,Nb I,358.911,358.911,,air,750.0,750,,,,,,,,,,
Nb,1,Nb I,358.936,358.936,,air,500.0,500,,,,,,,,,,
Nb,1,Nb I,359.397,359.397,,air,500.0,500,,,,,,,,,,
Nb,1,Nb I,360.256,360.256,,air,500.0,500,,,,,,,,,,
Nb,1,Nb I,362.103,362.103,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,363.933,363.933,,air,200.0,200,,,,,,,,,,
Nb,1,Nb I,364.985,364.985,,air,420.0,420,,,,,,,,,,
Nb,1,Nb I,365.081,365.081,,air,250.0,250,,,,,,,,,,
Nb,1,Nb I,366.037,366.037,,air,630.0,630,,,,,,,,,,
Nb,1,Nb I,366.47,366.47,,air,900.0,900,,,,,,,,,,
Nb,1,Nb I,366.901,366.901,,air,220.0,220,,,,,,,,,,
Nb,1,Nb I,367.478,367.478,,air,270.0,270,,,,,,,,,,
Nb,1,Nb I,369.785,369.785,,air,1500.0,1500,,,,,,,,,,
Nb,1,Nb I,371.134,371.134,,air,330.0,330,,,,,,,,,,
Nb,1,Nb I,371.301,371.301,,air,3300.0,3300,,,,,,,,,,
Nb,1,Nb I,371.699,371.699,,air,480.0,480,,,,,,,,,,
Nb,1,Nb I,372.624,372.624,,air,2700.0,2700,,,,,,,,,,
Nb,1,Nb I,373.842,373.842,,air,270.0,270,,,,,,,,,,
Nb,1,Nb I,373.98,373.98,,air,2700.0,2700,,,,,,,,,,
Nb,1,Nb I,374.178,374.178,,air,270.0,270,,,,,,,,,,
Nb,1,Nb I,374.239,374.239,,air,1700.0,1700,,,,,,,,,,
Nb,1,Nb I,375.318,375.318,,air,250.0,250,,,,,,,,,,
Nb,1,Nb I,375.577,375.577,,air,210.0,210,,,,,,,,,,
Nb,1,Nb I,376.349,376.349,,air,530.0,530,,,,,,,,,,
Nb,1,Nb I,376.508,376.508,,air,350.0,350,,,,,,,,,,
Nb,1,Nb I,376.613,376.613,,air,250.0,250,,,,,,,,,,
Nb,1,Nb I,377.185,377.185,,air,530.0,530,,,,,,,,,,
Nb,1,Nb I,378.101,378.101,,air,870.0,870,,,,,,,,,,
Nb,1,Nb I,378.706,378.706,,air,1700.0,1700,,,,,,,,,,
Nb,1,Nb I,379.015,379.015,,air,1300.0,1300,,,,,,,,,,
Nb,1,Nb I,379.121,379.121,,air,3500.0,3500,,,,,,,,,,
Nb,1,Nb I,379.812,379.812,,air,2700.0,2700,,,,,,,,,,
Nb,1,Nb I,380.13,380.13,,air,270.0,270,,,,,,,,,,
Nb,1,Nb I,380.292,380.292,,air,2700.0,2700,,,,,,,,,,
Nb,1,Nb I,380.388,380.388,,air,670.0,670,,,,,,,,,,
Nb,1,Nb I,380.474,380.474,,air,530.0,530,,,,,,,,,,
Nb,1,Nb I,381.049,381.049,,air,670.0,670,,,,,,,,,,
Nb,1,Nb I,381.103,381.103,,air,530.0,530,,,,,,,,,,
Nb,1,Nb I,381.551,381.551,,air,530.0,530,,,,,,,,,,
Nb,1,Nb I,381.915,381.915,,air,210.0,210,,,,,,,,,,
Nb,1,Nb I,382.488,382.488,,air,670.0,670,,,,,,,,,,
Nb,1,Nb I,383.518,383.518,,air,350.0,350,,,,,,,,,,
Nb,1,Nb I,383.645,383.645,,air,250.0,250,,,,,,,,,,
Nb,1,Nb I,384.59,384.59,,air,210.0,210,,,,,,,,,,
Nb,1,Nb I,385.895,385.895,,air,290.0,290,,,,,,,,,,
Nb,1,Nb I,386.338,386.338,,air,350.0,350,,,,,,,,,,
Nb,1,Nb I,386.792,386.792,,air,270.0,270,,,,,,,,,,
Nb,1,Nb I,387.756,387.756,,air,530.0,530,,,,,,,,,,
