element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Nd,2,Nd II,325.924,325.924,325.92298,air,220.0,220,5200000.0,B,513.330,31186.580,4f4.(5I).6s,6I,9/2,,*,7/2
Nd,2,Nd II,332.827,332.827,332.82613,air,410.0,410,18500000.0,B+,0.000,30037.077,4f4.(5I).6s,6I,7/2,,*,5/2
Nd,2,Nd II,333.4471,333.4471,333.44652,air,290.0,290,7000000.0,B+,1470.105,31451.299,4f4.(5I).6s,6I,11/2,,*,9/2
Nd,2,Nd II,333.9063,333.9063,333.9052,air,290.0,290,8600000.0,B+,513.330,30453.341,4f4.(5I).6s,6I,9/2,,*,7/2
Nd,2,Nd II,336.496,336.496,336.4943,air,270.0,270,7500000.0,B+,1470.105,31179.755,4f4.(5I).6s,6I,11/2,,*,9/2
Nd,2,Nd II,354.335,354.335,354.33442,air,290.0,290,5600000.0,B,0.000,28213.865,4f4.(5I).6s,6I,7/2,4f4.(5I).6p,4H*,7/2
Nd,2,Nd II,355.577,355.577,355.5764,air,200.0,200,4240000.0,B+,2585.460,30700.780,4f4.(5I).6s,6I,13/2,,*,13/2
Nd,2,Nd II,356.075,356.075,356.07183,air,410.0,410,10500000.0,C+,3801.930,31878.132,4f4.(5I).6s,6I,15/2,,*,15/2
Nd,2,Nd II,356.887,356.887,356.88694,air,340.0,340,11300000.0,B+,5085.640,33097.720,4f4.(5I).6s,6I,17/2,,*,17/2
Nd,2,Nd II,358.751,358.751,358.74982,air,470.0,470,9600000.0,B+,1470.105,29336.730,4f4.(5I).6s,6I,11/2,,*,11/2
Nd,2,Nd II,359.259,359.259,359.25786,air,300.0,300,6500000.0,B+,513.330,28340.549,4f4.(5I).6s,6I,9/2,,*,9/2
Nd,2,Nd II,359.802,359.802,359.80206,air,340.0,340,4900000.0,B+,513.330,28298.462,4f4.(5I).6s,6I,9/2,,*,9/2
Nd,2,Nd II,360.091,360.091,360.09045,air,300.0,300,5000000.0,B+,2585.460,30348.340,4f4.(5I).6s,6I,13/2,,*,13/2
Nd,2,Nd II,360.979,360.979,360.978,air,320.0,320,10200000.0,B+,0.000,27694.620,4f4.(5I).6s,6I,7/2,,*,7/2
Nd,2,Nd II,361.5817,361.5817,361.5812,air,370.0,370,8900000.0,B+,1650.205,29298.625,4f4.(5I).6s,4I,9/2,,*,9/2
Nd,2,Nd II,364.578,364.578,364.57765,air,240.0,240,3550000.0,B+,513.330,27934.515,4f4.(5I).6s,6I,9/2,,*,9/2
Nd,2,Nd II,365.042,365.042,365.04013,air,240.0,240,4650000.0,B+,1650.205,29036.650,4f4.(5I).6s,4I,9/2,,*,7/2
Nd,2,Nd II,365.315,365.315,365.31771,air,410.0,410,2700000.0,C+,4512.495,31878.132,4f4.(5I).6s,4I,13/2,,*,15/2
Nd,2,Nd II,366.518,366.518,366.51774,air,540.0,540,10800000.0,B+,1650.205,28926.245,4f4.(5I).6s,4I,9/2,,*,9/2
Nd,2,Nd II,367.818,367.818,367.81825,air,240.0,240,2000000.0,B+,0.000,27179.602,4f4.(5I).6s,6I,7/2,,*,9/2
Nd,2,Nd II,371.854,371.854,371.85853,air,410.0,410*,1710000.0,B+,1470.105,28354.405,4f4.(5I).6s,6I,11/2,,*,13/2
Nd,2,Nd II,372.487,372.487,372.48674,air,410.0,410,4800000.0,B+,513.330,27352.290,4f4.(5I).6s,6I,9/2,,*,11/2
Nd,2,Nd II,372.813,372.813,372.81256,air,710.0,710,12600000.0,B+,1470.105,28285.610,4f4.(5I).6s,6I,11/2,4f4.(5I).6p,6H*,11/2
Nd,2,Nd II,373.71,373.71,373.70777,air,440.0,440,7800000.0,B+,2585.460,29336.730,4f4.(5I).6s,6I,13/2,,*,11/2
Nd,2,Nd II,373.806,373.806,373.80552,air,1000.0,1000,30800000.0,B+,4512.495,31256.770,4f4.(5I).6s,4I,13/2,,*,13/2
Nd,2,Nd II,374.142,374.142,374.1424,air,270.0,270,9900000.0,B+,513.330,27233.525,4f4.(5I).6s,6I,9/2,,*,9/2
Nd,2,Nd II,375.249,375.249,375.24956,air,580.0,580,24300000.0,B+,4512.495,31153.855,4f4.(5I).6s,4I,13/2,4f4.(5I).6p,4I*,13/2
Nd,2,Nd II,375.2679,375.2679,375.26759,air,370.0,370,8900000.0,B+,0.000,26640.080,4f4.(5I).6s,6I,7/2,4f4.(5I).6p,6H*,7/2
Nd,2,Nd II,375.56,375.56,375.55963,air,370.0,370,4900000.0,B+,1470.105,28089.470,4f4.(5I).6s,6I,11/2,,*,13/2
Nd,2,Nd II,375.782,375.782,375.78148,air,510.0,510,9100000.0,B+,3801.930,30405.580,4f4.(5I).6s,6I,15/2,,*,15/2
Nd,2,Nd II,375.895,375.895,375.89325,air,930.0,930,39400000.0,B+,5985.580,32581.320,4f4.(5I).6s,4I,15/2,,*,13/2
Nd,2,Nd II,375.979,375.979,375.97927,air,300.0,300,9300000.0,B+,5085.640,31675.295,4f4.(5I).6s,6I,17/2,4f4.(5I).6p,4K*,17/2
Nd,2,Nd II,376.347,376.347,376.34721,air,930.0,930,21800000.0,B+,1650.205,28213.865,4f4.(5I).6s,4I,9/2,4f4.(5I).6p,4H*,7/2
Nd,2,Nd II,376.9644,376.9644,376.9634,air,510.0,510,8500000.0,B+,1650.205,28170.445,4f4.(5I).6s,4I,9/2,,*,9/2
Nd,2,Nd II,377.55,377.55,377.54973,air,1400.0,1400,38900000.0,B+,5985.580,32464.635,4f4.(5I).6s,4I,15/2,4f4.(5I).6p,4I*,15/2
Nd,2,Nd II,377.947,377.947,377.94619,air,710.0,710,12800000.0,B+,1470.105,27921.385,4f4.(5I).6s,6I,11/2,4f4.(5I).6p,4I*,9/2
Nd,2,Nd II,378.0391,378.0391,378.03823,air,580.0,580,11600000.0,B+,3801.930,30246.770,4f4.(5I).6s,6I,15/2,4f4.(5I).6p,6I*,17/2
Nd,2,Nd II,378.425,378.425,378.42446,air,2400.0,2400,55000000.0,B+,3066.755,29484.605,4f4.(5I).6s,4I,11/2,4f4.(5I).6p,4I*,11/2
Nd,2,Nd II,379.545,379.545,379.5454,air,340.0,340,10400000.0,B+,1650.205,27990.035,4f4.(5I).6s,4I,9/2,,*,9/2
Nd,2,Nd II,380.112,380.112,380.11136,air,370.0,370,8800000.0,B+,4512.495,30813.108,4f4.(5I).6s,4I,13/2,,*,13/2
Nd,2,Nd II,380.138,380.138,380.12995,air,200.0,200*,2010000.0,B+,1470.105,27769.432,4f4.(5I).6s,6I,11/2,,*,11/2
Nd,2,Nd II,380.23,380.23,380.22258,air,340.0,340*,2720000.0,B+,3801.930,30094.850,4f4.(5I).6s,6I,15/2,4f4.(5I).6p,4K*,15/2
Nd,2,Nd II,380.347,380.347,380.34713,air,1200.0,1200,18800000.0,B+,1650.205,27934.515,4f4.(5I).6s,4I,9/2,,*,9/2
Nd,2,Nd II,380.41,380.41,380.4095,air,200.0,200,1830000.0,C+,513.330,26793.331,4f4.(5I).6s,6I,9/2,,*,7/2
Nd,2,Nd II,380.5359,380.5359,380.53723,air,2500.0,2500*,40500000.0,B+,1650.205,27921.385,4f4.(5I).6s,4I,9/2,4f4.(5I).6p,4I*,9/2
Nd,2,Nd II,380.5359,380.5359,380.53353,air,2500.0,2500*,15500000.0,B+,2585.460,28856.895,4f4.(5I).6s,6I,13/2,4f4.(5I).6p,6I*,15/2
Nd,2,Nd II,380.555,380.555,380.55468,air,340.0,340,10100000.0,B+,3066.755,29336.730,4f4.(5I).6s,4I,11/2,,*,11/2
Nd,2,Nd II,380.7227,380.7227,380.71737,air,470.0,470*,1190000.0,B,513.330,26772.080,4f4.(5I).6s,6I,9/2,4f4.(5I).6p,6I*,11/2
Nd,2,Nd II,380.877,380.877,380.8767,air,540.0,540,8600000.0,B+,513.330,26761.095,4f4.(5I).6s,6I,9/2,,*,11/2
Nd,2,Nd II,380.906,380.906,380.90384,air,440.0,440,7800000.0,B+,513.330,26759.225,4f4.(5I).6s,6I,9/2,,*,9/2
Nd,2,Nd II,381.049,381.049,381.04765,air,580.0,580,21000000.0,B+,5985.580,32221.570,4f4.(5I).6s,4I,15/2,,*,15/2
Nd,2,Nd II,381.106,381.106,381.1075,air,240.0,240,6600000.0,B+,3066.755,29298.625,4f4.(5I).6s,4I,11/2,,*,9/2
