element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ne,3,Ne III,180.731,180.731,180.7339,vacuum,100.0,100bl,2700000.0,D,435555.356,490885.32,2s2.2p3.(2D*).3d,3F*,3,2s2.2p3.(2D*).4f,3H,4
Ne,3,Ne III,181.0663,181.0663,181.0668,vacuum,180.0,180,530000000.0,D,435583.09,490811.32,2s2.2p3.(2D*).3d,1S*,0,2s2.2p3.(2D*).4f,1P,1
Ne,3,Ne III,181.2205,181.2205,181.2206,vacuum,800.0,800,960000000.0,D,435608.467,490789.83,2s2.2p3.(2D*).3d,3F*,4,2s2.2p3.(2D*).4f,3G,5
Ne,3,Ne III,181.456,,181.456,vacuum,,,2.06,A,642.876,55752.7,2s2.2p4,3P,1,2s2.2p4,1S,0
Ne,3,Ne III,182.2468,182.2468,182.2467,vacuum,600.0,600,1200000000.0,D,394681.481+x,449552.15+x,2s2.2p3.(4S*).3d,5D*,4,2s2.2p3.(4S*).4f,5F,5
Ne,3,Ne III,182.2546,182.2546,182.2546,vacuum,500.0,500,1000000000.0,D,394684.08+x,449552.39+x,2s2.2p3.(4S*).3d,5D*,3,2s2.2p3.(4S*).4f,5F,4
Ne,3,Ne III,182.2652,182.2652,182.2652,vacuum,300.0,300,850000000.0,D,394687.67+x,449552.77+x,2s2.2p3.(4S*).3d,5D*,2,2s2.2p3.(4S*).4f,5F,3
Ne,3,Ne III,182.2746,182.2746,182.2746,vacuum,200.0,200,700000000.0,D,394690.72+x,449553.0+x,2s2.2p3.(4S*).3d,5D*,1,2s2.2p3.(4S*).4f,5F,2
Ne,3,Ne III,182.2806,182.2806,182.2805,vacuum,160.0,160,580000000.0,D,394692.40+x,449552.9+x,2s2.2p3.(4S*).3d,5D*,0,2s2.2p3.(4S*).4f,5F,1
Ne,3,Ne III,183.9479,183.9479,183.9481,vacuum,240.0,240,1200000000.0,D,457596.833,511960.0,2s2.2p3.(2P*).3d,3F*,4,2s2.2p3.(2P*).4f,3G,5
Ne,3,Ne III,183.9729,183.9729,183.973,vacuum,240.0,240,250000000.0,D,406332.411,460688.20,2s2.2p3.(2D*).3p,1D,2,2s2.2p3.(2D*).4s,1D*,2
