element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ni,3,Ni III,182.306,182.306,182.3043,vacuum,800.0,800,560000000.0,D,61338.58,116191.93,3p6.3d7.(4F).4s,3F,4,3p6.3d7.(4F).4p,3F*,4
Ni,3,Ni III,183.001,183.001,182.9986,vacuum,400.0,400,460000000.0,D,62605.58,117250.80,3p6.3d7.(4F).4s,3F,3,3p6.3d7.(4F).4p,3F*,3
Ni,3,Ni III,183.008,183.008,183.006,vacuum,200.0,200,500000000.0,D,63471.93,118114.95,3p6.3d7.(4F).4s,3F,2,3p6.3d7.(4F).4p,3F*,2
Ni,3,Ni III,184.9495,,184.9495,vacuum,,,530000000.0,D,62605.58,116674.39,3p6.3d7.(4F).4s,3F,3,3p6.3d7.(4F).4p,3G*,4
Ni,3,Ni III,185.415,185.415,185.4129,vacuum,800.0,800,540000000.0,D,61338.58,115272.26,3p6.3d7.(4F).4s,3F,4,3p6.3d7.(4F).4p,3G*,5
Ni,1,Ni I,196.38697,,196.38697,vacuum,,,11000000.0,C,204.787,51124.662,3d9.(2D).4s,3D,3,3d8.(1G).4s.4p.(3P*),3F*,3
Ni,1,Ni I,196.89185,,196.89185,vacuum,,,4500000.0,C,0.000,50789.303,3d8.(3F).4s2,3F,4,3d8.(1G).4s.4p.(3P*),3F*,4
Ni,1,Ni I,197.68895,,197.68895,vacuum,,,110000000.0,C,204.787,50789.303,3d9.(2D).4s,3D,3,3d8.(1G).4s.4p.(3P*),3F*,4
Ni,1,Ni I,197.71663,,197.71663,vacuum,,,8.3,E,879.816,51457.250,3d9.(2D).4s,3D,2,3d9.(2D<3/2>).4d,2[1/2],0
Ni,1,Ni I,198.16212,,198.16212,vacuum,,,13000000.0,C,879.816,51343.547,3d9.(2D).4s,3D,2,3d8.(1G).4s.4p.(3P*),3F*,2
Ni,3,Ni III,198.956,,198.956,vacuum,,,0.2,E,2269.6,52532.0,3p6.3d8,3F,2,3p6.3d8,1S,0
Ni,1,Ni I,199.02539,,199.02539,vacuum,,,83000000.0,C,879.816,51124.662,3d9.(2D).4s,3D,2,3d8.(1G).4s.4p.(3P*),3F*,3
Ni,1,Ni I,199.43,,199.43,vacuum,,,5700000.0,C,0.000,50142.8,3d8.(3F).4s2,3F,4,3d9.(2D).5p,*,3
Ni,1,Ni I,200.04972,,200.04972,air,,,5400000.0,C,879.816,50851.199,3d9.(2D).4s,3D,2,3d9.(2D).5p,3D*,1
Ni,1,Ni I,200.183,,200.183,air,,,7300000.0,C,204.787,50142.8,3d9.(2D).4s,3D,3,3d9.(2D).5p,*,3
