element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
O,3,O III,180.382,,180.382,vacuum,,,18300000.0,C+,370902.22,426340,2s2.2p.(2P*).4p,1D,2,2s.2p2.(2D).3p,1D*,2
O,2,O II,182.1545,182.1545,182.1551,vacuum,10.0,10,10200000.0,C,206971.68,261869.94,2s2.2p2.(1D).3s,2D,5/2,2s2.2p2.(3P).5p,2D*,5/2
O,2,O II,182.1586,,182.1586,vacuum,,,727000.0,D,206972.72,261869.94,2s2.2p2.(1D).3s,2D,3/2,2s2.2p2.(3P).5p,2D*,5/2
O,1,O I,182.706,,182.706,vacuum,,,152000.0,D,88630.587,143363.4,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(2P*).4d,3D*,2
O,1,O I,182.706,,182.706,vacuum,,,77900.0,D,88630.587,143363.4,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(2P*).4d,3D*,1
O,1,O I,182.708,,182.708,vacuum,,,196000.0,D,88631.146,143363.4,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(2P*).4d,3D*,3
O,1,O I,182.708,,182.708,vacuum,,,112000.0,D,88631.303,143363.4,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(2P*).4d,3D*,1
O,1,O I,182.708,,182.708,vacuum,,,43200.0,D,88631.146,143363.4,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(2P*).4d,3D*,2
O,2,O II,182.7276,182.7276,182.7249,vacuum,8.0,8*,1080000.0,D,206971.68,261698.75,2s2.2p2.(1D).3s,2D,5/2,2s2.2p2.(3P).5p,2D*,3/2
O,2,O II,182.7276,182.7276,182.7284,vacuum,8.0,8*,9720000.0,C,206972.72,261698.75,2s2.2p2.(1D).3s,2D,3/2,2s2.2p2.(3P).5p,2D*,3/2
O,2,O II,182.9362,182.9362,182.93555,vacuum,12.0,12,18500000.0,D,203942.288,258606.35,2s2.2p2.(3P).3p,2S*,1/2,2s2.2p2.(3P).5s,2P,3/2
O,2,O II,183.5906,183.5906,183.59076,vacuum,9.0,9,18300000.0,D,203942.288,258411.26,2s2.2p2.(3P).3p,2S*,1/2,2s2.2p2.(3P).5s,2P,1/2
O,3,O III,184.85,,184.85,vacuum,,,4950000.0,C+,370902.22,425000,2s2.2p.(2P*).4p,1D,2,2s.2p2.(2D).3p,1F*,3
