element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Os,3,Os III,180.11256,180.11256,180.1119,vacuum,611.0,611,60900000.0,,28702.51,84223.56,5d5.(4G).6s,5G,5,5d5.(4G).6p,5F*,5
Os,3,Os III,180.2302,180.2302,180.2304,vacuum,72.0,72,17100000.0,,21136.37,76620.91,5d6,3D,2,5d5.6p,76620*,3
Os,3,Os III,180.35471,180.35471,180.3554,vacuum,16.0,16,10900000.0,,41236.86,96682.95,5d5.(4F).6s,5F,5,5d5.(4D).6p,5F*,5
Os,3,Os III,180.37651,180.37651,180.3765,vacuum,1703.0,1703,544000000.0,,4578.41,60018.00,5d5.(6S).6s,7S,3,5d5.(6S).6p,7P*,2
Os,3,Os III,180.51633,180.51633,180.516,vacuum,427.0,427,68200000.0,,43997.75,99394.49,5d5.(4G).6s,3G,5,5d5.6p,99394*,5
Os,3,Os III,180.60369,180.60369,180.6036,vacuum,28.0,28,34400000.0,,48302.11,103672.00,5d5.(2G2).6s,3G,5,5d5.6p,103672*,4
Os,3,Os III,180.72951,180.72951,180.7289,vacuum,300.0,300,35700000.0,,25936.28,81267.77,5d5.6s,25936,3,5d5.6p,81267*,3
Os,3,Os III,181.1697,181.1697,181.1703,vacuum,29.0,29,25600000.0,,50499.32,105695.99,5d5.6s,50499,4,5d5.6p,105695*,4
Os,3,Os III,181.3242,,181.3242,vacuum,,m(Os III),100000000.0,,29237.90,84387.74,5d5.6s,29237,2,,84387*,1
Os,3,Os III,181.32586,181.32586,181.3261,vacuum,1056.0,1056,206000000.0,,26118.50,81267.77,5d5.(4G).6s,5G,2,5d5.6p,81267*,3
Os,3,Os III,181.64846,181.64846,181.6473,vacuum,358.0,358bl,33300000.0,,35710.22,90761.97,5d5.(4D).6s,5D,3,5d5.6p,90761*,4
Os,3,Os III,181.66241,181.66241,181.662,vacuum,1161.0,1161,258000000.0,,42871.88,97919.16,5d5.(2I).6s,3I,7,5d5.(2I).6p,3H*,6
Os,3,Os III,182.1476,182.1476,182.1475,vacuum,71.0,71,48200000.0,,47785.16,102685.72,5d5.(2I).6s,1I,6,,102685*,5
Os,3,Os III,182.22961,182.22961,182.2294,vacuum,444.0,444,50000000.0,,21745.01,76620.91,5d6,3D,3,5d5.6p,76620*,3
Os,3,Os III,182.52813,182.52813,182.5286,vacuum,38.0,38,36000000.0,,44000.29,98786.22,,44000,3,,98786*,2
Os,3,Os III,182.54497,182.54497,182.5454,vacuum,988.0,988,238000000.0,,43997.75,98778.65,5d5.(4G).6s,3G,5,5d5.(4G).6p,3G*,5
Os,3,Os III,182.67644,182.67644,182.6768,vacuum,388.0,388,53100000.0,,38705.98,93447.48,5d5.(2I).6s,3I,5,5d5.(4G).6p,3H*,6
Os,3,Os III,182.86891,182.86891,182.8695,vacuum,80.0,80,10000000.0,,25936.28,80620.07,5d5.6s,25936,3,5d5.6p,80620*,2
Os,3,Os III,182.97522,182.97522,182.975,vacuum,89.0,89,91100000.0,,53663.39,108315.66,5d5.6s,53663,4,,108315*,4
Os,3,Os III,182.99324,182.99324,182.9928,vacuum,25.0,25,34000000.0,,39842.60,94489.56,,39842,2,5d5.6p,94489*,2
Os,3,Os III,183.01333,183.01333,183.0134,vacuum,1065.0,1065,198000000.0,,38847.26,93488.08,5d5.(4G).6s,3G,3,5d5.(4G).6p,3H*,4
Os,3,Os III,183.08389,183.08389,183.0841,vacuum,1328.0,1328,237000000.0,,28702.51,83322.22,5d5.(4G).6s,5G,5,5d5.6p,83322*,4
Os,3,Os III,183.09532,183.09532,183.0956,vacuum,30.0,30,48500000.0,,47785.16,102401.44,5d5.(2I).6s,1I,6,5d5.6p,102401*,6
Os,3,Os III,183.15608,183.15608,183.156,vacuum,880.0,880,207000000.0,,47785.16,102383.43,5d5.(2I).6s,1I,6,5d5.(2I).6p,1K*,7
Os,3,Os III,183.33701,183.33701,183.3369,vacuum,260.0,260,80000000.0,,43501.91,98046.31,5d5.(4F).6s,5F,4,,98046*,4
Os,3,Os III,183.45909,183.45909,183.4586,vacuum,80.0,80,44400000.0,,43997.75,98505.95,5d5.(4G).6s,3G,5,5d5.6p,98505*,4
Os,3,Os III,183.48099,183.48099,183.481,vacuum,774.0,774bl(Al II),104000000.0,,26118.50,80620.07,5d5.(4G).6s,5G,2,5d5.6p,80620*,2
Os,3,Os III,183.55334,183.55334,183.5535,vacuum,125.0,125,106000000.0,,45225.11,99705.14,5d5.6s,45225,2,,99705*,3
Os,3,Os III,183.67296,183.67296,183.6727,vacuum,23.0,23,15700000.0,,36473.90,90918.56,5d5.6s,36473,2,5d5.6p,90918*,3
Os,3,Os III,183.83257,183.83257,183.8329,vacuum,219.0,219,122000000.0,,45223.77,99621.00,5d5.(4D).6s,3D,3,,99621*,2
Os,3,Os III,183.90117,183.90117,183.9023,vacuum,14.0,14,23300000.0,,51319.29,105695.99,5d5.6s,51319,4,5d5.6p,105695*,4
Os,3,Os III,184.02627,184.02627,184.0256,vacuum,272.0,272,33300000.0,,50499.32,104839.58,5d5.6s,50499,4,,104839*,4
Os,3,Os III,184.0673,184.0673,184.0672,vacuum,61.0,61,82900000.0,,49019.74,103347.71,5d5.(2G2).6s,3G,3,,103347*,3
Os,3,Os III,184.20362,184.20362,184.2046,vacuum,26.0,26,20000000.0,,40611.66,94899.13,5d5.(4G).6s,3G,4,5d5.6p,94899*,4
Os,3,Os III,184.33008,184.33008,184.3302,vacuum,13.0,13,18600000.0,,40611.66,94862.13,5d5.(4G).6s,3G,4,5d5.6p,94862*,3
Os,3,Os III,184.5309,184.5309,184.5313,vacuum,47.0,47,46700000.0,,30196.40,84387.74,5d5.(4P).6s,5P,1,,84387*,1
Os,3,Os III,184.84548,184.84548,184.8452,vacuum,53.0,53,50000000.0,,48302.11,102401.44,5d5.(2G2).6s,3G,5,5d5.6p,102401*,6
Os,3,Os III,185.02739,185.02739,185.0275,vacuum,113.0,113,64400000.0,,44000.29,98046.31,,44000,3,,98046*,4
Os,3,Os III,185.17931,185.17931,185.1787,vacuum,25.0,25,7140000.0,,41049.90,95051.78,,41049,3,,95051*,3
Os,3,Os III,185.2489,185.2489,185.2486,vacuum,121.0,121,46700000.0,,38705.98,92687.50,5d5.(2I).6s,3I,5,5d5.6p,92687*,4
Os,3,Os III,185.39676,185.39676,185.3971,vacuum,310.0,310,70900000.0,,40611.66,94549.95,5d5.(4G).6s,3G,4,5d5.6p,94549*,5
Os,3,Os III,185.45504,185.45504,185.4551,vacuum,350.0,350bl(Al III),202000000.0,,43997.75,97919.16,5d5.(4G).6s,3G,5,5d5.(2I).6p,3H*,6
Os,3,Os III,185.50598,185.50598,185.5066,vacuum,219.0,219,37100000.0,,45225.11,99131.54,5d5.6s,45225,2,,99131*,3
Os,3,Os III,185.53179,185.53179,185.5318,vacuum,316.0,316,57100000.0,,26118.50,80017.62,5d5.(4G).6s,5G,2,5d5.6p,80017*,3
Os,3,Os III,185.67848,185.67848,185.6786,vacuum,886.0,886,155000000.0,,40782.99,94639.48,5d5.(2I).6s,3I,6,5d5.(2I).6p,3K*,7
Os,3,Os III,185.73491,185.73491,185.7347,vacuum,19.0,19,14400000.0,,38847.26,92687.50,5d5.(4G).6s,3G,3,5d5.6p,92687*,4
Os,3,Os III,185.88519,185.88519,185.8851,vacuum,65.0,65,33300000.0,,21136.37,74933.05,5d6,3D,2,5d5.(6S).6p,5P*,1
Os,3,Os III,185.98788,185.98788,185.9878,vacuum,77.0,77,40900000.0,,40782.99,94549.95,5d5.(2I).6s,3I,6,5d5.6p,94549*,5
Os,3,Os III,186.31691,186.31691,186.3169,vacuum,407.0,407,47100000.0,,22948.90,76620.91,5d5.(6S).6s,5S,2,5d5.6p,76620*,3
Os,3,Os III,186.351,186.351,186.3507,vacuum,121.0,121,28900000.0,,41236.86,94899.13,5d5.(4F).6s,5F,5,5d5.6p,94899*,4
Os,3,Os III,186.36807,186.36807,186.3668,vacuum,59.0,59bl,25500000.0,,50499.32,104156.95,5d5.6s,50499,4,,104156*,5
Os,3,Os III,186.58116,186.58116,186.5812,vacuum,751.0,751,90000000.0,,25936.28,79532.25,5d5.6s,25936,3,5d5.6p,79532*,4
Os,3,Os III,186.59186,186.59186,186.5917,vacuum,27.0,27,110000000.0,,45225.11,98818.07,5d5.6s,45225,2,5d5.6p,98818*,1
Os,3,Os III,186.6679,186.6679,186.6669,vacuum,98.0,98,70000000.0,,32857.75,86429.10,5d5.(4D).6s,5D,4,5d5.6p,86429*,3
Os,3,Os III,186.70344,186.70344,186.7026,vacuum,33.0,33,96000000.0,,45225.11,98786.22,5d5.6s,45225,2,,98786*,2
Os,3,Os III,186.9142,186.9142,186.9136,vacuum,97.0,97,50000000.0,,36856.04,90356.69,5d6,3F1,4,5d5.6p,90356*,4
Os,3,Os III,187.03289,187.03289,187.0332,vacuum,14.0,14,15500000.0,,36856.04,90322.48,5d6,3F1,4,5d5.6p,90322*,5
Os,3,Os III,187.28483,187.28483,187.2854,vacuum,19.0,19,46000000.0,,38847.26,92241.70,5d5.(4G).6s,3G,3,5d5.6p,92241*,2
Os,3,Os III,187.47363,187.47363,187.474,vacuum,128.0,128,127000000.0,,48302.11,101642.83,5d5.(2G2).6s,3G,5,,101642*,4
Os,3,Os III,187.5408,187.5408,187.5412,vacuum,1270.0,1270,81500000.0,,27885.00,81206.61,5d6,1I,6,5d5.(4G).6p,5G*,6
Os,3,Os III,187.57116,187.57116,187.5712,vacuum,159.0,159,52700000.0,,41236.86,94549.95,5d5.(4F).6s,5F,5,5d5.6p,94549*,5
Os,3,Os III,187.6806,187.6806,187.6803,vacuum,23.0,23,14500000.0,,38705.98,91988.09,5d5.(2I).6s,3I,5,5d5.(4G).6p,3H*,5
Os,3,Os III,187.71919,187.71919,187.7198,vacuum,27.0,27,52000000.0,,35710.22,88981.11,5d5.(4D).6s,5D,3,5d5.6p,88981*,2
