element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
P,1,P I,185.8886,185.8886,185.8871,vacuum,500.0,500,23200000.0,C,11361.02,65157.126,3s2.3p3,2D*,3/2,3s2.3p2.(1D).4s,2D,5/2
P,1,P I,185.8901,,185.8901,vacuum,,,254000000.0,C,11361.02,65156.242,3s2.3p3,2D*,3/2,3s2.3p2.(1D).4s,2D,3/2
P,1,P I,185.9393,185.9393,185.941,vacuum,400.0,400,264000000.0,C,11376.63,65157.126,3s2.3p3,2D*,5/2,3s2.3p2.(1D).4s,2D,5/2
P,1,P I,185.9441,,185.9441,vacuum,,,22600000.0,C,11376.63,65156.242,3s2.3p3,2D*,5/2,3s2.3p2.(1D).4s,2D,3/2
P,1,P I,213.5465,213.5465,213.5469,air,400.0,400,21100000.0,C,11361.02,58174.366,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4s,2P,3/2
P,1,P I,213.6182,213.6182,213.6182,air,400.0,400,283000000.0,C,11376.63,58174.366,3s2.3p3,2D*,5/2,3s2.3p2.(3P).4s,2P,3/2
P,1,P I,214.9145,214.9145,214.9142,air,400.0,400,318000000.0,C,11361.02,57876.574,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4s,2P,1/2
P,1,P I,215.294,215.294,215.2939,air,280.0,280,48500000.0,C,18722.71,65156.242,3s2.3p3,2P*,1/2,3s2.3p2.(1D).4s,2D,3/2
P,1,P I,215.408,215.408,215.4072,air,500.0,500,58000000.0,C,18748.01,65157.126,3s2.3p3,2P*,3/2,3s2.3p2.(1D).4s,2D,5/2
P,1,P I,215.4113,,215.4113,air,,,17300000.0,C,18748.01,65156.242,3s2.3p3,2P*,3/2,3s2.3p2.(1D).4s,2D,3/2
P,1,P I,222.2586,,222.2586,air,,,5400.0,E,11361.02,56339.656,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4s,4P,5/2
P,1,P I,222.3358,,222.3358,air,,,88000.0,E,11376.63,56339.656,3s2.3p3,2D*,5/2,3s2.3p2.(3P).4s,4P,5/2
P,1,P I,223.4961,,223.4961,air,,,130000.0,E,11361.02,56090.626,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4s,4P,3/2
P,1,P I,223.5732,223.5732,223.5742,air,180.0,180,620000.0,E,11376.63,56090.626,3s2.3p3,2D*,5/2,3s2.3p2.(3P).4s,4P,3/2
P,1,P I,224.2543,,224.2543,air,,,400000.0,E,11361.02,55939.421,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4s,4P,1/2
P,1,P I,253.3976,253.3976,253.3986,air,750.0,750,20000000.0,C,18722.71,58174.366,3s2.3p3,2P*,1/2,3s2.3p2.(3P).4s,2P,3/2
P,1,P I,253.5603,253.5603,253.5612,air,950.0,950,95000000.0,C,18748.01,58174.366,3s2.3p3,2P*,3/2,3s2.3p2.(3P).4s,2P,3/2
P,1,P I,255.3262,255.3262,255.326,air,750.0,750,71000000.0,C,18722.71,57876.574,3s2.3p3,2P*,1/2,3s2.3p2.(3P).4s,2P,1/2
