element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Pb,2,Pb II,182.205,182.205,182.205,vacuum,10.0,10,1180000000.0,,14081.074,68964.310,6s2.6p,2P*,3/2,6s2.6d,2D,5/2
Pb,1,Pb I,202.20162,202.20162,202.201749,air,5.0,5r,5900000.0,C+,0.000,49439.6165,6s2.6p2,"(1/2,1/2)",0,6s2.6p.7s,"(3/2,1/2)*",1
Pb,1,Pb I,205.32836,205.32836,205.32815,air,8.0,8r,10200000.0,C,0.000,48686.9340,6s2.6p2,"(1/2,1/2)",0,6s2.6p.8s,"(1/2,1/2)*",1
Pb,1,Pb I,217.00048,217.00048,217.000288,air,500.0,500r,147000000.0,C+,0.000,46068.4385,6s2.6p2,"(1/2,1/2)",0,6s2.6p.(2P*<1/2>).6d,2[3/2]*,1
Pb,2,Pb II,220.3534,220.3534,220.3534,air,10.0,10,494000000.0,,14081.074,59448.56,6s2.6p,2P*,3/2,6s2.7s,2S,1/2
Pb,1,Pb I,240.19396,240.19396,240.193951,air,320.0,320r,24000000.0,C,7819.2626,49439.6165,6s2.6p2,"(3/2,1/2)",1,6s2.6p.7s,"(3/2,1/2)*",1
Pb,1,Pb I,244.618081,244.618081,244.618073,air,160.0,160r,18600000.0,C+,7819.2626,48686.9340,6s2.6p2,"(3/2,1/2)",1,6s2.6p.8s,"(1/2,1/2)*",1
Pb,1,Pb I,247.637759,247.637759,247.637766,air,130.0,130r,26000000.0,C+,7819.2626,48188.6296,6s2.6p2,"(3/2,1/2)",1,6s2.6p.7s,"(3/2,1/2)*",2
Pb,1,Pb I,257.72596,257.72596,257.725953,air,80.0,80r,51000000.0,C+,10650.3271,49439.6165,6s2.6p2,"(3/2,1/2)",2,6s2.6p.7s,"(3/2,1/2)*",1
Pb,1,Pb I,261.36549,261.36549,261.365508,air,500.0,500r,22000000.0,C+,7819.2626,46068.4385,6s2.6p2,"(3/2,1/2)",1,6s2.6p.(2P*<1/2>).6d,2[3/2]*,1
