element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Pr,2,Pr II,379.251,379.251,379.2436,air,210.0,210,6100000.0,C+,1649.01,28009.80,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,4f3.(4I*).6p?,,7
Pr,2,Pr II,385.155,385.155,385.1497,air,720.0,720c*,11600000.0,C+,441.95,26398.52,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,4f3.(4I*).6p?,,6
Pr,2,Pr II,388.934,388.934,388.9334,air,440.0,440c,9300000.0,C+,441.95,26146.01,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,4f3.(4I*).6p?,,5
Pr,2,Pr II,392.053,392.053,392.0532,air,250.0,250*,4900000.0,C+,0.00,25499.52,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",4,4f3.(4I*).6p?,,5
Pr,2,Pr II,392.547,392.547,392.5466,air,960.0,960,22900000.0,C+,0.00,25467.47,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",4,,,4
Pr,2,Pr II,394.943,394.943,394.9429,air,900.0,900c,22500000.0,B,1649.01,26961.96,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,4f3.(4I*).6p?,,6
Pr,2,Pr II,396.426,396.426,396.4262,air,560.0,560,19200000.0,B,1743.72,26961.96,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",5,4f3.(4I*).6p?,,6
Pr,2,Pr II,396.481,396.481,396.4812,air,1600.0,1600c,38000000.0,B+,441.95,25656.69&dagger;,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,4f3.(4I*).6p,5I,6
Pr,2,Pr II,396.657,396.657,396.6566,air,560.0,560c,18500000.0,B,2998.36,28201.95,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,4f3.(4I*).6p,5I,8
Pr,2,Pr II,397.116,397.116,397.1134,air,500.0,500*,1910000.0,C+,2998.36,28172.96,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,,,7
Pr,2,Pr II,397.116,397.116,397.1137,air,500.0,500*,19000000.0,C+,3403.21,28577.79,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",6,4f3.(4I*).6p?,3I?,7
Pr,2,Pr II,397.214,397.214,397.2136,air,620.0,620c,13800000.0,B+,441.95,25610.20,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,,,6
Pr,2,Pr II,398.968,398.968,398.9682,air,1300.0,1300c,20100000.0,B,441.95,25499.52,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,4f3.(4I*).6p?,,5
Pr,2,Pr II,399.479,399.479,399.4791,air,1600.0,1600,44000000.0,B,441.95,25467.47,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,,,4
Pr,2,Pr II,399.704,399.704,399.704,air,560.0,560c,17100000.0,B,2998.36,28009.80,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,4f3.(4I*).6p?,,7
Pr,2,Pr II,400.017,400.017,400.0173,air,620.0,620c,11500000.0,B,1649.01,26640.86,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,,,5
Pr,2,Pr II,400.47,400.47,400.4702,air,730.0,730,21300000.0,B+,1743.72,26707.31,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",5,,,5
Pr,2,Pr II,401.539,401.539,401.5391,air,730.0,730,16400000.0,B+,1743.72,26640.86,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",5,,,5
Pr,2,Pr II,403.175,403.175,403.1753,air,730.0,730c,14500000.0,B,1649.01,26445.11,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,,,7
Pr,2,Pr II,403.383,403.383,403.383,air,960.0,960,21500000.0,B+,2998.36,27781.69,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,,,8
Pr,2,Pr II,403.433,403.433,403.4324,air,230.0,230,5100000.0,C+,1743.72,26524.02,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",5,,,6
Pr,2,Pr II,403.934,403.934,403.9343,air,470.0,470,14500000.0,C+,1649.01,26398.52,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,4f3.(4I*).6p?,,6
Pr,2,Pr II,404.481,404.481,404.4813,air,1300.0,1300,18800000.0,C+,0.00,24716.04,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",4,4f3.(4I*).6p,5I,5
Pr,2,Pr II,405.488,405.488,405.486,air,2200.0,2200,51000000.0,C+,1743.72,26398.52,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",5,4f3.(4I*).6p?,,6
Pr,2,Pr II,405.88,405.88,405.88,air,450.0,450,12200000.0,B,3403.21,28034.08,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",6,,,6
Pr,2,Pr II,406.281,406.281,406.2805,air,3400.0,3400,58000000.0,B+,3403.21,28009.80,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",6,4f3.(4I*).6p?,,7
Pr,2,Pr II,408.098,408.098,408.098,air,500.0,500c,13100000.0,B,1649.01,26146.01,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,4f3.(4I*).6p?,,5
Pr,2,Pr II,409.682,409.682,409.682,air,560.0,560,20100000.0,B,1743.72,26146.01,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",5,4f3.(4I*).6p?,,5
Pr,2,Pr II,409.84,409.84,409.8367,air,380.0,380*,630000.0,B,441.95,24835.03,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,,,6
Pr,2,Pr II,410.072,410.072,410.0717,air,2900.0,2900c,84000000.0,C+,4437.15,28816.25,4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,4f3.(4I*).6p,5K,9
Pr,2,Pr II,411.846,411.846,411.8457,air,1700.0,1700c,53000000.0,B,441.95,24716.04,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,4f3.(4I*).6p,5I,5
Pr,2,Pr II,414.122,414.122,414.1224,air,1500.0,1500c*,62000000.0,B+,4437.15,28577.79,4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,4f3.(4I*).6p?,3I?,7
Pr,2,Pr II,414.311,414.311,414.3112,air,2700.0,2700,89000000.0,B+,2998.36,27128.00,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,4f3.(4I*).6p,5K,8
Pr,2,Pr II,416.416,416.416,416.416,air,1700.0,1700c,44000000.0,B+,1649.01,25656.69&dagger;,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,4f3.(4I*).6p,5I,6
Pr,2,Pr II,417.182,417.182,417.182,air,620.0,620,22200000.0,B,2998.36,26961.96,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,4f3.(4I*).6p?,,6
Pr,2,Pr II,417.225,417.225,417.2239,air,730.0,730,18200000.0,B+,1649.01,25610.20,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,,,6
Pr,2,Pr II,417.939,417.939,417.9393,air,5200.0,5200,68000000.0,B,1649.01,25569.19,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,4f3.(4I*).6p,5K,7
Pr,2,Pr II,418.948,418.948,418.9479,air,2500.0,2500,68000000.0,B,2998.36,26860.95,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,4f3.(4I*).6p,5I,7
Pr,2,Pr II,419.16,419.16,419.1601,air,560.0,560c*,14400000.0,B,1649.01,25499.52,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,4f3.(4I*).6p?,,5
Pr,2,Pr II,420.672,420.672,420.672,air,2500.0,2500c,46000000.0,B,4437.15,28201.95,4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,4f3.(4I*).6p,5I,8
Pr,2,Pr II,420.832,420.832,420.831,air,500.0,500,10000000.0,B,1743.72,25499.52,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",5,4f3.(4I*).6p?,,5
Pr,2,Pr II,421.186,421.186,421.186,air,320.0,320,5700000.0,B+,4437.15,28172.96,4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,,,7
Pr,2,Pr II,422.293,422.293,422.293,air,3800.0,3800,47000000.0,B+,441.95,24115.50,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,4f3.(4I*).6p,5K,6
Pr,2,Pr II,422.535,422.535,422.5317,air,3800.0,3800,87000000.0,B+,0.00,23660.20,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",4,4f3.(4I*).6p,5I,4
Pr,2,Pr II,423.615,423.615,423.615,air,320.0,320c,3620000.0,B+,1649.01,25248.69,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,,,7
Pr,2,Pr II,424.101,424.101,424.101,air,960.0,960,27200000.0,B,4437.15,28009.80,4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,4f3.(4I*).6p?,,7
Pr,2,Pr II,424.351,424.351,424.351,air,340.0,340,8000000.0,B,3403.21,26961.96,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",6,4f3.(4I*).6p?,,6
Pr,2,Pr II,424.763,424.763,424.764,air,840.0,840c,7900000.0,B,441.95,23977.83,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,,,6
Pr,2,Pr II,425.44,425.44,425.44,air,500.0,500,10100000.0,C+,5079.35,28577.79,4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,4f3.(4I*).6p?,3I?,7
Pr,2,Pr II,426.378,426.378,426.378,air,270.0,270c,5000000.0,B,2998.36,26445.11,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,,,7
Pr,2,Pr II,427.227,427.227,427.227,air,790.0,790c*,18800000.0,C+,2998.36,26398.52,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,4f3.(4I*).6p?,,6
Pr,2,Pr II,428.242,428.242,428.245,air,790.0,790c,16400000.0,B+,4437.15,27781.69,4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,,,8
Pr,2,Pr II,430.576,430.576,430.575,air,1500.0,1500,29900000.0,B,441.95,23660.20,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,4f3.(4I*).6p,5I,4
Pr,2,Pr II,432.355,432.355,432.356,air,210.0,210,5100000.0,C+,5079.35,28201.95,4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,4f3.(4I*).6p,5I,8
Pr,2,Pr II,432.941,432.941,432.942,air,270.0,270,3770000.0,B+,1743.72,24835.03,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",5,,,6
Pr,2,Pr II,433.397,433.397,433.397,air,1300.0,1300,23000000.0,D+,1649.01,24716.04,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,4f3.(4I*).6p,5I,5
Pr,2,Pr II,433.87,433.87,433.87,air,360.0,360,6900000.0,B,3403.21,26445.11,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",6,,,7
Pr,2,Pr II,434.749,434.749,434.749,air,470.0,470c,12800000.0,C+,3403.21,26398.52,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",6,4f3.(4I*).6p?,,6
Pr,2,Pr II,435.979,435.979,435.979,air,410.0,410c,10500000.0,C+,5079.35,28009.80,4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,4f3.(4I*).6p?,,7
Pr,2,Pr II,436.833,436.833,436.8334,air,1200.0,1200,14300000.0,B+,0.00,22885.59,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",4,,,5
Pr,2,Pr II,440.36,440.36,440.36,air,170.0,170,7200000.0,B,5079.35,27781.69,4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,,,8
Pr,2,Pr II,440.583,440.583,440.583,air,430.0,430,17000000.0,B,4437.15,27128.00,4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,4f3.(4I*).6p,5K,8
Pr,2,Pr II,440.882,440.882,440.8819,air,1700.0,1700,35800000.0,B+,0.00,22675.44,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",4,4f3.(4I*).6p,5K,5
Pr,2,Pr II,441.377,441.377,441.377,air,410.0,410,7200000.0,B+,1743.72,24393.73,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",5,,,6
Pr,2,Pr II,442.122,442.122,442.122,air,160.0,160c,4500000.0,B,2998.36,25610.20,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,,,6
Pr,2,Pr II,442.913,442.913,442.9126,air,1200.0,1200c*,9900000.0,B+,0.00,22571.48,4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",4,,,5
Pr,2,Pr II,442.925,442.925,442.925,air,1200.0,1200c*,18800000.0,B,2998.36,25569.19,4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,4f3.(4I*).6p,5K,7
Pr,2,Pr II,444.983,444.983,444.982,air,730.0,730,13500000.0,C+,1649.01,24115.50,4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,4f3.(4I*).6p,5K,6
