element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Pt,2,Pt II,183.33875,183.33875,183.33887,vacuum,4200.0,4200,103000000.0,C+,16820.9342,71364.741,5d8.6s,4F,5/2,5d8.(3F).6p,"(3,3/2)*",3/2
Pt,2,Pt II,183.507503,183.507503,183.507492,vacuum,7200.0,7200,98000000.0,C+,16820.9342,71314.622,5d8.6s,4F,5/2,5d8.(3F).6p,"(3,3/2)*",7/2
Pt,2,Pt II,183.650703,183.650703,183.650705,vacuum,3400.0,3400,8000000.0,D+,13329.277,67780.470,5d8.6s,4P,5/2,5d7.(4F).6s.6p.(3P*),"(9/2,1)*",7/2
Pt,2,Pt II,183.88241,183.88241,183.882455,vacuum,5500.0,5500,32000000.0,C+,9356.3167,63738.884,5d8.6s,4F,7/2,5d8.(3F).6p,"(3,1/2)*",7/2
Pt,2,Pt II,183.952435,183.952435,183.95246,vacuum,13000.0,13000,73000000.0,C+,8419.840,62781.7116,5d9,2D,3/2,5d8.(3P).6p,"(2,3/2)*",1/2
Pt,1,Pt I,184.575031,184.575031,184.575031,vacuum,14000.0,14000,210000000.0,E,0.0000,54178.5090,5d9.6s,3D,3,5d8.6s.(4P).6p,b 5D*,4
Pt,2,Pt II,185.69694,185.69694,185.69692,vacuum,2500.0,2500,18300000.0,C+,18097.764,71948.954,5d8.6s,2F,7/2,5d7.(4F).6s.6p.(3P*),71948*,5/2
Pt,2,Pt II,186.71293,186.71293,186.712933,vacuum,12000.0,12000,142000000.0,B,16820.9342,70379.088,5d8.6s,4F,5/2,5d8.(3P).6p,"(1,3/2)*",5/2
Pt,2,Pt II,187.03979,,187.03979,vacuum,,m(Pt II),49000000.0,C,32237.050,85701.61,5d8.6s,2D,3/2,5d7.6s.6p,85701*,5/2
Pt,2,Pt II,187.040983,187.040983,187.040988,vacuum,16000.0,16000,24100000.0,C+,9356.3167,62820.534,5d8.6s,4F,7/2,5d7.(4F).6s.6p.(3P*),"(9/2,0)*",9/2
Pt,2,Pt II,187.11038,187.11038,187.11035,vacuum,4500.0,4500,77000000.0,C+,15791.309,69235.707,5d9,2D,3/2,5d8.(3P).6p,"(1,1/2)*",1/2
Pt,2,Pt II,187.91033,187.91033,187.91038,vacuum,11000.0,11000,166000000.0,B,18097.764,71314.622,5d8.6s,2F,7/2,5d8.(3F).6p,"(3,3/2)*",7/2
Pt,2,Pt II,188.3059,188.3059,188.305814,vacuum,89000.0,89000,180000000.0,B,13329.277,66434.382,5d8.6s,4P,5/2,5d8.(3P).6p,"(2,3/2)*",7/2
Pt,2,Pt II,188.952298,188.952298,188.952296,vacuum,23000.0,23000,320000000.0,B+,18097.764,71021.175,5d8.6s,2F,7/2,5d8.(3F).6p,"(3,3/2)*",9/2
Pt,2,Pt II,189.50087,189.50087,189.500782,vacuum,4800.0,4800,21200000.0,C+,8419.840,61190.0708,5d9,2D,3/2,5d8.(3F).6p,"(4,3/2)*",5/2
Pt,2,Pt II,189.75765,189.75765,189.75771,vacuum,4400.0,4400,18000000.0,D+,13329.277,66028.059,5d8.6s,4P,5/2,5d8.(3P).6p,"(2,3/2)*",3/2
Pt,2,Pt II,191.170917,191.170917,191.170918,vacuum,55000.0,55000,276000000.0,B+,9356.3167,61665.5284,5d8.6s,4F,7/2,5d8.(3F).6p,"(4,3/2)*",7/2
Pt,2,Pt II,191.27282,191.27282,191.272891,vacuum,1200.0,1200,109000000.0,C+,18097.764,70379.088,5d8.6s,2F,7/2,5d8.(3P).6p,"(1,3/2)*",5/2
Pt,2,Pt II,192.8431,192.8431,192.84318,vacuum,5800.0,5800,23200000.0,C+,18097.764,69953.370,5d8.6s,2F,7/2,5d8.(3F).6p,"(3,3/2)*",5/2
Pt,2,Pt II,192.924478,192.924478,192.924479,vacuum,39000.0,39000,208000000.0,B,9356.3167,61190.0708,5d8.6s,4F,7/2,5d8.(3F).6p,"(4,3/2)*",5/2
Pt,1,Pt I,193.742404,193.742404,193.742404,vacuum,58000.0,58000,600000000.0,E,823.6608,52438.5877,5d8.6s2,3F,4,5d8.6s.(2F).6p,3G*,5
Pt,2,Pt II,193.9811,193.9811,193.98114,vacuum,20000.0,20000l,106000000.0,B,9356.3167,60907.720,5d8.6s,4F,7/2,5d8.(3F).6p,"(4,3/2)*",9/2
Pt,1,Pt I,194.003283,194.003283,194.003275,vacuum,12000.0,12000,280000000.0,E,0.0000,51545.5216,5d9.6s,3D,3,5d8.6s.(4F).6p,b 3D*,3
Pt,1,Pt I,194.04766,194.04766,194.047728,vacuum,800.0,800,10000000.0,E,6567.4517,58101.165,5d9.6s,3D,2,5d9.7p,3F*,3
Pt,1,Pt I,194.123933,194.123933,194.123941,vacuum,3400.0,3400l,200000000.0,E,10131.8684,61645.3497,5d9.6s,3D,1,5d8.6s.(2G).6p,b 3F*,2
Pt,2,Pt II,194.446243,194.446243,194.446204,vacuum,24000.0,24000,63000000.0,C+,13329.277,64757.383,5d8.6s,4P,5/2,5d8.(3F).6p,"(3,1/2)*",5/2
Pt,1,Pt I,194.47712,194.47712,194.47713,vacuum,500.0,500,6000000.0,E,6567.4517,57987.379,5d9.6s,3D,2,5d9.7p,3P*,2
