element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Rb,1,Rb I,299.9776,299.9776,299.9774,air,,,570.0,D+,0.000,33326.13,4p6.5s,2S,1/2,4p6.20p,2P*,1/2
Rb,1,Rb I,300.3862,300.3862,300.3859,air,,,2050.0,B,0.000,33280.81,4p6.5s,2S,1/2,4p6.19p,2P*,3/2
Rb,1,Rb I,300.3923,300.3923,300.392,air,,,870.0,C+,0.000,33280.13,4p6.5s,2S,1/2,4p6.19p,2P*,1/2
Rb,1,Rb I,300.8847,300.8847,300.8844,air,,,2640.0,C+,0.000,33225.67,4p6.5s,2S,1/2,4p6.18p,2P*,3/2
Rb,1,Rb I,300.8923,300.8923,300.892,air,,,1050.0,C+,0.000,33224.83,4p6.5s,2S,1/2,4p6.18p,2P*,1/2
Rb,1,Rb I,301.4938,301.4938,301.4936,air,,,3260.0,B,0.000,33158.54,4p6.5s,2S,1/2,4p6.17p,2P*,3/2
Rb,1,Rb I,301.5029,301.5029,301.5027,air,,,1390.0,C+,0.000,33157.54,4p6.5s,2S,1/2,4p6.17p,2P*,1/2
Rb,1,Rb I,302.2478,302.2478,302.2475,air,,,4120.0,B,0.000,33075.83,4p6.5s,2S,1/2,4p6.16p,2P*,3/2
Rb,1,Rb I,302.2591,302.2591,302.2589,air,,,1770.0,B,0.000,33074.59,4p6.5s,2S,1/2,4p6.16p,2P*,1/2
Rb,1,Rb I,303.1979,303.1979,303.1976,air,,,4930.0,B+,0.000,32972.19,4p6.5s,2S,1/2,4p6.15p,2P*,3/2
Rb,1,Rb I,303.212,303.212,303.2117,air,,,2490.0,B+,0.000,32970.66,4p6.5s,2S,1/2,4p6.15p,2P*,1/2
Rb,1,Rb I,304.4182,304.4182,304.4179,air,,,8200.0,B,0.000,32840.02,4p6.5s,2S,1/2,4p6.14p,2P*,3/2
Rb,1,Rb I,304.4368,304.4368,304.4365,air,,,3720.0,B+,0.000,32838.02,4p6.5s,2S,1/2,4p6.14p,2P*,1/2
Rb,2,Rb II,305.1362,305.1362,305.13654,air,1000.0,1000,30000000.0,,134869.751,167632.436,4p5.(2P*<3/2>).5s,2[3/2]*,1,4p5.(2P*<1/2>).5p,2[1/2],0
