element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Re,3,Re III,180.10843,180.10843,180.1088,vacuum,440.0,440,142000000.0,,53402.71,108924.72,5d4.(3H).6s,2H,11/2,5d4.6p,108924*,11/2
Re,3,Re III,180.111,180.111,180.1103,vacuum,366.0,366,15000000.0,,36927.52,92449.06,5d5,2H,11/2,5d4.6p,92449*,9/2
Re,3,Re III,180.14042,180.14042,180.1408,vacuum,35.0,35,37500000.0,,39595.72,95107.85,5d4.(5D).6s,4D,5/2,,95107*,3/2
Re,3,Re III,180.21002,180.21002,180.2101,vacuum,36.0,36,25000000.0,,41210.25,96701.04,5d5,2D2,3/2,5d4.6p,96701*,3/2
Re,3,Re III,180.28501,180.28501,180.2847,vacuum,578.0,578,100000000.0,,45608.03,101075.86,,45608,7/2,,101075*,7/2
Re,3,Re III,180.31485,180.31485,180.3148,vacuum,308.0,308,13300000.0,,15771.98,71230.53,5d5,15771,3/2,5d4.(5D).6p,6F*,5/2
Re,3,Re III,180.42184,180.42184,180.4219,vacuum,183.0,183,155000000.0,,39790.02,95215.65,5d4.6s,39790,3/2,,95215*,1/2
Re,3,Re III,180.48996,180.48996,180.4904,vacuum,1131.0,1131,173000000.0,,43191.67,98596.29,,43191,5/2,5d4.6p,98596*,7/2
Re,3,Re III,180.8487,180.8487,180.8492,vacuum,191.0,191,26300000.0,,18345.56,73640.25,5d5,4G,9/2,5d4.(5D).6p,6F*,7/2
Re,3,Re III,181.11068,181.11068,181.1109,vacuum,35.0,35,36300000.0,,42600.54,97815.34,,42600,5/2,,97815*,7/2
Re,3,Re III,181.1803,181.1803,181.1811,vacuum,200.0,200,103000000.0,,38656.17,93849.58,5d4.6s,38656,3/2,5d4.6p,93849*,5/2
Re,3,Re III,181.23744,181.23744,181.2385,vacuum,45.0,45,26300000.0,,55975.68,111151.60,,55975,9/2,,111151*,7/2
Re,3,Re III,181.36211,181.36211,181.3625,vacuum,1265.0,1265,307000000.0,,46314.79,101452.99,5d4.(3H).6s,2H,9/2,5d4.6p,101452*,11/2
Re,3,Re III,181.43421,181.43421,181.4348,vacuum,236.0,236,70000000.0,,31989.54,87105.75,5d5,31989,3/2,5d4.6p,87105*,3/2
Re,3,Re III,181.49359,181.49359,181.4941,vacuum,297.0,297,78300000.0,,39300.25,94398.47,5d4.(3H).6s,4H,13/2,5d4.6p,94398*,11/2
Re,3,Re III,181.58674,181.58674,181.5877,vacuum,31.0,31,38300000.0,,47910.25,102980.06,5d4.6s,47910,5/2,,102980*,5/2
Re,3,Re III,181.60562,181.60562,181.6067,vacuum,1251.0,1251,104000000.0,,20453.27,75517.33,5d5,4D,7/2,5d4.6p,75517*,9/2
Re,3,Re III,181.77935,181.77935,181.7787,vacuum,148.0,148,79200000.0,,50496.79,105508.74,5d4.(1I).6s,2I,13/2,,105508*,11/2
Re,3,Re III,181.81448,181.81448,181.815,vacuum,87.0,87,65000000.0,,51668.96,106669.93,5d4.6s,51668,7/2,,106669*,7/2
Re,3,Re III,181.89418,181.89418,181.894,vacuum,43.0,43,27500000.0,,51007.47,105984.55,5d4.6s,51007,5/2,,105984*,7/2
Re,3,Re III,182.2142,182.2142,182.2143,vacuum,524.0,524,26300000.0,,27421.03,82301.45,5d5,27421,9/2,5d4.6p,82301*,7/2
Re,3,Re III,182.21943,182.21943,182.2189,vacuum,97.0,97bl(Re IV),8000000.0,,46718.20,101597.24,5d4.(3D).6s,4D,7/2,,101597*,9/2
Re,3,Re III,182.35883,182.35883,182.3601,vacuum,40.0,40,37000000.0,,55975.68,110812.23,,55975,9/2,,110812*,9/2
Re,3,Re III,182.69082,182.69082,182.6921,vacuum,830.0,830bl,75000000.0,,45256.54,99993.43,5d4.(3G).6s,4G,11/2,,99993*,9/2
Re,3,Re III,182.73034,182.73034,182.7296,vacuum,87.0,87,15000000.0,,13614.31,68339.99,5d5,13614,5/2,5d4.(5D).6p,6F*,3/2
Re,3,Re III,182.73626,182.73626,182.7357,vacuum,58.0,58,35000000.0,,39595.72,94319.57,5d4.(5D).6s,4D,5/2,5d4.6p,94319*,7/2
Re,3,Re III,182.8064,182.8064,182.8071,vacuum,830.0,830,67500000.0,,17139.88,71842.35,5d5,17139,5/2,5d4.6p,71842*,3/2
Re,3,Re III,182.91994,182.91994,182.9195,vacuum,45.0,45,33300000.0,,43191.67,97860.52,,43191,5/2,5d4.6p,97860*,5/2
Re,3,Re III,183.08892,183.08892,183.0898,vacuum,1354.0,1354,167000000.0,,45256.54,99874.56,5d4.(3G).6s,4G,11/2,5d4.6p,99874*,11/2
Re,3,Re III,183.19832,183.19832,183.199,vacuum,224.0,224,29000000.0,,47011.78,101597.24,5d4.6s,47011,9/2,,101597*,9/2
Re,3,Re III,183.25169,183.25169,183.2519,vacuum,502.0,502,118000000.0,,36165.95,90735.64,5d4.6s,36165,1/2,,90735*,3/2
Re,3,Re III,183.29647,183.29647,183.2962,vacuum,36.0,36,65800000.0,,53402.71,107959.22,5d4.(3H).6s,2H,11/2,5d4.6p,107959*,11/2
Re,3,Re III,183.68363,183.68363,183.6844,vacuum,408.0,408,72500000.0,,47011.78,101452.99,5d4.6s,47011,9/2,5d4.6p,101452*,11/2
Re,3,Re III,183.81566,183.81566,183.8153,vacuum,247.0,247,63000000.0,,36927.52,91329.97,5d5,2H,11/2,5d4.6p,91329*,9/2
Re,3,Re III,183.87228,183.87228,183.8729,vacuum,918.0,918,149000000.0,,45608.03,99993.43,,45608,7/2,,99993*,9/2
Re,3,Re III,184.02597,184.02597,184.0263,vacuum,143.0,143,18300000.0,,16890.46,71230.53,5d5,4G,7/2,5d4.(5D).6p,6F*,5/2
Re,3,Re III,184.09719,184.09719,184.0977,vacuum,228.0,228,47500000.0,,40000.60,94319.57,,40000,5/2,5d4.6p,94319*,7/2
Re,3,Re III,184.1096,184.1096,184.1092,vacuum,662.0,662,85000000.0,,51668.96,105984.55,5d4.6s,51668,7/2,,105984*,7/2
Re,3,Re III,184.20139,184.20139,184.2009,vacuum,945.0,945,498000000.0,,23471.28,77759.84,5d4.(5D).6s,6D,9/2,5d4.(5D).6p,6P*,7/2
Re,3,Re III,184.50708,184.50708,184.5076,vacuum,34.0,34,10000000.0,,30255.47,84453.78,5d5,30255,7/2,5d4.6p,84453*,5/2
Re,3,Re III,184.58974,184.58974,184.5898,vacuum,54.0,54,26300000.0,,40654.99,94829.16,5d5,40654,5/2,5d4.6p,94829*,7/2
