element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Rh,1,Rh I,308.396,308.396,308.3966,air,180.0,180,4800000.0,C,1529.97,33946.34,4d8.(3F).5s,a 4F,7/2,4d8.(3F).5p,z 2F*,5/2
Rh,1,Rh I,311.491,311.491,311.4907,air,70.0,70,4500000.0,D,3309.86,35404.24,4d9,a 2D,5/2,4d8.(3P).5p,z 4P*,3/2
Rh,1,Rh I,312.176,312.176,312.1754,air,140.0,140,11000000.0,C,3309.86,35333.85,4d9,a 2D,5/2,4d8.(3P).5p,z 4P*,5/2
Rh,1,Rh I,312.37,312.37,312.3703,air,240.0,240,4600000.0,C+,0.00,32004.01,4d8.(3F).5s,a 4F,9/2,4d8.(3F).5p,z 2F*,7/2
Rh,1,Rh I,313.771,313.771,313.7708,air,95.0,95,3300000.0,D+,3472.68,35333.85,4d8.(3F).5s,a 4F,3/2,4d8.(3P).5p,z 4P*,5/2
Rh,1,Rh I,318.905,318.905,318.9043,air,140.0,140,3000000.0,C,2598.03,33946.34,4d8.(3F).5s,a 4F,5/2,4d8.(3F).5p,z 2F*,5/2
Rh,1,Rh I,319.713,319.713,319.713,air,190.0,190,4300000.0,C+,2598.03,33867.04,4d8.(3F).5s,a 4F,5/2,4d8.(3F).5p,z 2D*,3/2
Rh,1,Rh I,326.314,326.314,326.3142,air,520.0,520,12500000.0,C+,3309.86,33946.34,4d9,a 2D,5/2,4d8.(3F).5p,z 2F*,5/2
Rh,1,Rh I,327.161,327.161,327.161,air,520.0,520,20000000.0,C+,3309.86,33867.04,4d9,a 2D,5/2,4d8.(3F).5p,z 2D*,3/2
Rh,1,Rh I,328.055,328.055,328.0536,air,2300.0,2300*,24000000.0,C+,1529.97,32004.01,4d8.(3F).5s,a 4F,7/2,4d8.(3F).5p,z 2F*,7/2
Rh,1,Rh I,328.055,328.055,328.0577,air,2300.0,2300*,13800000.0,C+,3472.68,33946.34,4d8.(3F).5s,a 4F,3/2,4d8.(3F).5p,z 2F*,5/2
Rh,1,Rh I,328.357,328.357,328.3571,air,2300.0,2300,44000000.0,C+,2598.03,33043.91,4d8.(3F).5s,a 4F,5/2,4d8.(3F).5p,z 2G*,7/2
Rh,1,Rh I,328.914,328.914,328.9137,air,280.0,280,10200000.0,C+,3472.68,33867.04,4d8.(3F).5s,a 4F,3/2,4d8.(3F).5p,z 2D*,3/2
Rh,1,Rh I,332.309,332.309,332.3091,air,4200.0,4200,63000000.0,B,1529.97,31613.78,4d8.(3F).5s,a 4F,7/2,4d8.(3F).5p,z 2G*,9/2
Rh,1,Rh I,333.109,333.109,333.1095,air,60.0,60,5400000.0,C+,5657.97,35669.50,4d9,a 2D,3/2,4d8.(3P).5p,z 4P*,1/2
Rh,1,Rh I,333.854,333.854,333.8548,air,330.0,330,3500000.0,C+,1529.97,31474.50,4d8.(3F).5s,a 4F,7/2,4d8.(3F).5p,z 4F*,5/2
Rh,1,Rh I,336.08,336.08,336.08,air,280.0,280,12300000.0,C+,5657.97,35404.24,4d9,a 2D,3/2,4d8.(3P).5p,z 4P*,3/2
Rh,1,Rh I,336.838,336.838,336.8373,air,420.0,420,10600000.0,C+,2598.03,32277.43,4d8.(3F).5s,a 4F,5/2,4d8.(3F).5p,z 4F*,3/2
Rh,1,Rh I,336.8772,,336.8772,air,,,800000.0,D+,5657.97,35333.85,4d9,a 2D,3/2,4d8.(3P).5p,z 4P*,5/2
Rh,1,Rh I,337.2523,,337.2523,air,,,500000.0,D,5690.97,35333.85,4d8.(3F).5s,a 2F,7/2,4d8.(3P).5p,z 4P*,5/2
Rh,1,Rh I,339.682,339.682,339.6819,air,5600.0,5600,65000000.0,B+,0.00,29430.86,4d8.(3F).5s,a 4F,9/2,4d8.(3F).5p,z 4F*,9/2
Rh,1,Rh I,339.97,339.97,339.9693,air,820.0,820,12100000.0,C+,2598.03,32004.01,4d8.(3F).5s,a 4F,5/2,4d8.(3F).5p,z 2F*,7/2
Rh,1,Rh I,343.489,343.489,343.4885,air,8200.0,8200,132000000.0,B+,0.00,29104.71,4d8.(3F).5s,a 4F,9/2,4d8.(3F).5p,z 4G*,11/2
Rh,1,Rh I,346.204,346.204,346.2036,air,5900.0,5900,62000000.0,B+,2598.03,31474.50,4d8.(3F).5s,a 4F,5/2,4d8.(3F).5p,z 4F*,5/2
Rh,1,Rh I,347.066,347.066,347.0656,air,4700.0,4700,84000000.0,B,3472.68,32277.43,4d8.(3F).5s,a 4F,3/2,4d8.(3F).5p,z 4F*,3/2
Rh,1,Rh I,347.891,347.891,347.8904,air,2100.0,2100,33000000.0,B,3309.86,32046.32,4d9,a 2D,5/2,4d8.(3F).5p,z 2D*,5/2
Rh,1,Rh I,348.404,348.404,348.4034,air,95.0,95,920000.0,D+,3309.86,32004.01,4d9,a 2D,5/2,4d8.(3F).5p,z 2F*,7/2
Rh,1,Rh I,349.873,349.873,349.8728,air,1200.0,1200,21100000.0,B,3472.68,32046.32,4d8.(3F).5s,a 4F,3/2,4d8.(3F).5p,z 2D*,5/2
Rh,1,Rh I,350.252,350.252,350.2522,air,5900.0,5900,43000000.0,B+,0.00,28542.69,4d8.(3F).5s,a 4F,9/2,4d8.(3F).5p,z 4G*,9/2
Rh,1,Rh I,350.732,350.732,350.7311,air,2800.0,2800,33600000.0,B,2598.03,31101.75,4d8.(3F).5s,a 4F,5/2,4d8.(3F).5p,z 4G*,7/2
Rh,1,Rh I,352.802,352.802,352.8025,air,8800.0,8800,85000000.0,B+,1529.97,29866.34,4d8.(3F).5s,a 4F,7/2,4d8.(3F).5p,z 4F*,7/2
Rh,1,Rh I,353.814,353.814,353.8139,air,880.0,880bl,16600000.0,B,5690.97,33946.34,4d8.(3F).5s,a 2F,7/2,4d8.(3F).5p,z 2F*,5/2
Rh,1,Rh I,354.395,354.395,354.3946,air,1200.0,1200,46000000.0,B,5657.97,33867.04,4d9,a 2D,3/2,4d8.(3F).5p,z 2D*,3/2
Rh,1,Rh I,354.954,354.954,354.9537,air,1800.0,1800,22200000.0,B,3309.86,31474.50,4d9,a 2D,5/2,4d8.(3F).5p,z 4F*,5/2
Rh,1,Rh I,357.018,357.018,357.0177,air,1200.0,1200,18200000.0,B,3472.68,31474.50,4d8.(3F).5s,a 4F,3/2,4d8.(3F).5p,z 4F*,5/2
Rh,1,Rh I,358.31,358.31,358.3092,air,4700.0,4700,26000000.0,C+,1529.97,29430.86,4d8.(3F).5s,a 4F,7/2,4d8.(3F).5p,z 4F*,9/2
Rh,1,Rh I,359.619,359.619,359.6195,air,4700.0,4700,54800000.0,B+,2598.03,30397.27,4d8.(3F).5s,a 4F,5/2,4d8.(3F).5p,z 4D*,3/2
Rh,1,Rh I,359.715,359.715,359.7146,air,5900.0,5900,59000000.0,B+,3309.86,31101.75,4d9,a 2D,5/2,4d8.(3F).5p,z 4G*,7/2
Rh,1,Rh I,361.247,361.247,361.247,air,3100.0,3100,89000000.0,B+,3472.68,31146.68,4d8.(3F).5s,a 4F,3/2,4d8.(3F).5p,z 4D*,1/2
Rh,1,Rh I,362.046,362.046,362.0449,air,200.0,200,8400000.0,B,7791.23,35404.24,4d8.(3F).5s,a 2F,5/2,4d8.(3P).5p,z 4P*,3/2
Rh,1,Rh I,365.487,365.487,365.4873,air,350.0,350,6000000.0,C+,5690.97,33043.91,4d8.(3F).5s,a 2F,7/2,4d8.(3F).5p,z 2G*,7/2
Rh,1,Rh I,365.799,365.799,365.7985,air,8200.0,8200,88000000.0,B+,1529.97,28859.64,4d8.(3F).5s,a 4F,7/2,4d8.(3F).5p,z 4D*,5/2
Rh,1,Rh I,366.622,366.622,366.6216,air,1300.0,1300,8400000.0,C+,2598.03,29866.34,4d8.(3F).5s,a 4F,5/2,4d8.(3F).5p,z 4F*,7/2
Rh,1,Rh I,369.07,369.07,369.0701,air,1900.0,1900,32300000.0,B+,3309.86,30397.27,4d9,a 2D,5/2,4d8.(3F).5p,z 4D*,3/2
