element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ru,2,Ru II,188.80428,188.80428,188.80427,vacuum,9.0,9,54800000.0,,0.000,52964.904,4d7,4F,9/2,4d6.(5D).5p,4F*,9/2
Ru,2,Ru II,190.32208,190.32208,190.32207,vacuum,12.0,12,100000000.0,,1523.267,54065.780,4d7,4F,7/2,4d6.(5D).5p,4D*,5/2
Ru,2,Ru II,191.68152,191.68152,191.68155,vacuum,12.0,12,114000000.0,,2493.945,54663.807,4d7,4F,5/2,4d6.(5D).5p,4D*,3/2
Ru,2,Ru II,193.90428,193.90428,193.90429,vacuum,6.0,6,49700000.0,,2493.945,54065.780,4d7,4F,5/2,4d6.(5D).5p,4D*,5/2
Ru,2,Ru II,193.95049,193.95049,193.9505,vacuum,6.0,6,66500000.0,,3104.260,54663.807,4d7,4F,3/2,4d6.(5D).5p,4D*,3/2
Ru,2,Ru II,235.79162,235.79162,235.79162,air,170.0,170,84000000.0,,9151.835,51549.196,4d6.(5D).5s,6D,9/2,4d6.(5D).5p,6P*,7/2
Ru,2,Ru II,245.64386,245.64386,245.64386,air,150.0,150,159000000.0,,10852.172,51549.196,4d6.(5D).5s,6D,5/2,4d6.(5D).5p,6P*,7/2
Ru,2,Ru II,297.6584,297.6584,297.65838,air,140.0,140,108000000.0,,19379.147,52964.904,4d6.(5D).5s,4D,7/2,4d6.(5D).5p,4F*,9/2
Ru,1,Ru I,343.674,343.674,343.6736,air,6400.0,6400,72800000.0,,1190.64,30279.68,4d7.(a 4F).5s,a 5F,4,4d7.(a 4F).5p,z 5G*,5
Ru,1,Ru I,349.894,349.894,349.8942,air,8300.0,8300,86100000.0,,0.00,28571.89,4d7.(a 4F).5s,a 5F,5,4d7.(a 4F).5p,z 5G*,6
Ru,1,Ru I,358.922,358.922,358.9213,air,6400.0,6400,91100000.0,,3105.49,30958.80,4d7.(a 4F).5s,a 5F,1,4d7.(a 4F).5p,z 5G*,2
Ru,1,Ru I,359.302,359.302,359.3018,air,6900.0,6900,81700000.0,,2713.24,30537.06,4d7.(a 4F).5s,a 5F,2,4d7.(a 4F).5p,z 5G*,3
Ru,1,Ru I,359.618,359.618,359.6178,air,6400.0,6400,42000000.0,,2091.54,29890.91,4d7.(a 4F).5s,a 5F,3,4d7.(a 4F).5p,z 3G*,4
Ru,1,Ru I,372.693,372.693,372.6924,air,8700.0,8700,75300000.0,,1190.64,28014.79,4d7.(a 4F).5s,a 5F,4,4d7.(a 4F).5p,z 5F*,4
Ru,1,Ru I,372.803,372.803,372.8025,air,11000.0,11000,82000000.0,,0.00,26816.23,4d7.(a 4F).5s,a 5F,5,4d7.(a 4F).5p,z 5F*,5
Ru,1,Ru I,373.043,373.043,373.0431,air,7100.0,7100,70600000.0,,2091.54,28890.47,4d7.(a 4F).5s,a 5F,3,4d7.(a 4F).5p,z 5F*,3
Ru,1,Ru I,379.89,379.89,379.8898,air,7600.0,7600,59800000.0,,1190.64,27506.59,4d7.(a 4F).5s,a 5F,4,4d7.(a 4F).5p,z 5D*,3
Ru,1,Ru I,379.935,379.935,379.9349,air,7600.0,7600,53300000.0,,0.00,26312.83,4d7.(a 4F).5s,a 5F,5,4d7.(a 4F).5p,z 5D*,4
Ru,1,Ru I,419.99,419.99,419.9894,air,7600.0,7600,39900000.0,,6545.03,30348.45,4d7.(a 4F).5s,a 3F,4,4d7.(a 4F).5p,z 3F*,4
