element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
S,1,S I,180.73108,180.73108,180.731248,vacuum,3700000.0,3700000g,327000000.0,C+,0.0000,55330.775,3s2.3p4,3P,2,3s2.3p3.(4S*).4s,3S*,1
S,1,S I,182.03426,182.03426,182.034245,vacuum,3500000.0,3500000g,171000000.0,C+,396.05648,55330.775,3s2.3p4,3P,1,3s2.3p3.(4S*).4s,3S*,1
S,1,S I,182.62451,182.62451,182.624455,vacuum,3000000.0,3000000g,56400000.0,C,573.59573,55330.775,3s2.3p4,3P,0,3s2.3p3.(4S*).4s,3S*,1
S,1,S I,190.02863,190.02863,190.02879,vacuum,4900.0,4900g,70900.0,D+,0.0000,52623.605,3s2.3p4,3P,2,3s2.3p3.(4S*).4s,5S*,2
S,1,S I,191.46982,191.46982,191.469833,vacuum,3500.0,3500g,21400.0,D,396.05648,52623.605,3s2.3p4,3P,1,3s2.3p3.(4S*).4s,5S*,2
S,2,S II,193.0819,193.0819,193.0813,vacuum,6300.0,6300bl,699000.0,D,79395.52,131187.175,3s.3p4,4P,5/2,3s2.3p2.(3P).4p,2D*,5/2
S,2,S II,193.6731,193.6731,193.6734,vacuum,30000.0,30000,25500000.0,D+,79395.52,131028.847,3s.3p4,4P,5/2,3s2.3p2.(3P).4p,4S*,3/2
S,2,S II,194.4379,194.4379,194.4379,vacuum,390.0,390,296000.0,E,79756.86,131187.175,3s.3p4,4P,3/2,3s2.3p2.(3P).4p,2D*,5/2
S,2,S II,195.0378,195.0378,195.0383,vacuum,28000.0,28000,25500000.0,D+,79756.86,131028.847,3s.3p4,4P,3/2,3s2.3p2.(3P).4p,4S*,3/2
S,2,S II,195.1379,195.1379,195.1386,vacuum,370.0,370,455000.0,E,79395.52,130641.154,3s.3p4,4P,5/2,3s2.3p2.(3P).4p,2D*,3/2
S,2,S II,195.8239,195.8239,195.8242,vacuum,18000.0,18000,15700000.0,D+,79962.63,131028.847,3s.3p4,4P,1/2,3s2.3p2.(3P).4p,4S*,3/2
S,2,S II,196.5243,,196.5243,vacuum,,,9470.0,E',79756.86,130641.154,3s.3p4,4P,3/2,3s2.3p2.(3P).4p,2D*,3/2
S,2,S II,197.0878,197.0878,197.0885,vacuum,36000.0,36000,17000000.0,D+,79395.52,130134.158,3s.3p4,4P,5/2,3s2.3p2.(3P).4p,4P*,5/2
S,2,S II,197.3222,,197.3222,vacuum,,,14500.0,E',79962.63,130641.154,3s.3p4,4P,1/2,3s2.3p2.(3P).4p,2D*,3/2
S,2,S II,198.1662,198.1662,198.1663,vacuum,24000.0,24000,19300000.0,D+,79395.52,129858.183,3s.3p4,4P,5/2,3s2.3p2.(3P).4p,4P*,3/2
S,2,S II,198.5025,198.5025,198.5021,vacuum,16000.0,16000,7310000.0,D+,79756.86,130134.158,3s.3p4,4P,3/2,3s2.3p2.(3P).4p,4P*,5/2
S,2,S II,199.596,199.596,199.5955,vacuum,490.0,490,705000.0,D,79756.86,129858.183,3s.3p4,4P,3/2,3s2.3p2.(3P).4p,4P*,3/2
S,2,S II,199.8765,199.8765,199.8762,vacuum,15000.0,15000,20400000.0,D+,79756.86,129787.840,3s.3p4,4P,3/2,3s2.3p2.(3P).4p,4P*,1/2
S,2,S II,200.354,200.354,200.3538,air,3800.0,3800,6120000.0,D,79962.63,129858.183,3s.3p4,4P,1/2,3s2.3p2.(3P).4p,4P*,3/2
S,2,S II,200.6367,200.6367,200.6367,air,2500.0,2500,4090000.0,D,79962.63,129787.840,3s.3p4,4P,1/2,3s2.3p2.(3P).4p,4P*,1/2
S,3,S III,205.9854,205.9854,205.9835,air,1.0,1,706000.0,C+,122118.5,170650.55,3s2.3p.3d,3F*,2,3s2.3p.4p,3D,3
S,3,S III,207.203,207.203,207.2026,air,10.0,10,24800000.0,B,122404.0,170650.55,3s2.3p.3d,3F*,3,3s2.3p.4p,3D,3
S,3,S III,208.4833,208.4833,208.4832,air,11.0,11,34200000.0,B,122118.5,170068.73,3s2.3p.3d,3F*,2,3s2.3p.4p,3D,2
S,3,S III,208.9115,208.9115,208.9115,air,19.0,19,287000000.0,B+,122798.6,170650.55,3s2.3p.3d,3F*,4,3s2.3p.4p,3D,3
S,2,S II,209.4329,,209.4329,air,,,0.00849,D,79395.52,127128.351,3s.3p4,4P,5/2,3s2.3p2.(1D).3d,2G,9/2
S,3,S III,209.7318,209.7318,209.7321,air,19.0,19,275000000.0,B+,122404.0,170068.73,3s2.3p.3d,3F*,3,3s2.3p.4p,3D,2
S,3,S III,209.7826,209.7826,209.7841,air,14.0,"14bl,w",305000000.0,B+,122118.5,169771.43,3s2.3p.3d,3F*,2,3s2.3p.4p,3D,1
S,3,S III,217.7233,217.7233,217.7241,air,10.0,10,220000000.0,B+,136843.78,182759.09,3s.3p3,1P*,1,3s2.3p.4p,1S,0
S,2,S II,218.5932,218.5932,218.5931,air,1100.0,1100,2780000.0,D,97890.74,143623.527,3s.3p4,2D,3/2,3s2.3p2.(1D).4p,2P*,3/2
S,2,S II,218.7264,218.7264,218.7274,air,12000.0,12000,35400000.0,D+,97918.82,143623.527,3s.3p4,2D,5/2,3s2.3p2.(1D).4p,2P*,3/2
S,2,S II,219.2372,219.2372,219.2383,air,5600.0,5600bl,39000000.0,D+,97890.74,143488.957,3s.3p4,2D,3/2,3s2.3p2.(1D).4p,2P*,1/2
S,3,S III,220.0267,220.0267,220.0271,air,9.0,9,4540000.0,D,122118.5,167553.27,3s2.3p.3d,3F*,2,3s2.3p.4p,1P,1
S,3,S III,228.3646,228.3646,228.3662,air,7.0,7,104000000.0,D,167553.27,211329.07,3s2.3p.4p,1P,1,3s2.3p.5s,1P*,1
S,2,S II,233.2493,233.2493,233.2485,air,5900.0,5900,24200000.0,D+,97890.74,140750.328,3s.3p4,2D,3/2,3s2.3p2.(1D).4p,2D*,3/2
S,2,S II,233.4037,233.4037,233.4014,air,800.0,800*,1340000.0,D,97918.82,140750.328,3s.3p4,2D,5/2,3s2.3p2.(1D).4p,2D*,3/2
S,2,S II,233.4746,233.4746,233.4743,air,1200.0,1200,2210000.0,D,97890.74,140708.885,3s.3p4,2D,3/2,3s2.3p2.(1D).4p,2D*,5/2
S,2,S II,233.627,233.627,233.6275,air,12000.0,12000,22600000.0,D+,97918.82,140708.885,3s.3p4,2D,5/2,3s2.3p2.(1D).4p,2D*,5/2
S,2,S II,235.7751,235.7751,235.7747,air,5600.0,5600,4550000.0,D+,97918.82,140319.232,3s.3p4,2D,5/2,3s2.3p2.(1D).4p,2F*,7/2
S,2,S II,236.1151,236.1151,236.1148,air,3800.0,3800,3870000.0,D+,97890.74,140230.071,3s.3p4,2D,3/2,3s2.3p2.(1D).4p,2F*,5/2
S,2,S II,236.2727,236.2727,236.2715,air,1700.0,1700,759000.0,D,97918.82,140230.071,3s.3p4,2D,5/2,3s2.3p2.(1D).4p,2F*,5/2
S,3,S III,244.2581,244.2581,244.2586,air,2.0,2w,3690000.0,E',169771.43,210699.24,3s2.3p.4p,3D,1,3s2.3p.5s,3P*,2
S,3,S III,246.0496,246.0496,246.046,air,7.0,7,54200000.0,D,170068.73,210699.24,3s2.3p.4p,3D,2,3s2.3p.5s,3P*,2
S,3,S III,248.9566,248.9566,248.9537,air,10.0,10,87200000.0,D,169771.43,209927.43,3s2.3p.4p,3D,1,3s2.3p.5s,3P*,1
S,3,S III,249.0488,249.0488,249.0488,air,10.0,10,19300000.0,B,136843.78,176984.44,3s.3p3,1P*,1,3s2.3p.4p,1D,2
S,3,S III,249.6239,249.6239,249.6208,air,15.0,15,290000000.0,D,170650.55,210699.24,3s2.3p.4p,3D,3,3s2.3p.5s,3P*,2
S,3,S III,249.903,249.903,249.9029,air,12.0,12,346000000.0,D,169771.43,209774.91,3s2.3p.4p,3D,1,3s2.3p.5s,3P*,0
S,3,S III,250.8097,250.8097,250.8107,air,12.0,12,256000000.0,D,170068.73,209927.43,3s2.3p.4p,3D,2,3s2.3p.5s,3P*,1
S,2,S II,262.911,262.911,262.91,air,410.0,410,1210000.0,D,105599.04,143623.527,3s2.3p2.(3P).3d,2P,3/2,3s2.3p2.(1D).4p,2P*,3/2
S,3,S III,263.6872,263.6872,263.6903,air,5.0,"5bl,w",48100000.0,D,172787.26,210699.24,3s2.3p.4p,3P,1,3s2.3p.5s,3P*,2
S,2,S II,263.8438,,263.8438,air,,,210000.0,E,105599.04,143488.957,3s2.3p2.(3P).3d,2P,3/2,3s2.3p2.(1D).4p,2P*,1/2
S,3,S III,265.918,265.918,265.917,air,12.0,12,465000000.0,D,167553.27,205147.80,3s2.3p.4p,1P,1,3s2.3p.4d,1D*,2
S,2,S II,266.023,266.023,266.0248,air,100.0,100,157000.0,E,106044.23,143623.527,3s2.3p2.(3P).3d,2P,1/2,3s2.3p2.(1D).4p,2P*,3/2
S,3,S III,266.5408,266.5408,266.544,air,10.0,10,140000000.0,D,173193.14,210699.24,3s2.3p.4p,3P,2,3s2.3p.5s,3P*,2
S,2,S II,266.9812,266.9812,266.9809,air,160.0,160,1080000.0,D,106044.23,143488.957,3s2.3p2.(3P).3d,2P,1/2,3s2.3p2.(1D).4p,2P*,1/2
S,3,S III,268.0549,268.0549,268.0554,air,8.0,8,60900000.0,D,172632.79,209927.43,3s2.3p.4p,3P,0,3s2.3p.5s,3P*,1
