element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Sb,1,Sb I,206.833,206.833,206.8344,air,1000.0,1000r,181000000.0,,0.000,48332.424,5p3,4S*,3/2,5p2.(3P).6s,4P,5/2
Sb,1,Sb I,213.969,213.969,213.96981,air,100.0,100r,174000000.0,,8512.125,55232.963,5p3,2D*,3/2,5p2.(1D).6s,2D,3/2
Sb,1,Sb I,217.581,217.581,217.58175,air,1500.0,1500r,175000000.0,,0.000,45945.340,5p3,4S*,3/2,5p2.(3P).6s,4P,3/2
Sb,1,Sb I,217.919,217.919,217.91898,air,250.0,250r,239000000.0,,9854.018,55728.264,5p3,2D*,5/2,5p2.(1D).6s,2D,5/2
Sb,1,Sb I,231.147,231.147,231.14633,air,2500.0,2500r,169000000.0,,0.000,43249.337,5p3,4S*,3/2,5p2.(3P).6s,4P,1/2
Sb,1,Sb I,252.852,252.852,252.85088,air,2000.0,2000r,177000000.0,,9854.018,49391.133,5p3,2D*,5/2,5p2.(3P).6s,2P,3/2
Sb,1,Sb I,259.805,259.805,259.8048,air,1500.0,1500r,21000000.0,,8512.125,46991.058,5p3,2D*,3/2,5p2.(3P).6s,2P,1/2
Sb,1,Sb I,287.792,287.792,287.79128,air,1000.0,1000r,42400000.0,,8512.125,43249.337,5p3,2D*,3/2,5p2.(3P).6s,4P,1/2
Sb,1,Sb I,323.252,323.252,323.24948,air,600.0,600r,30700000.0,,18464.202,49391.133,5p3,2P*,3/2,5p2.(3P).6s,2P,3/2
Sb,1,Sb I,326.751,326.751,326.74913,air,700.0,700r,49500000.0,,16395.359,46991.058,5p3,2P*,1/2,5p2.(3P).6s,2P,1/2
