element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Sc,2,Sc II,188.0604,188.0604,188.0604,vacuum,8.0,8,500000000.0,D,2540.95,55715.36,3p6.3d.4s,1D,2,3p6.4s.4p,1P*,1
Sc,3,Sc III,189.5441,189.5441,189.5441,vacuum,40.0,40,300000000.0,D,62104.30,114862.48,3p6.4p,2P*,1/2,3p6.5s,2S,1/2
Sc,3,Sc III,191.262,191.262,191.262,vacuum,60.0,60,580000000.0,C,62578.18,114862.48,3p6.4p,2P*,3/2,3p6.5s,2S,1/2
Sc,3,Sc III,199.3886,199.3886,199.3886,vacuum,90.0,90,940000000.0,C,62104.30,112257.62,3p6.4p,2P*,1/2,3p6.4d,2D,3/2
Sc,3,Sc III,201.042,201.042,201.042,air,60.0,60,1100000000.0,C,62578.18,112302.95,3p6.4p,2P*,3/2,3p6.4d,2D,5/2
Sc,3,Sc III,201.2256,201.2256,201.2255,air,50.0,50,180000000.0,D,62578.18,112257.62,3p6.4p,2P*,3/2,3p6.4d,2D,3/2
Sc,2,Sc II,206.4255,206.4255,206.4256,air,6.0,6,220000000.0,E,28161.17,76589.3,3p6.3d.4p,3D*,3,3p6.4p2,3P,2
Sc,2,Sc II,206.8041,206.8041,206.8041,air,5.0,5,200000000.0,E,28021.29,76360.8,3p6.3d.4p,3D*,2,3p6.4p2,3P,1
Sc,3,Sc III,209.627,209.627,209.6271,air,1.0,1,20000000.0,E,128107.12,175795.73,3p6.5p,2P*,1/2,3p6.8s,2S,1/2
Sc,3,Sc III,210.4042,210.4042,210.4038,air,2.0,2,38000000.0,D,128283.15,175795.73,3p6.5p,2P*,3/2,3p6.8s,2S,1/2
Sc,3,Sc III,211.1268,211.1268,211.1268,air,2.0,2,21000000.0,D,128107.12,175457.03,3p6.5p,2P*,1/2,3p6.7d,2D,3/2
