element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Si,3,Si III,180.3018,,180.3018,vacuum,,,127000000.0,C,159069.61,214532.17,3s.4s,1S,0,3s.5p,1P*,1
Si,3,Si III,180.4349,,180.4349,vacuum,,,32500000.0,D+,199164.10,254585.75,3p.3d,3F*,4,3s.8g,3G,5
Si,3,Si III,180.438,,180.438,vacuum,,,39800.0,E,199164.10,254584.8,3p.3d,3F*,4,3s.8g,3G,3
Si,3,Si III,180.438,,180.438,vacuum,,,2040000.0,E,199164.10,254584.8,3p.3d,3F*,4,3s.8g,3G,4
Si,2,Si II,180.8,180.8,180.8013,vacuum,150.0,150,2540000.0,C,0.00,55309.35,3s2.3p,2P*,1/2,3s.3p2,2D,3/2
Si,1,Si I,180.909,180.909,180.91046,vacuum,50.0,50w,68300000.0,C,6298.850,61574.814,3s2.3p2,1D,2,3s2.3p.5d,3D*,3
Si,1,Si I,181.3269,,181.3269,vacuum,,,1040000.0,E,6298.850,61447.86,3s2.3p2,1D,2,3s2.3p.5d,3D*,2
Si,1,Si I,181.407,181.407,181.4079,vacuum,500.0,500w,115000000.0,C,6298.850,61423.23,3s2.3p2,1D,2,3s2.3p.5d,1F*,3
Si,2,Si II,181.692,181.692,181.6928,vacuum,200.0,200,2650000.0,C,287.24,55325.18,3s2.3p,2P*,3/2,3s.3p2,2D,5/2
Si,2,Si II,181.745,181.745,181.7451,vacuum,10.0,10,323000.0,C,287.24,55309.35,3s2.3p,2P*,3/2,3s.3p2,2D,3/2
Si,1,Si I,183.651,183.651,183.651,vacuum,200.0,200,13100000.0,D+,77.115,54528.220,3s2.3p2,3P,1,3s2.3p.5s,3P*,2
Si,3,Si III,183.8466,,183.8466,vacuum,,,22800000.0,D+,175230.01,229623.19,3s.4p,3P*,0,3s.6s,3S,1
Si,3,Si III,183.9585,,183.9585,vacuum,,,68400000.0,C,175263.10,229623.19,3s.4p,3P*,1,3s.6s,3S,1
Si,1,Si I,184.115,184.115,184.11521,vacuum,100.0,100w,15000000.0,D,0.000,54313.818,3s2.3p2,3P,0,3s2.3p.5s,3P*,1
Si,1,Si I,184.144,184.144,184.14489,vacuum,200.0,200,36700000.0,D+,223.157,54528.220,3s2.3p2,3P,2,3s2.3p.5s,3P*,2
Si,3,Si III,184.2064,,184.2064,vacuum,,,113000000.0,C,175336.26,229623.19,3s.4p,3P*,2,3s.6s,3S,1
