element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Sm,2,Sm II,356.827,356.827,356.8271,air,4200.0,4200,64000000.0,,3909.62,31926.40,4f6.(7F).6s,8F,13/2,4f5.5d.6s?,*,15/2
Sm,2,Sm II,359.26,359.26,359.2595,air,4200.0,4200,66000000.0,,3052.65,30879.74,4f6.(7F).6s,8F,11/2,4f5.5d.6s?,*,13/2
Sm,2,Sm II,360.949,360.949,360.9492,air,3400.0,3400,58000000.0,,2237.97,29934.80,4f6.(7F).6s,8F,9/2,4f5.5d.6s?,*,11/2
Sm,2,Sm II,363.429,363.429,363.4273,air,3400.0,3400,56000000.0,,1489.16,28997.14,4f6.(7F).6s,8F,7/2,4f5.5d.6s?,*,9/2
Sm,2,Sm II,369.399,369.399,369.399,air,1100.0,1100,9100000.0,,0.00,27063.30,4f6.(7F).6s,8F,1/2,4f5.5d.6s?,*,3/2
Sm,2,Sm II,373.912,373.912,373.912,air,2900.0,2900,17000000.0,,326.64,27063.30,4f6.(7F).6s,8F,3/2,4f5.5d.6s?,*,3/2
Sm,1,Sm I,374.546,374.546,374.546,air,930.0,930,27000000.0,,1489.55,28180.95,4f6.6s2,7F,3,4f5.(6F*).5d.6s2,7F*,4
Sm,2,Sm II,374.56,374.56,374.5615,air,,,6600000.0,,0.00,26690.30,4f6.(7F).6s,8F,1/2,4f5.5d.6s?,8G*,1/2
Sm,1,Sm I,399.002,399.002,399.0013,air,,,43000000.0,,3125.46,28180.95,4f6.6s2,7F,5,4f5.(6F*).5d.6s2,7F*,4
Sm,1,Sm I,429.674,429.674,429.674,air,1600.0,1600,100000000.0,,4020.66,27287.58,4f6.6s2,7F,6,4f6.(7F).6s.6p.(1P*),7G*,7
Sm,1,Sm I,436.291,436.291,436.2905,air,440.0,440,49000000.0,,0.00,22914.07,4f6.6s2,7F,0,4f6.(7F).6s.6p.(1P*),7G*,1
Sm,1,Sm I,472.842,472.842,472.843,air,770.0,770,49000000.0,,1489.55,22632.30,4f6.6s2,7F,3,4f6.(7F).6s.6p.(1P*),7D*,3
Sm,1,Sm I,476.027,476.027,476.028,air,730.0,730,13000000.0,,811.92,21813.22,4f6.6s2,7F,2,4f6.(7F).6s.6p.(1P*),7D*,2
Sm,1,Sm I,484.17,484.17,484.17,air,970.0,970,87000000.0,,4020.66,24668.79,4f6.6s2,7F,6,4f6.(7F).6s.6p.(1P*),*,5
